top_k,complexity,edge_count,fold,val_r2
4,11,7,0,0.5052208666483788
4,11,6,0,0.3120345701343651
4,17,6,0,0.4854732339168747
4,9,6,0,0.42796814081214607
4,15,5,0,0.3709254239590173
4,11,5,0,0.48104748713779133
4,7,4,0,0.4486641013791781
4,8,5,0,0.424613253877136
4,17,6,0,0.5242533297049301
4,9,4,0,0.39695392544615116
4,12,8,1,0.26849700581421365
4,11,7,1,0.4087635948473366
4,9,6,1,0.31045323892551857
4,9,6,1,0.31130221889727694
4,9,6,1,0.31115215367604987
4,9,6,1,0.3604417190145819
4,7,4,1,0.3526174552771054
4,9,6,1,0.4319937563101045
4,9,5,1,0.3530717454430182
4,9,6,1,0.384076736916264
4,20,7,2,-0.16489916800891113
4,13,7,2,-0.1608645915645852
4,19,5,2,-0.16895997859809486
4,18,10,2,-0.41341333282203485
4,21,8,2,-0.1735827355344035
4,23,9,2,-0.16595980699707824
4,21,8,2,-0.1105325294945132
4,18,8,2,-0.18705585663471602
4,29,10,2,-0.14723167363529233
4,20,7,2,-0.20046959577946377
4,11,7,3,0.4886559437804727
4,9,5,3,0.4692044745725622
4,12,8,3,0.4010731568816345
4,7,4,3,0.44603938652303976
4,11,7,3,0.5304774953403506
4,10,6,3,0.4226194148892184
4,9,6,3,0.4758698496909032
4,12,7,3,0.4627544881926756
4,9,6,3,0.5031899174722765
4,12,8,3,0.4682840186671686
6,13,9,0,0.6703541298722819
6,11,8,0,0.6398024203240926
6,11,7,0,0.5347824095896474
6,13,8,0,0.588640528421023
6,11,8,0,0.6826754746955779
6,11,8,0,0.6159409943993188
6,11,6,0,0.5566061126351634
6,11,7,0,0.5031994884904061
6,8,7,0,0.6047474301610765
6,8,7,0,0.6052579327259207
6,12,6,1,0.3741791420992352
6,16,9,1,0.44685867095969656
6,13,8,1,0.18286776563242324
6,12,6,1,0.413745920249057
6,11,7,1,0.2668036257450662
6,13,10,1,0.400436070856512
6,11,7,1,0.29974039486269854
6,11,7,1,0.30542830479350136
6,15,10,1,0.14483061110883877
6,14,8,1,0.41622489184983735
6,25,11,2,0.10441182118889247
6,22,8,2,0.11214618285152278
6,23,12,2,0.1537552597023737
6,14,8,2,0.30475225333821
6,12,7,2,0.28614651624683374
6,14,9,2,0.38348329955336125
6,17,5,2,0.03469081402564267
6,20,7,2,0.08363996061943346
6,29,10,2,0.4625192695603302
6,18,12,2,0.17946459336692755
6,18,10,3,0.3666337063134376
6,13,8,3,0.3537123392416547
6,13,9,3,0.43281005703063447
6,14,8,3,0.279211145378488
6,22,10,3,0.3090007121164904
6,14,8,3,0.3778348304729263
6,15,10,3,0.35049838384082077
6,16,8,3,0.3096589360238696
6,15,8,3,0.3942108001174057
6,14,9,3,0.4982070555288203
8,21,9,0,0.6496028437167658
8,19,7,0,0.5916651157610575
8,20,8,0,0.34252556893137054
8,19,7,0,0.5239781301759721
8,19,7,0,0.5298017377084161
8,23,11,0,0.5956812621360166
8,16,8,0,0.18594163650861917
8,20,8,0,0.6274832943924034
8,14,8,0,0.2970843775823354
8,19,7,0,0.5467875030665369
8,15,9,1,0.5804807110994961
8,14,9,1,0.5561023909363265
8,22,10,1,0.3597725313502387
8,25,9,1,0.46281621802876605
8,15,9,1,0.49576805526878753
8,31,11,1,0.5528031052721076
8,20,7,1,0.11631262015702626
8,23,9,1,0.4430417520998041
8,20,7,1,0.5348594098113655
8,19,9,1,0.46816186781516345
8,21,13,2,-2.6202031165720494
8,35,12,2,-0.1330934038668845
8,24,10,2,0.11025218949830229
8,21,8,2,0.17395404809025705
8,22,9,2,0.1993131340073555
8,21,14,2,0.37250445400807486
8,24,8,2,0.20289971217198055
8,17,5,2,0.03344669929129729
8,14,10,2,0.21617465752544263
8,16,10,2,-0.511347351043786
8,17,10,3,-0.8335172562741691
8,15,9,3,-1.1004905702634216
8,14,8,3,0.10752952220637912
8,13,9,3,0.12635802422615483
8,13,10,3,0.2223333767092529
8,19,12,3,-0.19088879544790482
8,14,8,3,0.37617744644163786
8,19,11,3,-0.5946176371418159
8,13,7,3,-0.7860115255473523
8,11,7,3,0.0858327330784554
