top_k,complexity,edge_count,fold,val_r2
4,19,7,0,0.4209917966421509
4,16,10,0,0.48856910118022034
4,17,6,0,0.46340223292664307
4,16,6,0,0.5004717635248301
4,14,8,0,0.32327098596674353
4,14,8,0,0.3253429679974279
4,21,8,0,0.5072096903632346
4,20,7,0,0.5200845393295365
4,15,8,0,0.279225336596693
4,19,8,0,0.4839359046135041
4,21,9,1,0.5835432420835187
4,18,6,1,0.06289688545178396
4,24,10,1,0.09030513913703697
4,20,8,1,0.3249009866179893
4,9,5,1,0.41886240038910805
4,15,9,1,0.5533720427004599
4,18,6,1,0.06847349399591207
4,13,4,1,0.46456381085034393
4,9,5,1,0.44075632567475875
4,17,6,1,0.14653777216221175
4,19,13,2,0.5546004681010361
4,6,4,2,0.24919268104479664
4,16,5,2,0.2541755002949855
4,2,1,2,0.12628963537429805
4,4,3,2,0.1239429882243781
4,11,8,2,0.2350771532620507
4,7,4,2,0.14143739307274694
4,22,9,2,0.32964836641576667
4,5,2,2,0.18082921850780265
4,7,4,2,0.1333218200559123
4,19,8,3,-1.5947221555815139
4,22,9,3,0.06312423375862808
4,21,7,3,0.0014381240413200436
4,19,7,3,0.1948136289703123
4,19,7,3,0.0482711721297463
4,17,5,3,-0.2574549116873701
4,19,7,3,0.04468243101331959
4,12,4,3,-0.27816847208329043
4,20,8,3,-0.045934702665998195
4,19,5,3,-0.10033637438363097
6,24,11,0,0.66464760221702
6,26,11,0,0.7482229869235772
6,17,8,0,0.7669512391251778
6,29,9,0,0.7229405809507218
6,26,12,0,0.7936162229264478
6,26,12,0,0.7419362768627046
6,43,19,0,0.7579609806141099
6,17,10,0,0.7626062706312953
6,18,10,0,0.6909527930065458
6,14,9,0,0.6871570027342437
6,23,9,1,0.5162917204887347
6,27,11,1,0.48831154137567834
6,24,9,1,0.6712084701914063
6,30,15,1,0.6744272886499472
6,26,11,1,0.697703481226359
6,23,9,1,0.7474736027512452
6,25,8,1,0.6784693742284388
6,31,15,1,0.6270910698709131
6,26,11,1,0.6388911720988311
6,13,7,1,0.5820480051548433
6,24,9,2,0.7517496632398935
6,24,12,2,0.6863710647875795
6,27,11,2,0.6484307417309747
6,18,8,2,0.6992910368464731
6,23,15,2,0.5747129140409969
6,28,13,2,0.6964222566128159
6,38,19,2,0.7171037371832195
6,15,9,2,0.621956686130056
6,20,7,2,0.5377725157697815
6,16,9,2,0.5940399301333849
6,26,11,3,0.6567395249005945
6,21,9,3,0.5468083439919478
6,32,9,3,0.6599827311292344
6,14,8,3,0.5360053835926863
6,16,8,3,0.46484365697126384
6,13,7,3,0.5188378902634467
6,12,7,3,0.5182609669934706
6,13,7,3,0.40852350286488215
6,14,7,3,0.41238381510240607
6,15,7,3,0.48833268360654214
8,25,9,0,0.7684140115896848
8,27,14,0,0.7460611546096785
8,32,11,0,0.751172339045179
8,13,7,0,0.6955881576273433
8,14,9,0,0.6736009097429096
8,27,13,0,0.726357911427874
8,21,9,0,0.6926716541925029
8,26,11,0,0.7285948735752455
8,19,7,0,0.7038518943334489
8,13,7,0,0.6257547245247272
8,14,8,1,0.2608432934868097
8,18,10,1,0.631900070334046
8,25,11,1,0.7182727188439163
8,14,9,1,0.4085299252123241
8,28,12,1,0.6582926214591183
8,12,7,1,0.5696216741197941
8,23,9,1,0.4898505604316329
8,14,7,1,0.39168370410216535
8,15,7,1,0.4141491529441823
8,22,8,1,0.5330394165597685
8,25,10,2,0.6628927058315804
8,24,12,2,0.6932087949904926
8,26,12,2,0.42319664730065465
8,19,13,2,0.3631894793655338
8,18,8,2,0.6626275347554418
8,18,12,2,0.560654409470219
8,12,7,2,0.6667578391983862
8,18,12,2,0.5879942605733346
8,20,13,2,0.5970905457058696
8,16,10,2,0.20547877249665225
8,24,9,3,0.6529706828687073
8,27,11,3,0.6725948443689349
8,28,11,3,0.6779282044595127
8,27,11,3,0.6299425457224004
8,14,8,3,0.5179012733970012
8,14,7,3,0.5125290002961018
8,15,9,3,0.44540345857495656
8,14,7,3,0.5071719888132955
8,13,7,3,0.4112009936758144
8,13,7,3,0.47043975161964513
