top_k,complexity,edge_count,fold,val_r2
4,10,7,0,0.23875538738365598
4,23,9,0,0.24085166914189216
4,26,11,0,0.36414175389103465
4,22,9,0,0.09343744580113289
4,13,7,0,0.17965213685605563
4,20,7,0,0.22319523445647182
4,19,7,0,0.2897756683224383
4,22,9,0,0.23501214489249111
4,23,8,0,0.3294838246917279
4,16,6,0,0.22535312747497838
4,19,7,1,-0.36083343165536697
4,17,6,1,-0.4474735209994618
4,20,8,1,-0.26639637607017885
4,15,8,1,-0.23399541985051497
4,12,7,1,0.2831332351710324
4,21,9,1,-0.09295866804911856
4,12,7,1,0.27974047110923017
4,11,9,1,0.27748547121551326
4,25,9,1,-0.18321074320387032
4,10,6,1,0.07471012823994405
4,12,7,2,0.39877322058100084
4,11,7,2,0.31165476031610684
4,11,7,2,0.30859909836177435
4,22,9,2,0.3871505205438529
4,23,12,2,0.3648437997781554
4,28,9,2,0.4260330513029723
4,25,9,2,0.398969809136031
4,14,8,2,0.34478025052830874
4,27,13,2,0.43934465797253386
4,10,7,2,0.2838215526228465
4,14,8,3,-8.957864843012636
4,7,5,3,-0.6145808760575333
4,23,10,3,-0.3884728922642704
4,15,6,3,-0.047795936050541776
4,21,8,3,-462.54444879250906
4,13,7,3,0.009260356362420175
4,19,6,3,0.01858695218573081
4,11,7,3,-0.7556889811161533
4,11,6,3,-0.0992523044764102
4,16,9,3,-0.5087519887607861
6,25,9,0,0.43633340303622525
6,22,10,0,0.07496896960101895
6,30,15,0,-0.20301832932593022
6,31,10,0,0.4497741775340919
6,27,7,0,0.5849250537135415
6,28,11,0,0.5823956970957761
6,30,11,0,0.6007499333289574
6,42,19,0,0.6830577490043516
6,20,8,0,0.47079322924713773
6,28,14,0,0.6721945679109018
6,27,13,1,0.5931378804820184
6,19,15,1,0.4006069711235637
6,41,15,1,0.570696531412717
6,25,13,1,0.5175729137955711
6,22,10,1,0.6053904999174387
6,17,6,1,0.37658435132234813
6,22,9,1,0.5278445032022441
6,31,9,1,0.3850761436049561
6,28,13,1,0.5310035486987806
6,44,17,1,0.6077910079698166
6,23,12,2,0.6592866694237323
6,33,16,2,0.277908855877814
6,21,8,2,0.54218416947809
6,15,5,2,0.33206492590222114
6,17,7,2,0.3678908941355963
6,16,10,2,0.45758021623490064
6,18,7,2,0.44673530710304854
6,17,7,2,0.3846780471288527
6,17,6,2,0.37295370791731286
6,16,8,2,0.4644084439342616
6,19,11,3,-1.675377548299584
6,21,9,3,-0.7375022948522925
6,34,19,3,-51066.12314006139
6,43,15,3,-0.03783468117328104
6,35,19,3,-2898895.770639335
6,30,14,3,0.3820161639552472
6,35,13,3,0.3086478417213008
6,20,8,3,0.05323059068343061
6,17,10,3,0.24054936402293348
6,21,10,3,-0.20376476481364003
8,20,7,0,0.4218471311345313
8,23,9,0,0.1395491257484237
8,32,13,0,0.5766822306352453
8,24,12,0,0.5807537655351052
8,27,10,0,0.6019201869763195
8,32,17,0,0.6274344845508271
8,30,9,0,0.5312506448734675
8,17,8,0,0.5613110007370306
8,30,11,0,0.5785281963832549
8,22,7,0,0.22310824347270397
8,33,11,1,0.5446131236691558
8,17,11,1,0.18648662703060503
8,30,11,1,0.33690345042216363
8,39,12,1,0.4418997784703226
8,25,7,1,0.4549666148062317
8,22,11,1,0.3449301161898567
8,29,9,1,0.26294099285047867
8,28,8,1,0.13723113359235828
8,21,10,1,0.497603244705204
8,32,12,1,0.48830638577961083
8,25,8,2,0.5625512521753744
8,28,9,2,0.5511111321893364
8,25,7,2,0.39871077029945934
8,31,11,2,0.47605716204836224
8,34,12,2,0.5928516959093788
8,21,11,2,0.083173322032974
8,21,11,2,0.21976674835877308
8,35,16,2,0.5409254987248595
8,32,12,2,0.3586016552123895
8,25,15,2,0.3422453228277361
8,32,13,3,-0.2992791844469236
8,15,10,3,-16.891126323462487
8,17,7,3,0.10290822081776607
8,16,9,3,0.3283985547548435
8,29,16,3,-1.6244546682124201
8,20,11,3,0.33796507793421393
8,24,13,3,0.3959627274236779
8,20,13,3,0.4165050794491485
8,13,8,3,-2003.413980047954
8,20,9,3,0.1992770361274282
