top_k,complexity,edge_count,fold,val_r2
4,18,12,0,0.34970457012604395
4,15,9,0,-0.4887912902997693
4,22,9,0,0.2609697206112006
4,22,9,0,-0.1346359598008191
4,18,7,0,0.3191480614800799
4,24,9,0,0.3008137895863443
4,29,14,0,0.3822955814364397
4,24,10,0,-0.13091677221082576
4,21,9,0,0.2543809947005443
4,17,13,0,-0.4474606048223777
4,19,8,1,0.4975327116306312
4,19,8,1,0.3797165209351905
4,13,8,1,0.47024435292848477
4,29,10,1,0.4740305113556168
4,13,8,1,0.4220391547134268
4,24,9,1,0.49907205740385474
4,18,7,1,0.4309240680810099
4,19,7,1,0.4505121578506104
4,18,8,1,0.38037543405979557
4,21,9,1,0.33634142266522715
4,22,8,2,0.33551992907915207
4,11,8,2,0.26670045778564067
4,20,7,2,0.34498431860789525
4,22,13,2,0.36328569086714857
4,19,10,2,0.34520681975757217
4,19,9,2,0.28760792281654723
4,17,12,2,0.24770587162905466
4,23,9,2,0.3426121641479528
4,13,7,2,0.2917017637954721
4,18,8,2,0.341888962722647
4,19,8,3,0.3849763439166487
4,12,10,3,0.38058234744304875
4,18,7,3,0.3466121981432022
4,10,8,3,0.39912796001129236
4,23,12,3,0.38633810980245054
4,18,9,3,0.37936484267437753
4,12,8,3,0.3587864555819401
4,15,9,3,0.3420792114744069
4,19,13,3,0.3711637214785459
4,25,7,3,0.33760297736610745
6,35,16,0,0.4095958738588453
6,22,17,0,0.01619832696156953
6,25,15,0,-0.10860057526897826
6,25,11,0,-0.33233818959403383
6,20,11,0,0.33398645034417496
6,19,11,0,-11.815058716761285
6,33,15,0,0.3900927483027201
6,32,20,0,-0.1569576038008167
6,32,12,0,0.016953119034421316
6,23,16,0,-87.8390335172372
6,19,13,1,0.5141895584338274
6,18,11,1,0.4476589547051508
6,21,9,1,0.49354048736475786
6,19,12,1,0.46028150803585255
6,33,18,1,0.365573989754306
6,19,14,1,0.45098891848956135
6,33,16,1,0.4789951941918813
6,19,9,1,0.5147194012007068
6,21,15,1,0.46531366708728883
6,26,13,1,0.5163816036467713
6,18,11,2,0.46426898812454387
6,19,12,2,0.41752212588776316
6,21,12,2,0.4655771751780834
6,20,11,2,0.4496354397951011
6,17,12,2,0.374439688519949
6,29,18,2,0.37998971571714746
6,23,14,2,0.5038366198222515
6,19,12,2,0.38115857243293005
6,25,12,2,0.45243423100993474
6,25,11,2,0.4370228981607187
6,27,17,3,0.5397834643289552
6,19,12,3,0.562071621765484
6,18,11,3,0.46373687945891007
6,20,13,3,0.5015474332900793
6,28,13,3,0.526439104694088
6,20,12,3,0.5267790174055731
6,19,11,3,0.28491221195776906
6,19,15,3,0.5027400286289745
6,22,14,3,0.41723750046996677
6,16,11,3,0.3818702810566481
8,22,13,0,-0.1466947132178935
8,32,17,0,0.3486857815412294
8,36,17,0,-0.4129432739936638
8,21,12,0,-1.2300947015038193
8,41,17,0,-12.843554560030515
8,22,13,0,0.3938240696189177
8,17,11,0,0.4173165289683699
8,19,12,0,-0.35197482695501714
8,21,12,0,0.36789871301882315
8,13,9,0,-1.3977908129936663
8,28,16,1,0.5503617030187342
8,23,14,1,0.5191277599153203
8,20,13,1,0.5042160854724393
8,24,14,1,0.5337673050072795
8,35,18,1,0.5361036121302614
8,28,14,1,0.5394313756348859
8,31,15,1,0.504996171229398
8,29,14,1,0.5902985188263632
8,31,17,1,0.46542731230452394
8,25,14,1,0.4797836770431477
8,41,17,2,0.6275099499809796
8,27,11,2,0.5224182504064221
8,32,15,2,0.5206629597105008
8,28,14,2,0.4363961177380501
8,29,14,2,0.4869681457025069
8,24,12,2,0.5225055083631114
8,22,15,2,0.5164665244385507
8,17,9,2,0.5238714872359931
8,23,9,2,0.4348443493624653
8,18,11,2,0.49536932637071307
8,25,10,3,0.49858575231209956
8,31,13,3,0.3857594651873778
8,22,12,3,0.545518009533988
8,33,17,3,0.40643484562539167
8,18,13,3,0.44271042114941395
8,22,13,3,0.4361681497484886
8,18,12,3,0.3804805468767247
8,28,14,3,0.3865142221594503
8,19,11,3,0.460691838582056
8,19,11,3,0.33557149713143597
