,importance
rc_decay_q,2531.0
rc_decay_en,2253.0
rc_estate_center,1977.0
rc_estate_r1_sum,1853.0
rc_q_r3_sum,1808.0
rc_estate_r2_sum,1797.0
rc_q_center,1494.0
rc_q_r2_sum,1347.0
rc_decay_edg,1315.0
rc_q_r1_max,1288.0
rc_q_r2_mean,1166.0
rc_q_r1_min,1019.0
rc_q_r1_sum,974.0
rc_q_r1_mean,863.0
rc_decay_ewg,857.0
rc_n_ionizable_sites,696.0
rc_min_dist_carbonyl,315.0
rc_naromatic_r3,310.0
rc_nhetero_r3,218.0
rc_nEDG_r3,185.0
rc_decay_halogen,98.0
rc_decay_nitro,93.0
rc_nEWG_r3,79.0
rc_center_h,68.0
rc_center_inring,54.0
rc_en_center,48.0
rc_center_aromatic,48.0
rc_en_r1_max,29.0
rc_center_degree,10.0
rc_ncarbonyl_r3,6.0
rc_nhalogen_r3,1.0
rc_center_formalq,0.0
