top_k,complexity,edge_count,fold,val_r2
4,25,7,0,0.28001271305327724
4,28,14,0,0.2996598231392109
4,45,18,0,0.2999020316329215
4,25,9,0,0.28906913910609533
4,38,12,0,0.28099658921476056
4,34,10,0,0.3040912226076725
4,36,12,0,0.2709038180762189
4,30,11,0,0.27975898012859324
4,29,11,0,0.26581207428189535
4,47,13,0,0.28538138390450907
4,37,14,1,0.3492372113182549
4,42,16,1,0.36373886737849026
4,48,18,1,0.33460295392820283
4,28,11,1,0.32533825562912255
4,43,16,1,0.28869356486285036
4,34,17,1,0.2854975601886015
4,32,11,1,0.33215631936619416
4,25,7,1,0.3073436072990281
4,23,7,1,0.3072385116600225
4,35,11,1,0.28385756717534016
4,33,14,2,0.3332319119136603
4,39,13,2,0.3603981701670229
4,29,12,2,0.34784449888494295
4,31,14,2,0.3492208300284134
4,32,13,2,0.34639006985313303
4,21,5,2,0.31676236909496835
4,23,9,2,0.32509662376868775
4,24,9,2,0.31234403886900997
4,25,9,2,0.32497893296879965
4,26,8,2,0.32385874765813316
4,38,11,3,0.3027075407258155
4,31,12,3,0.30419575838145585
4,31,8,3,0.3056458660181598
4,37,16,3,0.2633146838772138
4,28,9,3,0.30815689564593285
4,31,11,3,0.2993896756096752
4,25,7,3,0.30092054548526936
4,22,6,3,0.29636946503834327
4,28,9,3,0.30164415071773787
4,23,7,3,0.3001485900676797
6,24,8,0,0.2838426327331962
6,33,17,0,0.26398046087088056
6,38,18,0,0.2936417223229999
6,24,8,0,0.26356272807157255
6,22,6,0,0.26194455694418084
6,22,5,0,0.2633869677208762
6,26,7,0,0.2631650064979293
6,19,8,0,0.2685688012779389
6,22,6,0,0.264028653516461
6,23,6,0,0.266158176385452
6,34,10,1,0.3486056301700238
6,20,8,1,0.3188327934805133
6,48,17,1,0.3172074001146975
6,19,8,1,0.3153636408796331
6,23,7,1,0.3264522092071487
6,17,5,1,0.3018429935261937
6,17,7,1,0.2763608034522782
6,26,8,1,0.31686549009100173
6,17,7,1,0.2723286588999879
6,21,8,1,0.3078368341299994
6,38,12,2,0.36245621193471234
6,38,11,2,0.34768693370664805
6,29,11,2,0.35248107095761316
6,26,11,2,0.31520563560059
6,38,11,2,0.3571236985318649
6,36,13,2,0.3567353719322337
6,28,8,2,0.33619229745939994
6,22,5,2,0.33653652271065315
6,20,8,2,0.34353315885701896
6,31,11,2,0.335529828540576
6,25,7,3,0.2789545799206826
6,30,12,3,0.30880727350895665
6,40,13,3,0.3116254773234224
6,35,13,3,0.29848263321168167
6,23,11,3,0.2888989884588631
6,19,11,3,0.3140610251093836
6,23,7,3,0.31859850597606776
6,23,7,3,0.30976542992143496
6,20,8,3,0.3244780928556179
6,26,8,3,0.3231381159626342
8,48,17,0,0.35875034945683537
8,27,15,0,0.3543067430741461
8,46,18,0,0.35192301779782365
8,47,19,0,0.35227792380953116
8,26,13,0,0.33731925649019234
8,37,19,0,0.3116174263362267
8,41,14,0,0.3391913599221623
8,40,14,0,0.38407627677020184
8,20,12,0,0.35621708889243575
8,34,11,0,0.33667626240102444
8,41,18,1,0.44073938538013935
8,54,20,1,0.4607885468566302
8,63,20,1,0.44791428880018047
8,51,15,1,0.40960070435214646
8,28,14,1,0.396866986461615
8,47,20,1,0.41549699088497083
8,43,18,1,0.4239314259220184
8,43,15,1,0.40070452919263544
8,42,20,1,0.4264848899822755
8,36,15,1,0.41363832982325666
8,31,11,2,0.4262605642537376
8,42,16,2,0.4074350214526993
8,41,17,2,0.3987496245133314
8,42,19,2,0.44140037000365384
8,44,18,2,0.4158609075225791
8,41,16,2,0.436615748027538
8,31,15,2,0.4227183969686876
8,51,17,2,0.41551010628323004
8,40,13,2,0.4147359127951509
8,63,20,2,0.4306373778549072
8,34,11,3,0.3748321244013909
8,24,12,3,0.39536413771231094
8,39,11,3,0.37331581669144553
8,33,11,3,0.3687303693172421
8,46,15,3,0.4274749805815945
8,36,13,3,0.3745180037889275
8,47,16,3,0.38528856296046865
8,39,13,3,0.36252624056428884
8,30,15,3,0.3508772698378225
8,55,18,3,0.3850138538596908
