,importance
MaxAbsPartialCharge,306.0
MinAbsPartialCharge,289.0
ATSC6Z,265.0
PEOE_VSA13,254.0
MinAbsEStateIndex,254.0
BCUT2D_MRLOW,246.0
AETA_beta,219.0
MATS2se,217.0
ATSC5m,193.0
AATSC2se,185.0
GATS1s,174.0
PEOE_VSA9,164.0
ATSC6i,163.0
ATSC7m,156.0
BCUTd-1l,156.0
ATSC4s,152.0
ATSC4m,151.0
ATSC4se,150.0
SsNH2,147.0
BCUT2D_LOGPLOW,144.0
VSA_EState4,144.0
MinEStateIndex,140.0
PEOE_VSA8,140.0
SlogP_VSA2,139.0
GATS1dv,136.0
AETA_eta_FL,135.0
ATSC5i,135.0
ATSC4dv,135.0
SlogP_VSA1,132.0
MATS2s,131.0
SpMAD_Dzp,129.0
ATSC6dv,128.0
AATSC1dv,127.0
VSA_EState3,125.0
GATS1se,123.0
ATSC3v,123.0
ATSC1dv,122.0
ATSC4i,120.0
ATSC4p,119.0
ATSC3i,118.0
ATSC5p,117.0
GATS2s,115.0
ATSC5s,114.0
ATSC3are,114.0
ATSC3dv,113.0
EState_VSA6,112.0
JGI4,110.0
BCUT2D_MRHI,110.0
BCUTdv-1h,110.0
VSA_EState5,110.0
MATS1s,109.0
GATS2dv,108.0
GATS2Z,108.0
ATSC4v,107.0
GATS1m,107.0
AETA_dBeta,107.0
ATSC5v,106.0
ATSC5se,106.0
ATSC7p,106.0
GATS2pe,105.0
ATSC5dv,103.0
PEOE_VSA7,101.0
ATSC3p,99.0
qed,99.0
MATS2dv,99.0
GATS1are,97.0
ATSC6p,96.0
AETA_eta,96.0
EState_VSA3,96.0
FpDensityMorgan3,96.0
AATSC2s,95.0
BCUTi-1h,95.0
ATSC3m,95.0
IC1,93.0
ATSC6v,93.0
MaxEStateIndex,93.0
ATSC2s,93.0
AATSC0i,92.0
EState_VSA2,92.0
ATS0dv,92.0
AATSC1m,92.0
MID_N,90.0
BCUT2D_CHGLO,89.0
IC2,89.0
SlogP_VSA10,89.0
BCUTd-1h,89.0
AATS1d,89.0
ATSC8i,88.0
PEOE_VSA12,88.0
EState_VSA8,86.0
VSA_EState2,85.0
ATSC6d,85.0
PEOE_VSA11,84.0
ATSC3s,84.0
ETA_dEpsilon_B,83.0
BCUTs-1h,83.0
AETA_beta_s,83.0
AATSC1s,83.0
MATS1dv,83.0
ATSC6se,83.0
BCUT2D_MWHI,82.0
JGI5,82.0
ATSC3d,82.0
ETA_dEpsilon_D,81.0
ATSC5d,80.0
JGI3,80.0
ATSC4d,79.0
BCUTs-1l,79.0
PEOE_VSA1,79.0
EState_VSA5,78.0
ATS2s,78.0
ATSC7i,77.0
ATSC2dv,76.0
AATSC2d,76.0
BCUT2D_CHGHI,75.0
SdssC,74.0
ATSC2i,73.0
ATSC6s,71.0
ATSC2d,71.0
MATS1se,71.0
BCUTse-1h,71.0
RotRatio,70.0
SaaNH,70.0
MATS1Z,68.0
SpMAD_A,68.0
AATSC2i,67.0
ATSC1m,67.0
ATSC8s,67.0
ATSC8se,66.0
ZMIC5,66.0
AMID_N,65.0
PEOE_VSA10,65.0
IC5,65.0
GATS2i,65.0
