top_k,complexity,edge_count,fold,val_r2
8,30,11,0,0.4759968608354267
8,27,11,0,0.4585142583771942
8,35,14,0,0.4823616935940217
8,45,20,0,0.4718382113676901
8,32,12,0,0.4661071876341315
8,36,15,0,0.4808964911975132
8,21,9,0,0.4606864422952951
8,26,12,0,0.45984517477348585
8,28,12,0,0.4564834386172141
8,29,9,0,0.44987801992480725
8,25,13,1,0.40282795225285306
8,31,11,1,0.4264050008297141
8,19,7,1,0.3962312768486097
8,18,11,1,-1.8399646381356285
8,43,16,1,0.38698347900090313
8,21,13,1,0.39897010080684925
8,23,11,1,0.3931794747619848
8,50,17,1,0.38701604420945923
8,19,8,1,0.3893710364939198
8,52,20,1,0.3903024653596512
8,22,11,2,0.422100851342344
8,49,20,2,0.4433708358016929
8,29,11,2,0.42502237170637724
8,38,19,2,0.44795484764769555
8,23,11,2,0.4045676021826963
8,16,10,2,0.41069495019301605
8,21,14,2,0.44009468422821496
8,21,9,2,0.4216332427810957
8,19,8,2,0.3709781755870386
8,34,13,2,0.4314219985334784
8,43,22,3,0.42040181577058666
8,37,20,3,0.41375922911353624
8,23,10,3,0.3558898336726375
8,17,8,3,0.403934948691397
8,32,17,3,0.3857294105865099
8,31,14,3,0.4149204420405219
8,28,9,3,0.41018429322388206
8,43,15,3,0.3852030454422921
8,40,13,3,0.466872760872605
8,31,11,3,0.4125743015623521
12,38,18,0,0.48746436808072635
12,28,14,0,0.4670733750851821
12,13,8,0,0.4344157721723093
12,34,13,0,0.48104820983874763
12,27,11,0,0.45939338014826525
12,30,13,0,0.46642863474365037
12,27,12,0,0.46205737040382555
12,38,17,0,0.46246351109714867
12,22,11,0,0.43433973520922375
12,29,10,0,0.4584318586023013
12,57,23,1,0.46573986469519435
12,22,9,1,0.4259440236138293
12,52,17,1,0.45780356335202643
12,33,13,1,0.4188241543527008
12,41,13,1,0.4706087069792022
12,36,13,1,0.4216804037498959
12,45,17,1,0.4153619637133148
12,25,12,1,0.4218780094186698
12,41,18,1,0.36726826326151873
12,58,24,1,0.4128838179396933
12,40,15,2,0.4242379924286428
12,23,11,2,0.41818422326208804
12,13,10,2,0.4168085616589656
12,25,12,2,0.38602644316410883
12,30,11,2,0.41826070178469177
12,16,5,2,0.40325694163605463
12,20,9,2,0.40458515511270887
12,22,9,2,0.3624805770674061
12,48,23,2,0.43765999500981345
12,18,8,2,0.42920758209323295
12,25,12,3,0.38086260897701696
12,28,9,3,0.4086627202026657
12,48,23,3,0.4230150326413913
12,38,12,3,0.4160344687078784
12,26,14,3,0.39548032228698815
12,45,22,3,0.43100517335721966
12,32,13,3,0.39066687359186847
12,30,13,3,0.40408820425181546
12,39,17,3,0.4147418157268309
12,26,9,3,0.37686472092517476
20,29,10,0,0.47414017460733504
20,42,23,0,0.453353619456053
20,27,13,0,0.42514252010666564
20,18,13,0,0.42603573444905074
20,22,9,0,0.4365554647243932
20,26,7,0,0.4234847652967143
20,32,17,0,0.4360905227247287
20,30,9,0,0.4417279836644653
20,17,7,0,0.4216945759080949
20,13,8,0,0.40662281530628763
20,30,11,1,0.4413332735253278
20,13,7,1,0.389761595460522
20,30,15,1,0.3808593869328327
20,17,11,1,-359.4736445594833
20,19,11,1,0.37741598744614513
20,17,7,1,0.38097750863295465
20,15,11,1,0.36701668568702384
20,12,10,1,0.3643787404778054
20,13,9,1,0.37438066943362136
20,26,11,1,0.3950656402089312
20,16,11,2,0.4161773288996615
20,26,13,2,0.4481433544338712
20,36,15,2,0.40523717551200966
20,29,10,2,0.4525833274015656
20,30,18,2,0.39656475080335574
20,18,11,2,0.4025957749460316
20,15,9,2,0.42344507075025706
20,30,16,2,0.4193622458653562
20,14,10,2,0.38474581110879835
20,15,9,2,0.4018312576958617
20,31,17,3,0.4324932078053225
20,29,9,3,0.3874381056103732
20,33,13,3,0.4360749665233472
20,28,8,3,0.39051955784846637
20,30,10,3,0.4099667753936487
20,31,11,3,0.41131107183180826
20,18,11,3,0.44479483013131493
20,22,10,3,0.35134463692502604
20,35,11,3,0.4205972598398665
20,20,7,3,0.3551955506054304
