,importance
BCUTc-1h,300.0
BCUTi-1h,297.0
MID_h,294.0
MinPartialCharge,291.0
AATSC1s,209.0
MID_N,204.0
JGI5,198.0
BCUT2D_MRLOW,172.0
GATS4s,167.0
AATSC7i,166.0
SlogP_VSA1,163.0
PEOE_VSA8,141.0
RPCG,139.0
RNCG,133.0
AATSC4i,124.0
AATS2are,122.0
EState_VSA7,120.0
FilterItLogS,119.0
GATS4pe,117.0
GATS4c,117.0
MinAbsEStateIndex,112.0
MaxPartialCharge,111.0
MINsssN,109.0
MATS4pe,108.0
MATS1se,103.0
AATS5p,103.0
PEOE_VSA12,101.0
ATSC0c,98.0
MATS2i,97.0
BCUT2D_LOGPLOW,96.0
AMID_N,95.0
GATS1c,94.0
BCUTd-1l,94.0
MATS4m,93.0
PEOE_VSA7,92.0
ATSC1s,92.0
GATS1s,90.0
qed,88.0
MATS2c,87.0
AATSC4pe,86.0
MATS4s,85.0
PEOE_VSA9,84.0
AATS1i,83.0
MDEO-12,83.0
MATS3c,82.0
GATS8c,80.0
AATS4i,80.0
AATSC2c,79.0
ATSC1c,79.0
AATSC3c,79.0
GATS1pe,77.0
ATSC5c,76.0
AETA_beta_s,76.0
GATS4i,75.0
VSA_EState7,75.0
GATS7c,74.0
SlogP_VSA2,74.0
MATS1c,73.0
GATS3d,72.0
MATS4c,72.0
ATSC0pe,71.0
nBondsD,70.0
ATSC2i,70.0
GATS3s,68.0
SPS,68.0
BCUTc-1l,68.0
BCUT2D_CHGLO,68.0
Mi,68.0
PEOE_VSA1,68.0
GATS3c,67.0
AATS5i,67.0
MAXsCH3,67.0
GATS5c,66.0
VSA_EState2,66.0
ATSC2c,65.0
GATS4p,65.0
GATS4dv,65.0
GATS2c,65.0
nBase,64.0
AATSC5s,64.0
IC2,64.0
ATSC5s,64.0
MATS1s,63.0
ATSC6c,63.0
BCUT2D_MWHI,63.0
fr_ketone,63.0
GATS5s,63.0
PEOE_VSA11,63.0
AATS2i,63.0
MATS5c,62.0
MINaaaC,61.0
MATS7s,61.0
EState_VSA2,61.0
ATSC4c,60.0
