top_k,complexity,edge_count,fold,val_r2
8,23,14,0,0.27218795306206967
8,16,11,0,0.2987241913736114
8,21,9,0,0.2834213874502536
8,23,10,0,0.29632324143391275
8,15,11,0,0.26994138342199514
8,21,10,0,0.3446032078084609
8,15,10,0,0.2732498845543767
8,24,9,0,0.2802680077810553
8,34,13,0,0.3383091699522993
8,28,12,0,0.3266063151526013
8,20,13,1,0.444910413671601
8,21,11,1,0.4489351801554937
8,23,13,1,0.4511170016768794
8,17,12,1,0.4500234970692588
8,21,10,1,0.44745892305305346
8,23,13,1,0.43556378645982186
8,36,21,1,0.44102386824567463
8,35,18,1,0.46108433847903385
8,17,7,1,0.4168260995467681
8,40,19,1,0.44914291808417395
8,21,9,2,0.4708642814297822
8,23,13,2,0.4783126646243544
8,30,11,2,0.45236264611642185
8,27,16,2,0.4859084701250119
8,23,11,2,0.46804848171369584
8,20,13,2,0.45936376222634867
8,17,7,2,0.43741107613129093
8,23,11,2,0.4496767222639171
8,19,7,2,0.44273946401108466
8,26,17,2,0.4926514755864776
8,21,9,3,0.4318254214072669
8,19,9,3,0.42754864383317126
8,23,9,3,0.432986548348398
8,23,9,3,0.4260031654033214
8,27,9,3,0.4387642355850867
8,24,10,3,0.4296624442702278
8,27,13,3,0.4313071555205711
8,19,9,3,0.4337631778494411
8,17,7,3,0.4216027682139216
8,23,10,3,0.44597363188994543
12,21,9,0,0.33820186709702715
12,25,13,0,0.28978419972269787
12,26,11,0,0.29012234975132656
12,20,10,0,0.3010749151894492
12,15,10,0,0.2680138198809562
12,32,14,0,0.2925569136246352
12,23,11,0,0.30525523999697846
12,37,18,0,0.3297333487989237
12,21,9,0,0.2908856425224686
12,34,13,0,0.350647059387037
12,21,9,1,0.44223073291185844
12,23,14,1,0.4312413551269728
12,38,18,1,0.4356020135088564
12,23,11,1,0.41899298107084415
12,28,14,1,0.43608088668874734
12,19,9,1,0.42532395315891425
12,24,11,1,0.43451067462306325
12,21,9,1,0.41921819250302494
12,17,7,1,0.4185925096873274
12,36,18,1,0.4409300979832391
12,21,9,2,0.4562320789242079
12,26,11,2,0.4807856505777275
12,38,17,2,0.4656870594295677
12,39,18,2,0.5078914243358217
12,21,15,2,0.49537277796569856
12,21,9,2,0.4553161165928169
12,19,7,2,0.44755573246313585
12,15,10,2,0.4228737142100225
12,24,11,2,0.44742523391778344
12,20,8,2,0.4408115737572419
12,20,15,3,0.44263116333350094
12,29,13,3,0.44656570997936995
12,25,11,3,0.4436969930328527
12,23,9,3,0.45601504001316073
12,24,10,3,0.41260020738048486
12,26,13,3,0.41807087651085695
12,27,10,3,0.4149235072358397
12,25,9,3,0.41716560924191637
12,21,9,3,0.4288626325690589
12,23,12,3,0.3960303767525504
20,15,10,0,0.2829546056143363
20,17,9,0,0.2778138425018962
20,25,12,0,0.2474609467498986
20,19,7,0,0.3182015711817756
20,18,11,0,0.2895699885179934
20,21,9,0,0.285689102042304
20,19,13,0,0.3066481497037844
20,30,17,0,0.27288916542218233
20,31,15,0,0.26326459648587
20,39,19,0,0.31250135735405704
20,25,11,1,0.43888380021579876
20,50,27,1,0.44405343882312875
20,18,10,1,0.4301891696940936
20,29,13,1,0.4383447373557394
20,33,13,1,0.4327369984328133
20,18,12,1,0.4206994493478292
20,23,11,1,0.4338477556489925
20,14,10,1,0.4120489457966182
20,26,11,1,0.3848308951306454
20,22,8,1,0.40874516673194394
20,32,11,2,0.4260058049068174
20,36,20,2,0.47265221845512084
20,19,7,2,0.44039006278811477
20,22,14,2,0.4474669084721373
20,32,19,2,0.4666570780174968
20,31,13,2,0.4707566370933458
20,24,11,2,0.43121124146186884
20,25,9,2,0.44647560680052534
20,15,10,2,0.4486359327618863
20,18,8,2,0.44177502228041643
20,32,18,3,0.43209080823731827
20,23,11,3,0.4257617211307382
20,38,19,3,0.4273608892454933
20,14,10,3,0.4168372893312966
20,17,7,3,0.4247245703129843
20,21,9,3,0.4358437063150191
20,32,14,3,0.4217639215638196
20,35,16,3,0.41430092500694116
20,25,10,3,0.4190806192184292
20,14,10,3,0.4197685533211156
