,importance
PEOE_VSA11,45.0
AATSC5se,41.0
FilterItLogS,38.0
GATS2Z,33.0
MinAbsEStateIndex,28.0
BCUT2D_LOGPLOW,25.0
FpDensityMorgan1,24.0
AETA_eta,24.0
SMR_VSA4,22.0
BCUT2D_MRLOW,21.0
RotRatio,20.0
GATS5d,19.0
ETA_dPsi_A,19.0
GATS7Z,19.0
AETA_beta_s,19.0
MATS6d,19.0
BalabanJ,18.0
GATS6dv,18.0
AATS5i,18.0
ZMIC1,18.0
AATS0p,17.0
AATS4i,16.0
AATSC5dv,16.0
BCUTc-1h,16.0
AATSC5c,15.0
MaxPartialCharge,15.0
ATSC6d,15.0
AATS5p,15.0
PEOE_VSA2,15.0
MATS4Z,14.0
GATS4v,14.0
GATS4p,13.0
AATS8p,13.0
AATSC2d,13.0
ATSC0Z,13.0
BCUTs-1l,13.0
piPC8,12.0
AATSC0v,12.0
ATSC8dv,12.0
AATS1pe,12.0
AMID_N,11.0
ATSC7i,11.0
ATSC5s,11.0
ATS5p,11.0
ATSC5i,11.0
AATS7p,11.0
MATS1v,11.0
MATS4i,10.0
Xch-7d,10.0
MATS8are,10.0
GATS4c,10.0
AATSC5d,10.0
BCUT2D_CHGLO,10.0
JGI5,10.0
GATS4are,10.0
AATS3are,10.0
AATSC7pe,10.0
ATSC7d,9.0
SMR_VSA10,9.0
MATS2dv,9.0
AATSC6dv,9.0
GATS4dv,9.0
AATS6i,9.0
MATS5Z,9.0
AATSC4Z,9.0
ATS7Z,9.0
qed,9.0
MATS6i,9.0
JGI6,9.0
EState_VSA4,8.0
AXp-0d,8.0
MATS4s,8.0
BCUTp-1h,8.0
AXp-4dv,8.0
PEOE_VSA9,8.0
ETA_shape_y,8.0
GATS6d,8.0
ATSC7p,8.0
SsOH,8.0
GATS3are,8.0
Xc-5dv,8.0
GATS8v,8.0
ATS0p,8.0
GATS5dv,8.0
ATSC0p,8.0
AATS3p,8.0
PEOE_VSA6,8.0
SIC3,8.0
AATS8m,8.0
AATSC0c,8.0
ATSC1p,8.0
AATSC8d,8.0
MATS1p,7.0
MATS5are,7.0
GATS3c,7.0
TPSA,7.0
fMF,7.0
MATS3c,7.0
AATSC0p,7.0
GATS8i,7.0
PEOE_VSA1,7.0
GATS8d,7.0
ATSC7v,7.0
Xpc-4dv,7.0
MATS5s,7.0
AATS6v,7.0
AATS6dv,7.0
AATSC7i,7.0
GATS4s,6.0
GATS7p,6.0
