top_k,complexity,edge_count,fold,val_r2
4,23,11,0,0.31687375618306446
4,20,7,0,-0.00826162221129434
4,13,9,0,0.05384978121011419
4,21,9,0,0.21083281343705984
4,23,13,0,0.24981308400191948
4,17,7,0,0.07912492228585477
4,19,7,0,0.04174399674308049
4,20,7,0,-0.2759502722138729
4,19,12,0,0.07941457581762679
4,15,8,0,0.2927842771622785
4,13,9,1,0.028314393822782558
4,25,11,1,-0.13668338973374228
4,22,10,1,0.13381487869266495
4,25,9,1,0.13784706287075998
4,13,9,1,0.039124499537292245
4,17,7,1,0.10633758426817075
4,18,7,1,0.10551161530008524
4,20,9,1,0.2009975131381091
4,11,7,1,-0.15881724898757255
4,13,6,1,-0.1291984606312
4,12,7,2,0.019240375069933924
4,10,5,2,-0.307122454039787
4,13,6,2,-1.2947101517476232
4,11,6,2,0.145387320712705
4,11,6,2,-0.2774040352495377
4,12,6,2,-0.2656312168271946
4,12,6,2,-0.34950216111722554
4,13,8,2,0.25559586075213425
4,12,7,2,-0.4328343736649254
4,11,7,2,-0.4246060196231274
4,13,9,3,0.001238988896680393
4,20,9,3,0.3162963635752146
4,11,8,3,-0.1911759756602025
4,11,8,3,-0.16325813512428744
4,20,9,3,0.26910897112502785
4,14,8,3,-0.15199645229949876
4,14,7,3,-0.0032625392563310207
4,15,8,3,-0.22150531097129766
4,18,7,3,0.313439478679991
4,17,7,3,0.3133206953657963
6,26,11,0,-1.1194731842353511
6,17,9,0,0.12208463559729954
6,23,9,0,0.10672519975246642
6,19,7,0,0.11915032538910897
6,16,9,0,-2.304613951112814
6,15,8,0,0.14224544928616167
6,19,7,0,-0.1390181569836455
6,14,7,0,0.0722869557814807
6,21,7,0,-0.3949324475620306
6,13,9,0,0.13697131559827203
6,15,10,1,0.03695413772073031
6,14,9,1,-0.071352338331371
6,18,7,1,0.09935587178343397
6,11,8,1,-0.02597695280288881
6,13,6,1,-0.2449713989738438
6,13,6,1,-0.14027153627647992
6,15,8,1,-0.017836593923199695
6,14,8,1,-0.07111539723812599
6,26,9,1,0.2548577236277012
6,9,6,1,-0.16669784984506064
6,15,10,2,-0.3895630515268189
6,14,8,2,0.10585760394394572
6,10,6,2,0.1546810109696234
6,9,5,2,-0.32714949056873266
6,13,6,2,-0.29804447112187904
6,11,6,2,-0.2730586744226531
6,11,7,2,0.18270306312640316
6,12,6,2,-0.2932227821835327
6,11,7,2,-0.4489425194133678
6,11,7,2,-0.4366913275023654
6,15,10,3,-0.2405465983372146
6,16,10,3,-0.44979210573105455
6,23,11,3,0.32241543331150035
6,20,9,3,0.2089320792167858
6,15,10,3,-0.0026714434161476674
6,11,8,3,-0.21089154786415376
6,11,8,3,-0.4681579764500301
6,19,10,3,-0.35383976877311585
6,15,7,3,-0.2127844876888807
6,15,10,3,-0.3497621939135489
8,22,9,0,0.11813784765713009
8,13,9,0,0.06506443640346915
8,17,7,0,0.07651808466165344
8,12,8,0,-12.629068131700352
8,15,10,0,-0.9295635188483768
8,19,7,0,-0.1147338872251602
8,18,10,0,0.05619232825683296
8,16,11,0,-0.14594713577383045
8,15,7,0,0.21110852192987795
8,11,7,0,0.30310128716046847
8,13,7,1,-0.21216820682686222
8,14,7,1,0.08155107842636888
8,12,6,1,-0.12381151642426702
8,20,7,1,-0.5917618367492832
8,12,7,1,0.052645517374723116
8,13,6,1,-0.21711079739367412
8,11,7,1,0.08685930616032433
8,14,6,1,-0.4388524124471258
8,14,8,1,-0.31511388121054185
8,14,8,1,-0.1748099526162401
8,13,6,2,-0.2105872663042616
8,12,8,2,0.2787191769651485
8,14,8,2,0.3215119763077299
8,19,7,2,0.0196139572095676
8,11,6,2,0.26667956176776
8,13,8,2,0.146264549621266
8,9,5,2,-0.3155052640882938
8,11,6,2,-1.3277204607725839
8,11,6,2,0.14537685636094222
8,9,5,2,-0.44738782879391414
8,15,8,3,-0.2723841682838539
8,14,8,3,-0.13911540630386
8,16,10,3,-0.1426792101422596
8,17,10,3,-0.23932019933580162
8,20,11,3,-0.6797496257872813
8,13,9,3,-0.08871169104136789
8,13,9,3,-1.7365736536517473
8,11,6,3,-0.22198025873514227
8,12,6,3,-0.1362228529242251
8,15,10,3,-0.11427875129395382
