,importance
TSRW10,61.0
IC2,53.0
BCUTc-1h,48.0
JGI4,45.0
CIC2,43.0
MIC1,42.0
ATSC5dv,41.0
ETA_epsilon_5,37.0
MATS2se,37.0
GATS1s,35.0
BCUT2D_LOGPLOW,33.0
GATS5p,29.0
ATSC5v,28.0
ATSC8dv,27.0
ATSC4c,27.0
BCUTi-1h,27.0
ATSC6c,26.0
AATSC1se,26.0
ATSC7d,25.0
CIC3,25.0
AATSC1pe,25.0
BCUT2D_CHGHI,25.0
GATS4are,25.0
SlogP_VSA2,25.0
AATS5pe,25.0
MIC2,24.0
NaasC,24.0
MATS3s,24.0
MATS1se,23.0
ZMIC5,23.0
AATS4d,22.0
AATSC4dv,22.0
MATS6p,20.0
ATSC3s,20.0
IC1,19.0
AATS5s,19.0
ATSC8d,19.0
GATS3are,19.0
MinPartialCharge,19.0
MID_h,18.0
MATS4d,18.0
ATSC7pe,18.0
MATS6Z,17.0
GATS1se,17.0
ATSC7dv,17.0
EState_VSA3,16.0
MID_N,16.0
EState_VSA8,16.0
MATS3Z,16.0
BCUT2D_MRLOW,16.0
MaxPartialCharge,16.0
SaasC,15.0
MAXsCH3,15.0
AETA_beta_s,15.0
AATS4v,15.0
ATSC3pe,15.0
ATSC6se,15.0
AATSC3se,14.0
GATS5s,14.0
GATS1pe,14.0
ATSC3i,14.0
GATS4Z,14.0
BCUTse-1h,14.0
ATSC4d,14.0
AATSC4c,14.0
BCUTZ-1h,14.0
PEOE_VSA7,14.0
BCUTc-1l,14.0
MATS4se,13.0
GATS4dv,13.0
ATSC6i,13.0
BCUTd-1h,13.0
AATSC5p,13.0
ATSC3se,13.0
VSA_EState3,13.0
GATS3Z,13.0
ETA_dEpsilon_D,13.0
GATS4c,13.0
AATSC5c,12.0
VSA_EState7,12.0
AATSC0i,12.0
RNCG,12.0
TPSA,12.0
BCUTp-1l,12.0
AATS7s,12.0
RotRatio,12.0
GATS6i,12.0
MATS5p,12.0
MINaaN,12.0
AATSC5v,12.0
ATSC6d,12.0
AvgIpc,12.0
IC4,11.0
AATSC4i,11.0
GATS2c,11.0
EState_VSA4,11.0
MATS4v,11.0
MAXaasC,11.0
AATS3p,11.0
AATS3v,10.0
ATSC6Z,10.0
SpMAD_Dzp,10.0
MinAbsEStateIndex,10.0
MATS2i,10.0
MATS2c,10.0
ATSC4p,10.0
AATSC3v,10.0
GATS5c,10.0
GATS3c,10.0
AATSC3c,10.0
GATS5v,10.0
TopoPSA,10.0
GATS4v,9.0
GATS1m,9.0
ATSC4dv,9.0
AATS4dv,9.0
FpDensityMorgan2,9.0
GATS3s,9.0
MATS3c,9.0
AATSC3s,9.0
Xp-7dv,9.0
GATS6s,9.0
SIC0,9.0
SlogP_VSA1,9.0
MATS1c,9.0
PEOE_VSA11,9.0
AATS6se,9.0
AATSC4s,9.0
Chi4n,9.0
JGI5,9.0
MAXdO,9.0
NaaN,9.0
GATS2dv,9.0
ATSC5c,9.0
MAXssCH2,9.0
PEOE_VSA8,9.0
MINaasC,9.0
GATS6dv,9.0
AATS6v,9.0
VSA_EState5,8.0
GATS3p,8.0
ATSC6dv,8.0
AETA_eta,8.0
GATS2i,8.0
AATS6p,8.0
GATS3v,8.0
AATSC6dv,8.0
AATSC5s,8.0
MATS5i,8.0
MATS4s,8.0
ATSC3d,8.0
MinAbsPartialCharge,8.0
GATS5are,8.0
AETA_eta_L,8.0
SLogP,8.0
AETA_eta_FL,8.0
ZMIC1,8.0
GATS5d,8.0
MIC0,8.0
BCUT2D_LOGPHI,8.0
GATS4p,8.0
AATSC4p,8.0
PEOE_VSA2,8.0
AMID,8.0
AATSC1c,8.0
MATS3se,7.0
MDEC-23,7.0
qed,7.0
AXp-3d,7.0
ATSC3v,7.0
AATSC0Z,7.0
GATS3i,7.0
AATS2d,7.0
ATSC5p,7.0
MaxAbsEStateIndex,7.0
ATSC7c,7.0
Xch-6dv,7.0
ATSC8v,7.0
MATS4i,7.0
AATS5dv,7.0
AMID_h,7.0
PEOE_VSA3,7.0
MATS6c,7.0
MATS3d,7.0
ATSC5are,7.0
AATS5i,7.0
MAXaaCH,7.0
MATS1are,7.0
AATSC6v,7.0
AATSC3i,6.0
AXp-2d,6.0
MATS4Z,6.0
ETA_shape_y,6.0
GATS5i,6.0
GATS1d,6.0
MATS3p,6.0
FpDensityMorgan3,6.0
Kappa2,6.0
ATSC6v,6.0
ATSC3Z,6.0
AATSC4d,6.0
AATSC8p,6.0
SMR_VSA10,6.0
ATS2p,6.0
MATS3dv,6.0
MATS6i,6.0
ATSC6p,6.0
ATSC0se,6.0
ATSC0p,6.0
ATSC5m,6.0
MATS5c,6.0
ATSC3c,6.0
AATSC2c,6.0
ETA_shape_p,6.0
ATSC3dv,6.0
PetitjeanIndex,6.0
AATSC0dv,6.0
GATS3dv,6.0
AATS0d,6.0
AATS6s,6.0
ATSC4i,6.0
GATS2are,6.0
MATS1s,6.0
RPCG,6.0
ATSC4v,6.0
ATSC1d,6.0
AATS8pe,6.0
GATS7dv,6.0
ETA_epsilon_4,6.0
AATS2s,6.0
MDEN-22,6.0
BCUTdv-1h,6.0
SlogP_VSA5,6.0
ATSC7i,5.0
BCUTdv-1l,5.0
Mv,5.0
AATS3Z,5.0
MATS1p,5.0
MINdO,5.0
MATS2dv,5.0
AATSC3d,5.0
PEOE_VSA1,5.0
AATS7se,5.0
BCUTd-1l,5.0
AATS4i,5.0
ATS7i,5.0
AATSC2d,5.0
ATSC5d,5.0
ZMIC2,5.0
SM1_Dzp,5.0
ATS2s,5.0
MinEStateIndex,5.0
GATS4i,5.0
AATSC8c,5.0
JGI3,5.0
AXp-1dv,5.0
FpDensityMorgan1,5.0
ATS0dv,5.0
GATS1c,5.0
BCUTpe-1l,5.0
AATS3dv,5.0
AATSC2se,5.0
AATSC6c,5.0
MATS1Z,5.0
ETA_epsilon_1,5.0
GATS3d,5.0
AATSC6m,5.0
MATS4c,5.0
ATS1dv,5.0
AXp-5d,5.0
AATSC6i,5.0
FilterItLogS,5.0
AATSC5i,5.0
GATS2p,5.0
ATSC3p,5.0
ATS3i,5.0
BCUTm-1l,4.0
GATS6m,4.0
AATSC0c,4.0
PEOE_VSA10,4.0
HallKierAlpha,4.0
MATS5m,4.0
AATSC7d,4.0
HybRatio,4.0
SM1_Dzi,4.0
ATS1s,4.0
ATSC0c,4.0
PEOE_VSA9,4.0
ATS0s,4.0
EState_VSA6,4.0
ATS5dv,4.0
ATS5s,4.0
MATS5s,4.0
BCUT2D_CHGLO,4.0
ETA_eta,4.0
MATS4p,4.0
ATSC2v,4.0
MATS7pe,4.0
GATS6se,4.0
ATSC4m,4.0
BalabanJ,4.0
ATSC1i,4.0
MAXsNH2,4.0
SMR_VSA7,4.0
GATS1dv,4.0
AATS7p,4.0
GATS6c,4.0
NumHAcceptors,4.0
GATS5dv,4.0
MINaaCH,4.0
AATSC0se,4.0
MATS2s,4.0
AXp-0dv,4.0
GATS5Z,4.0
ATSC2d,4.0
BIC4,4.0
AATS4p,4.0
AATS1m,4.0
GATS6v,4.0
AATS7d,3.0
GATS2m,3.0
ATSC5s,3.0
ATSC8p,3.0
piPC7,3.0
Mp,3.0
ATSC7v,3.0
AATS6d,3.0
AATS2i,3.0
GATS7c,3.0
SpAbs_Dt,3.0
Xch-7d,3.0
MATS5d,3.0
GATS4s,3.0
CIC0,3.0
AATS3s,3.0
BCUT2D_MWLOW,3.0
AATSC6pe,3.0
MAXaaN,3.0
AATSC7se,3.0
VSA_EState4,3.0
AATSC4Z,3.0
AATS3i,3.0
AATS5p,3.0
AATS3d,3.0
BCUTs-1l,3.0
AETA_beta_ns_d,3.0
ATS0Z,3.0
GATS8c,3.0
AXp-7dv,3.0
MATS6are,3.0
AATS4Z,3.0
AATSC5m,3.0
SpMAD_Dt,3.0
ATSC4s,3.0
MATS6d,3.0
SM1_DzZ,3.0
VSA_EState6,3.0
GATS2s,3.0
ATS6s,3.0
AATSC1m,3.0
AATS2p,3.0
ATSC2dv,3.0
AATS4pe,3.0
AATSC3Z,3.0
ATSC2c,3.0
MATS7c,3.0
AATS7v,3.0
MZ,3.0
AXp-1d,3.0
AATSC5are,3.0
ATSC0Z,3.0
SlogP_VSA4,3.0
ETA_dAlpha_B,3.0
AATSC2Z,3.0
ATS8dv,3.0
GATS6are,3.0
ATSC4pe,3.0
AMID_O,3.0
AATSC1dv,3.0
GATS1v,3.0
BCUTi-1l,2.0
Xch-5dv,2.0
SaaaC,2.0
Xc-3dv,2.0
Kier3,2.0
ETA_epsilon_2,2.0
AMID_N,2.0
AATS2se,2.0
AATSC8d,2.0
EState_VSA5,2.0
MATS1d,2.0
ETA_eta_FL,2.0
SlogP_VSA3,2.0
VSA_EState2,2.0
SaaCH,2.0
AATS1i,2.0
ATS4dv,2.0
AATS4s,2.0
EState_VSA9,2.0
AATSC7p,2.0
AATS1dv,2.0
ATSC1p,2.0
AATS1pe,2.0
AATSC2p,2.0
ATSC0v,2.0
AATSC7v,2.0
GATS2v,2.0
AXp-0d,2.0
AATSC7c,2.0
MATS8c,2.0
ATSC1dv,2.0
piPC6,2.0
Chi3v,2.0
PEOE_VSA4,2.0
AATS5Z,2.0
AXp-4d,2.0
AATSC0v,2.0
ATS5m,2.0
AATSC7s,2.0
AXp-6d,2.0
MAXaasN,2.0
PEOE_VSA5,2.0
ATS8s,2.0
ATSC6s,2.0
PEOE_VSA6,2.0
AATSC1p,2.0
Xch-6d,2.0
GGI6,2.0
AATSC0p,2.0
AATS7i,2.0
GATS4d,2.0
JGI7,2.0
fr_NH0,2.0
SIC1,2.0
GATS2d,2.0
AATSC7i,2.0
GATS7s,2.0
AATS2v,2.0
AATS8v,2.0
AATS6i,2.0
BCUTs-1h,2.0
EState_VSA2,2.0
SpMAD_A,2.0
VSA_EState1,2.0
GATS6p,2.0
MATS7s,2.0
SlogP_VSA6,2.0
ATS1m,2.0
AETA_eta_F,2.0
JGI1,2.0
AATS5d,2.0
GATS8dv,2.0
GATS7m,2.0
MDEC-22,2.0
fMF,2.0
AATSC2s,2.0
MATS8dv,2.0
ATSC0d,2.0
AATS8dv,2.0
GATS7pe,2.0
SsCH3,2.0
ATS3m,1.0
fr_ketone,1.0
SMR_VSA4,1.0
AATS1s,1.0
SsOH,1.0
AATSC1v,1.0
AATSC4se,1.0
ATSC1c,1.0
GATS7d,1.0
PEOE_VSA12,1.0
SssCH2,1.0
GATS1i,1.0
AXp-4dv,1.0
Mi,1.0
C2SP2,1.0
ATSC0dv,1.0
ATSC1s,1.0
MATS5dv,1.0
ATSC2s,1.0
AATS0Z,1.0
GATS8m,1.0
SMR_VSA9,1.0
MINssNH,1.0
ZMIC0,1.0
VSA_EState8,1.0
ETA_dBeta,1.0
GATS8i,1.0
AATS1p,1.0
AATS8p,1.0
Xc-5dv,1.0
AATS7dv,1.0
MDEC-13,1.0
AXp-7d,1.0
NssNH,1.0
AXp-6dv,1.0
Xc-5d,1.0
WPath,1.0
SaasN,1.0
EState_VSA7,1.0
GGI4,1.0
GATS6d,1.0
AATSC1s,1.0
AATSC6s,1.0
TIC2,1.0
SM1_Dzpe,1.0
SpMAD_DzZ,1.0
ATS7s,1.0
piPC9,1.0
ATSC8Z,1.0
GATS7p,1.0
Xpc-4dv,1.0
AATS2dv,1.0
SMR_VSA6,1.0
ATSC2p,1.0
AETA_beta,1.0
ATSC5i,1.0
JGI2,1.0
ATSC8i,1.0
BertzCT,1.0
AATS3se,1.0
MATS7m,1.0
AATS8s,1.0
ATS7Z,1.0
ATS7dv,1.0
ETA_dEpsilon_B,1.0
IC0,1.0
AATS6Z,1.0
GATS1p,1.0
fr_aryl_methyl,1.0
nAromBond,1.0
nC,1.0
AATSC1d,1.0
fr_pyridine,1.0
SlogP_VSA10,1.0
JGI8,1.0
fragCpx,1.0
SPS,1.0
ATSC7s,1.0
ATSC2are,1.0
AATS0s,1.0
ATSC7m,1.0
MATS5are,1.0
GATS8p,1.0
MATS6s,1.0
CIC5,1.0
ATS8p,1.0
AATS7Z,1.0
ATSC1are,1.0
AATS6dv,1.0
fr_bicyclic,1.0
GATS7v,1.0
ATSC0i,1.0
MATS7dv,1.0
VE2_Dt,1.0
MDEC-33,1.0
AATSC0d,1.0
MPC5,1.0
AATSC8m,1.0
GGI5,0.0
fr_oxime,0.0
piPC10,0.0
MPC8,0.0
AATSC3p,0.0
NssCH2,0.0
TpiPC10,0.0
nHRing,0.0
ATSC8c,0.0
