,importance
FilterItLogS,163.0
BCUT2D_MRLOW,132.0
GATS8c,127.0
BCUTc-1h,120.0
MinAbsPartialCharge,116.0
BCUTi-1h,107.0
ATSC2i,97.0
BCUTc-1l,95.0
ATSC1dv,75.0
BCUTd-1l,75.0
qed,71.0
ATSC1c,66.0
MinAbsEStateIndex,65.0
ATSC4c,61.0
ATSC6d,59.0
Kappa3,58.0
MID_N,57.0
AATS8dv,56.0
PEOE_VSA8,53.0
MATS8c,53.0
VSA_EState7,52.0
AATSC0c,52.0
AATSC2c,51.0
AMID_N,51.0
AATS4s,50.0
ATSC5c,49.0
GATS3c,49.0
BCUT2D_CHGLO,48.0
AATSC4c,47.0
MATS4c,47.0
AMID_O,46.0
ATSC6i,45.0
AATSC1c,45.0
n6aHRing,45.0
ATSC3c,45.0
MID_h,45.0
AATS4dv,44.0
ATSC7c,44.0
JGI2,44.0
MATS2s,42.0
VSA_EState2,42.0
GATS1dv,42.0
ATSC4se,42.0
PEOE_VSA11,41.0
ATSC0c,41.0
AATSC8s,41.0
GATS4m,40.0
VSA_EState3,39.0
GATS5v,39.0
ATSC7i,39.0
ATSC1i,38.0
MATS1c,38.0
VSA_EState5,38.0
AETA_beta_s,37.0
MATS1dv,37.0
BCUT2D_MWLOW,36.0
VSA_EState4,35.0
AATS7s,35.0
SdssC,35.0
AATSC4se,35.0
ATSC6c,35.0
BCUT2D_LOGPLOW,35.0
BCUTdv-1l,34.0
AATSC0d,34.0
ATSC2c,34.0
ATSC4d,34.0
MATS8s,34.0
AATSC4are,33.0
MAXaasC,33.0
GATS4c,33.0
GATS1s,33.0
RPCG,32.0
MATS5v,32.0
ATSC3se,32.0
BCUT2D_MRHI,32.0
PEOE_VSA7,32.0
MATS3c,32.0
PEOE_VSA9,32.0
AXp-4dv,31.0
MATS1se,31.0
ATSC4i,31.0
SssNH,31.0
MATS4pe,31.0
SPS,30.0
MATS2c,30.0
SLogP,30.0
BalabanJ,30.0
MIC0,29.0
BIC5,29.0
SlogP_VSA8,28.0
PEOE_VSA6,28.0
AATS5pe,27.0
MATS1p,27.0
MATS3se,27.0
AATSC5c,27.0
ATSC6p,27.0
ATSC5p,27.0
ATSC4v,27.0
