,importance
AATSC0i,35.0
ATSC1d,30.0
ATSC2c,29.0
GATS3s,28.0
ATSC4s,27.0
PEOE_VSA4,23.0
MinPartialCharge,23.0
IC1,22.0
PetitjeanIndex,21.0
BCUTc-1h,18.0
MATS1dv,17.0
ATSC3v,17.0
BCUT2D_CHGLO,16.0
ATSC4d,15.0
ATSC6c,14.0
BCUT2D_LOGPHI,13.0
GATS2p,13.0
GATS6c,12.0
ATSC4Z,12.0
VSA_EState7,12.0
GATS6se,12.0
RPCG,12.0
AATS5se,11.0
AATSC3s,10.0
MID_N,10.0
Xch-6dv,10.0
AATSC6i,10.0
AATSC1c,9.0
AATS0v,9.0
GATS3i,9.0
BCUTs-1l,9.0
MATS6c,8.0
AATS1m,8.0
ATSC1i,8.0
MolLogP,8.0
n6aHRing,8.0
AXp-3d,8.0
ETA_dEpsilon_D,8.0
GATS4m,8.0
AATSC4i,7.0
AATS3Z,7.0
GATS4c,7.0
SIC0,7.0
GATS2m,7.0
ATSC7d,7.0
BCUTi-1h,7.0
MATS3c,6.0
GATS4d,6.0
Mp,6.0
GATS4i,6.0
GATS3dv,6.0
PEOE_VSA11,6.0
AATS5Z,6.0
ATSC2se,6.0
MAXaasC,5.0
GATS5p,5.0
BCUT2D_MRHI,5.0
GATS1dv,5.0
GATS3p,5.0
BCUT2D_CHGHI,5.0
AXp-7d,5.0
ETA_dEpsilon_B,5.0
PEOE_VSA10,5.0
AATSC3p,5.0
GATS5c,4.0
EState_VSA3,4.0
AATSC0p,4.0
GATS4pe,4.0
ATSC4se,4.0
MATS7s,4.0
MinAbsEStateIndex,4.0
Mv,4.0
FpDensityMorgan1,4.0
GATS5dv,4.0
MATS1c,4.0
SaasC,4.0
ATSC4dv,3.0
ATS3m,3.0
GATS5d,3.0
GATS6v,3.0
GATS1m,3.0
ATSC8are,3.0
AATS1v,3.0
SM1_Dzse,3.0
AXp-1dv,3.0
MATS2s,3.0
n6HRing,3.0
GATS7pe,3.0
AATSC3c,3.0
SM1_Dzm,3.0
AATSC2dv,3.0
AATSC2pe,3.0
AATSC6Z,3.0
VSA_EState5,3.0
Xc-5d,3.0
ATSC5c,3.0
GATS2c,3.0
ATSC5se,3.0
GGI3,3.0
RNCG,3.0
MATS4i,3.0
MATS6i,3.0
ATSC2d,2.0
AATS4p,2.0
PEOE_VSA9,2.0
BCUT2D_LOGPLOW,2.0
MIC2,2.0
MATS4s,2.0
PEOE_VSA3,2.0
AETA_eta_R,2.0
EState_VSA7,2.0
AATSC4s,2.0
ATSC3p,2.0
MaxPartialCharge,2.0
AATSC5s,2.0
MATS4d,2.0
GATS5i,2.0
CIC3,2.0
GATS6p,2.0
AXp-5d,2.0
ATS0s,2.0
ATSC5m,2.0
AATSC5pe,2.0
AATS0m,2.0
ATSC6v,2.0
GATS3c,2.0
MINaaN,2.0
ATSC6d,2.0
AATS6v,1.0
Xpc-5d,1.0
MDEN-22,1.0
BCUT2D_MWLOW,1.0
EState_VSA9,1.0
qed,1.0
AATS2m,1.0
Xc-5dv,1.0
AATS6m,1.0
GATS1d,1.0
ATSC0dv,1.0
ZMIC3,1.0
ATSC5pe,1.0
ATSC5p,1.0
ATS0m,1.0
MATS6p,1.0
ATSC6p,1.0
SpDiam_A,1.0
GGI4,1.0
ATSC3dv,1.0
AATSC2s,1.0
AETA_dBeta,1.0
AATS4v,1.0
ATSC1v,1.0
MAXaaNH,1.0
ATSC7s,1.0
AATS6d,1.0
AATS2d,1.0
AATSC5dv,1.0
SaaNH,1.0
BCUTd-1h,1.0
ATSC7i,1.0
ZMIC5,1.0
GATS7s,1.0
SaaCH,1.0
ATSC8v,1.0
ETA_shape_p,1.0
AATSC4p,1.0
AATSC0c,1.0
FpDensityMorgan2,1.0
GATS2s,1.0
ETA_dAlpha_B,1.0
GATS1p,1.0
ETA_beta_ns_d,1.0
GATS4p,1.0
MATS5v,1.0
AATS2v,1.0
ATSC0c,1.0
ATS5dv,0.0
MATS8c,0.0
HallKierAlpha,0.0
bpol,0.0
GATS7i,0.0
SlogP_VSA8,0.0
ATSC1dv,0.0
NumAliphaticCarbocycles,0.0
AATSC4d,0.0
BIC5,0.0
NumUnspecifiedAtomStereoCenters,0.0
piPC9,0.0
GATS5m,0.0
fr_urea,0.0
AATSC8i,0.0
SpMAD_Dzm,0.0
MATS5m,0.0
ATSC4p,0.0
VSA_EState4,0.0
GATS2pe,0.0
ATSC8Z,0.0
GATS6dv,0.0
NsCH3,0.0
VE2_Dzp,0.0
MATS1s,0.0
ATSC8dv,0.0
Xch-7dv,0.0
MATS6v,0.0
SsssCH,0.0
AETA_beta_ns,0.0
Xc-3dv,0.0
GATS8i,0.0
ATS8Z,0.0
AXp-0dv,0.0
PEOE_VSA5,0.0
ATSC3i,0.0
GATS2d,0.0
VR2_A,0.0
SMR_VSA9,0.0
Xc-4dv,0.0
Radius,0.0
C1SP3,0.0
AATSC5m,0.0
SlogP_VSA12,0.0
ATSC6i,0.0
ATSC5v,0.0
MINdssS,0.0
ATSC8c,0.0
EState_VSA5,0.0
Xch-5dv,0.0
MDEC-12,0.0
IC3,0.0
VSA_EState10,0.0
MAXssCH2,0.0
ETA_eta_L,0.0
MDEN-12,0.0
AATSC5i,0.0
AATSC1d,0.0
EState_VSA6,0.0
GGI7,0.0
ATSC0i,0.0
fr_imidazole,0.0
SlogP_VSA3,0.0
NumAromaticRings,0.0
AATSC6s,0.0
AATSC8p,0.0
fr_priamide,0.0
ATS6s,0.0
AATSC7c,0.0
AATSC8c,0.0
GATS8are,0.0
MATS8se,0.0
piPC3,0.0
ATSC7v,0.0
n9FARing,0.0
ATSC6m,0.0
AATS8dv,0.0
EState_VSA8,0.0
VSA_EState9,0.0
AETA_beta,0.0
ETA_dAlpha_A,0.0
MATS5se,0.0
SdsN,0.0
NssO,0.0
GATS6i,0.0
piPC10,0.0
fr_Al_OH,0.0
FractionCSP3,0.0
GATS8Z,0.0
fMF,0.0
ATS7dv,0.0
ATSC5d,0.0
SpDiam_Dzp,0.0
AATSC7i,0.0
fr_nitro_arom,0.0
fr_sulfonamd,0.0
MAXddssS,0.0
AXp-1d,0.0
AATS7dv,0.0
MINdssC,0.0
AATS5v,0.0
MDEN-11,0.0
ZMIC2,0.0
CIC5,0.0
MATS6s,0.0
SsssN,0.0
fr_aryl_methyl,0.0
NaaaC,0.0
Xpc-5dv,0.0
NHOHCount,0.0
AATS8p,0.0
MAXssO,0.0
JGI6,0.0
MAXsNH2,0.0
GGI9,0.0
piPC7,0.0
MATS5c,0.0
ETA_eta_FL,0.0
MDEN-23,0.0
ATS4se,0.0
GGI6,0.0
GATS6s,0.0
ATSC6s,0.0
SMR_VSA6,0.0
ATSC4v,0.0
NssS,0.0
ATS5m,0.0
NdS,0.0
GATS8v,0.0
AATS8d,0.0
RotRatio,0.0
MAXsssN,0.0
AATS7m,0.0
SlogP_VSA11,0.0
NsNH2,0.0
GGI10,0.0
GATS1v,0.0
PEOE_VSA8,0.0
ATSC5dv,0.0
ATSC1m,0.0
ATS6dv,0.0
GATS8c,0.0
fr_methoxy,0.0
ATSC5i,0.0
AXp-6d,0.0
MATS2pe,0.0
ATSC7dv,0.0
ATSC4i,0.0
JGI10,0.0
ATSC8d,0.0
Xch-7d,0.0
MAXssNH,0.0
Ipc,0.0
MATS5d,0.0
AXp-2d,0.0
MATS2c,0.0
MATS1m,0.0
MINdO,0.0
ATSC0Z,0.0
MATS2se,0.0
FpDensityMorgan3,0.0
nHBDon,0.0
GATS7c,0.0
MINdS,0.0
ATSC0d,0.0
AATSC5c,0.0
Xp-5d,0.0
MATS2d,0.0
NdssS,0.0
fragCpx,0.0
NaasC,0.0
fr_aniline,0.0
GGI8,0.0
MDEC-33,0.0
AvgIpc,0.0
MATS1pe,0.0
AATSC6se,0.0
GATS6m,0.0
AATSC3i,0.0
AATSC6c,0.0
ATS6i,0.0
ATSC7Z,0.0
SMR_VSA10,0.0
MDEC-24,0.0
nBondsKD,0.0
MAXdO,0.0
BertzCT,0.0
AATSC7m,0.0
GGI5,0.0
TIC0,0.0
fr_aldehyde,0.0
JGI9,0.0
AETA_eta,0.0
fr_pyridine,0.0
AATS8m,0.0
NumRotatableBonds,0.0
nS,0.0
Kappa3,0.0
fr_NH1,0.0
fr_ArN,0.0
MATS5p,0.0
MATS6Z,0.0
MINsNH2,0.0
MINddsN,0.0
ZMIC1,0.0
nFRing,0.0
MATS6dv,0.0
MATS6are,0.0
AATS4d,0.0
SRW07,0.0
GATS8d,0.0
MATS7v,0.0
GATS1c,0.0
NssNH,0.0
AATSC8d,0.0
BCUTdv-1l,0.0
fr_sulfone,0.0
SPS,0.0
ATSC6pe,0.0
MAXsCl,0.0
MATS8Z,0.0
AATS5d,0.0
GATS5v,0.0
MATS8s,0.0
AMID_X,0.0
BCUTd-1l,0.0
MATS2v,0.0
AATS6i,0.0
AATS7s,0.0
