top_k,complexity,edge_count,fold,val_r2
4,8,6,0,0.2201099873041623
4,13,8,0,0.30128952546145205
4,8,6,0,0.23614949941442986
4,11,6,0,0.24330256505523973
4,13,8,0,0.41872197446028514
4,9,6,0,0.2095575481351032
4,10,7,0,0.2934670215505759
4,9,6,0,0.2098752543636817
4,16,9,0,0.4209417783232683
4,6,4,0,0.17151681469336055
4,21,12,1,-0.4183648235121078
4,11,7,1,-0.09249723986876801
4,18,12,1,-0.03330066270925802
4,16,9,1,-0.19784920153882135
4,9,6,1,0.04351231862880067
4,12,8,1,-0.8717642807962853
4,11,8,1,0.044665301898673904
4,20,11,1,-0.06914915089214357
4,10,6,1,-0.1108903485270909
4,17,6,1,-0.36724776475505205
4,11,6,2,-0.30910629666286193
4,7,4,2,-0.339934355656337
4,9,5,2,-0.16919968023625942
4,9,5,2,-0.262373414635261
4,7,4,2,-0.3456211095786692
4,7,3,2,-0.3324909189049676
4,4,3,2,-0.07084010455957412
4,8,4,2,-0.08033418982946894
4,9,5,2,-0.35814196177803526
4,8,4,2,-0.1064633348327988
4,12,7,3,-0.052019216797512646
4,15,9,3,-0.9875381895597208
4,11,6,3,-0.24550771060776744
4,12,6,3,-0.3050882384909541
4,12,7,3,-0.949778990619176
4,11,7,3,-0.5429030071379197
4,10,8,3,0.16411269103114845
4,13,8,3,0.023200635121947366
4,9,6,3,0.014840075848224221
4,11,8,3,0.056110918082729166
6,8,6,0,0.23961445767912226
6,13,8,0,0.3662042519718247
6,9,6,0,0.21559111595582203
6,9,6,0,0.22223442080592015
6,6,4,0,0.1697448959953709
6,9,5,0,0.054896420607512986
6,12,8,0,0.2730421987378133
6,17,7,0,-0.014423270760179019
6,8,4,0,0.1658393105438677
6,11,8,0,0.21167752593533828
6,15,9,1,-0.16299522566845592
6,20,12,1,-3.8082709677249635
6,14,9,1,0.019406616674174426
6,27,14,1,-0.5109229915868181
6,10,8,1,0.08860197019134242
6,9,6,1,-0.017834553774862982
6,16,11,1,-139.5021717654969
6,11,8,1,0.06662098494009949
6,7,5,1,-0.5841863003963235
6,8,6,1,0.10691568486942227
6,10,5,2,-0.19540630987840446
6,9,6,2,-0.3067093801179883
6,9,5,2,-0.062150128898386114
6,7,4,2,-0.3502953153374353
6,7,4,2,-0.07924439766261782
6,6,4,2,-0.1541529752041988
6,7,4,2,-0.05365009179901903
6,14,6,2,0.10422723502457587
6,4,3,2,0.10262186229321424
6,7,4,2,0.1227936073453395
6,15,9,3,-0.13552883172306962
6,11,8,3,0.08314032458371723
6,13,8,3,0.006168364746960697
6,9,6,3,0.005676782593881713
6,13,8,3,0.11976923245183779
6,12,6,3,-0.16050407395852795
6,9,6,3,-1.3285202835873702
6,15,9,3,-0.2566342122618941
6,9,6,3,-1.2642546304359747
6,9,6,3,-1.211273533580167
8,9,7,0,0.15574785314423545
8,11,7,0,0.15714197753187253
8,8,6,0,0.22555555142215866
8,9,6,0,0.22426047980504837
8,11,7,0,0.172916844834487
8,9,6,0,0.21013696227556022
8,9,6,0,0.19985293563472672
8,12,9,0,0.04492693192363595
8,6,4,0,0.16747097194551552
8,8,6,0,0.24807350579591259
8,8,6,1,0.052668865810439947
8,13,7,1,-0.2580431215960568
8,11,8,1,0.10780256714246617
8,11,8,1,0.09547545397531776
8,12,8,1,-0.2876202795596907
8,10,8,1,0.21884339215612514
8,10,7,1,0.18271154072978335
8,28,10,1,-1.4389953912807782
8,9,6,1,0.13273088909437025
8,11,8,1,0.020227665717341692
8,16,10,2,-0.324982320113705
8,17,11,2,-0.1768965497467334
8,13,9,2,-0.591167366308281
8,13,9,2,-0.5694794813329165
8,11,7,2,-0.4353795041966788
8,11,7,2,-0.2584966444386714
8,11,7,2,-0.0213472558192751
8,11,7,2,-0.647117173932064
8,11,7,2,-0.5940710529930138
8,14,8,2,-0.21589282367680718
8,13,10,3,-0.09137013635693747
8,14,8,3,0.05481233002234409
8,13,8,3,-0.08217411557833554
8,12,7,3,-0.06225677444968292
8,12,8,3,-0.0070865945140803355
8,8,6,3,-0.42061371181664353
8,9,6,3,-0.20164665612997545
8,8,6,3,-1.36860201413143
8,15,9,3,0.0866979105128457
8,10,6,3,0.09389853069510357
