,importance
RNCG,99.0
BCUTc-1h,71.0
TopoPSA,69.0
BCUTd-1l,57.0
AMID_O,56.0
MAXdssC,49.0
PEOE_VSA8,49.0
ATSC0c,47.0
BalabanJ,46.0
MinAbsEStateIndex,46.0
BCUTdv-1h,45.0
AATSC4i,43.0
ATSC5p,41.0
SMR_VSA1,41.0
GATS3v,39.0
MID_h,38.0
ATSC4Z,37.0
MINaaCH,35.0
RPCG,35.0
FpDensityMorgan3,34.0
BCUTc-1l,34.0
ETA_shape_y,32.0
ATSC7m,31.0
MaxPartialCharge,31.0
ATSC1c,30.0
GATS2i,30.0
GATS4c,30.0
AATSC0se,29.0
MinAbsPartialCharge,29.0
Xch-6dv,29.0
ATS0s,28.0
AATSC3p,28.0
ATSC5m,27.0
GATS3se,26.0
AXp-3d,26.0
ATSC0dv,26.0
VSA_EState3,26.0
GATS2Z,26.0
BCUTs-1h,26.0
GATS2s,25.0
MINssCH2,25.0
PEOE_VSA11,24.0
BCUTp-1l,24.0
ATSC0se,23.0
GATS2dv,23.0
FpDensityMorgan2,22.0
GATS1d,22.0
GATS3c,22.0
AATSC6Z,22.0
BCUT2D_MRLOW,22.0
BCUT2D_MRHI,21.0
MATS7m,21.0
GATS4i,21.0
TPSA,21.0
MATS3d,21.0
MATS6se,21.0
BCUTi-1l,21.0
MIC1,21.0
AATSC0v,21.0
ATSC3p,20.0
AATS3Z,20.0
GATS4Z,20.0
BCUTi-1h,20.0
BIC3,20.0
VSA_EState4,20.0
AATS4dv,19.0
AATSC4v,19.0
AATSC4p,19.0
GATS3i,19.0
BCUT2D_CHGHI,19.0
GATS2p,19.0
AATS2pe,19.0
AATS3se,19.0
MATS3p,18.0
GATS1c,18.0
GATS3s,18.0
BCUT2D_LOGPLOW,18.0
AATS2dv,18.0
GATS1s,18.0
ATSC2dv,17.0
IC0,17.0
ATSC3v,17.0
BIC1,17.0
IC2,17.0
SMR_VSA4,17.0
PEOE_VSA7,17.0
MATS3c,17.0
AATSC3d,17.0
MINsOH,17.0
GATS6dv,16.0
JGT10,16.0
MaxAbsPartialCharge,16.0
CIC2,16.0
GATS1p,16.0
AATSC2dv,16.0
GATS5d,16.0
PEOE_VSA1,16.0
SpMAD_Dt,16.0
SPS,16.0
ATSC6Z,16.0
AATSC4d,16.0
GATS7c,15.0
GATS3p,15.0
AATSC4s,15.0
MATS1v,15.0
AATSC0dv,15.0
AATS6m,15.0
MATS1m,15.0
piPC10,15.0
GATS1m,15.0
MATS7c,15.0
SLogP,15.0
ATSC4c,15.0
AATSC1se,15.0
ZMIC5,15.0
GATS2c,15.0
EState_VSA2,14.0
BCUTv-1l,14.0
MIC2,14.0
MATS4c,14.0
AATSC6se,14.0
MINdO,14.0
SlogP_VSA4,14.0
ATSC3c,14.0
IC1,14.0
AATSC2Z,14.0
SsOH,14.0
NumHAcceptors,14.0
AATS7Z,14.0
MATS2d,13.0
ATSC5i,13.0
BCUTm-1h,13.0
ATSC2c,13.0
ATSC5v,13.0
AATSC2are,13.0
ATS1s,13.0
MATS1c,13.0
Kappa3,13.0
Xch-7d,13.0
BCUT2D_MWHI,13.0
ATSC4d,13.0
AATSC0i,13.0
AATSC5v,13.0
ATSC4dv,13.0
ATSC2d,13.0
CIC3,13.0
MATS2are,13.0
MDEC-23,13.0
AATSC1p,13.0
MATS2dv,12.0
ATSC6c,12.0
GATS2pe,12.0
SMR_VSA5,12.0
GATS6v,12.0
ATSC5se,12.0
GATS3dv,12.0
VSA_EState5,12.0
GATS2v,12.0
FpDensityMorgan1,12.0
MinPartialCharge,12.0
AATSC3m,12.0
MATS3v,12.0
AATSC4c,12.0
MATS1d,12.0
ATSC3are,12.0
EState_VSA5,12.0
MATS4i,12.0
AATSC2d,11.0
ATS2s,11.0
AATS2i,11.0
ATSC1s,11.0
MATS6m,11.0
AATSC3c,11.0
ATSC2i,11.0
AATS4i,11.0
ETA_epsilon_2,11.0
AATS1dv,11.0
ETA_epsilon_5,11.0
AATSC0s,11.0
AATSC6dv,11.0
VSA_EState2,11.0
MATS2v,11.0
AATS1se,11.0
AETA_eta_F,11.0
GATS4p,11.0
MATS4s,11.0
ATSC6d,11.0
MinEStateIndex,11.0
PEOE_VSA6,11.0
VSA_EState7,10.0
GATS5m,10.0
BIC2,10.0
GATS4dv,10.0
qed,10.0
EState_VSA8,10.0
GATS2d,10.0
GATS1dv,10.0
ATSC4p,10.0
AATS5s,10.0
AATSC3are,10.0
AXp-1d,10.0
ATSC3s,10.0
GATS3d,10.0
ATSC3d,10.0
MDEC-22,10.0
AATS1s,10.0
MATS4d,10.0
AATS1i,10.0
AATS2p,10.0
AXp-6dv,10.0
ATSC5dv,10.0
MAXdsCH,10.0
ETA_shape_p,10.0
SM1_Dzse,10.0
BCUTare-1h,10.0
MATS4m,9.0
RotRatio,9.0
ZMIC1,9.0
nO,9.0
AATSC5c,9.0
AATS5p,9.0
EState_VSA4,9.0
MATS3Z,9.0
BIC5,9.0
GATS5pe,9.0
SdsCH,9.0
AATSC2p,9.0
GATS1are,9.0
ATSC3Z,9.0
SMR_VSA10,9.0
AMID_h,9.0
VSA_EState8,9.0
AXp-2d,9.0
AATS0d,9.0
EState_VSA10,9.0
JGI3,9.0
JGI2,9.0
AATSC2s,9.0
BCUT2D_MWLOW,9.0
HallKierAlpha,9.0
MATS3s,8.0
FilterItLogS,8.0
JGI4,8.0
MATS1s,8.0
ATS2dv,8.0
BCUT2D_CHGLO,8.0
SpMAD_Dzv,8.0
GATS5c,8.0
EState_VSA3,8.0
AATSC2c,8.0
AATS3i,8.0
CIC0,8.0
GATS7m,8.0
Mp,8.0
AATS1Z,8.0
GATS1v,8.0
GATS7p,8.0
ATSC2s,8.0
TSRW10,8.0
