top_k,complexity,edge_count,fold,val_r2
4,5,2,0,0.11677531352019022
4,5,2,0,0.11659283517433183
4,7,4,0,0.12332505979146657
4,7,4,0,0.12022133447679606
4,9,5,0,0.13257655728071105
4,4,2,0,0.11640044829007967
4,7,4,0,0.1574913400642639
4,9,4,0,0.1914810905630293
4,7,4,0,0.15564715846840949
4,6,4,0,0.12553507782216744
4,9,6,1,0.10269324147634118
4,9,4,1,0.10140046180100759
4,9,5,1,0.11890092251229956
4,8,4,1,0.10207191364751256
4,9,5,1,0.10784230593351551
4,10,6,1,0.09695636392420048
4,11,7,1,0.09568753551094689
4,5,2,1,0.06410700856458629
4,10,6,1,0.09535862960745889
4,7,4,1,0.10188042672010411
4,12,7,2,0.14266806709572954
4,9,5,2,-162.49850693253137
4,14,8,2,0.0013205398148347092
4,9,5,2,0.12655936796553746
4,9,5,2,0.20617037305592478
4,8,4,2,-0.0892890267699944
4,8,4,2,-3.5260918261931486
4,11,6,2,-0.09430890084824384
4,10,6,2,0.2088392583494656
4,8,4,2,0.20123808295544898
4,9,5,3,-0.37940149531514145
4,10,6,3,0.014577663777423422
4,9,5,3,-0.607246081238245
4,9,5,3,-0.40314923403508374
4,8,3,3,-0.19464676914905898
4,10,5,3,-0.14958708897533013
4,7,4,3,0.05890660524491753
4,11,7,3,-0.4066123822018415
4,11,7,3,-0.40142042963294045
4,11,7,3,-0.39363856218968296
6,5,2,0,0.1132033569839509
6,5,2,0,0.11463400659395373
6,7,4,0,0.14171150509241925
6,7,4,0,0.11833260984219418
6,4,2,0,0.11425689124526694
6,7,4,0,0.1559848763880265
6,6,4,0,0.11944683573473558
6,9,4,0,0.18761009431904163
6,7,4,0,0.15416847338292106
6,7,4,0,0.129420734353497
6,9,6,1,0.10440292212078339
6,9,4,1,0.10914937274432757
6,9,5,1,0.12092260917732167
6,8,4,1,0.10260302336239391
6,9,5,1,0.10761836137175518
6,7,4,1,0.09437221450065458
6,5,2,1,0.0693579150651843
6,7,4,1,0.10313453606366141
6,5,2,1,0.07399119494553963
6,7,4,1,0.10428496060873982
6,10,6,2,0.11882804688090776
6,12,8,2,0.09372937657280378
6,13,8,2,0.19108252343126197
6,9,5,2,-6831.714087434906
6,9,5,2,-22.74276872474381
6,9,5,2,0.19763875084004723
6,8,4,2,-7.684819135982364
6,8,4,2,-0.07686323403405981
6,9,5,2,-137.55842622014964
6,11,7,2,0.20187599440576143
6,14,7,3,-0.3407006594742479
6,18,7,3,-0.06555404406638954
6,13,7,3,0.10041035692331968
6,14,7,3,-0.01953209461132377
6,9,5,3,-0.3428837328873431
6,10,6,3,0.05715240382338804
6,8,6,3,-0.061951875594551176
6,11,7,3,-0.09569262510790844
6,11,6,3,-0.012839047638208312
6,11,6,3,0.059962705688395124
8,21,5,0,0.252993905001069
8,9,6,0,0.10008740792231952
8,9,6,0,0.10422202014670212
8,9,6,0,0.09850547491681994
8,9,6,0,0.10227283420680233
8,9,6,0,0.10021519925176559
8,9,6,0,0.07407391643520489
8,9,6,0,0.10490011784656728
8,11,8,0,0.1488409644577411
8,7,4,0,0.05508003690255925
8,17,6,1,0.20304024702336365
8,9,6,1,0.09637533071917304
8,9,4,1,0.09638250702586193
8,8,4,1,0.09815014229444818
8,11,8,1,0.21494651144352273
8,10,6,1,0.08488245113725545
8,11,6,1,0.07730641671953875
8,9,6,1,0.15398010792411287
8,7,4,1,0.08895040553833133
8,11,8,1,0.09531325419576575
8,17,6,2,0.2883572767231679
8,15,4,2,0.17191720212808714
8,10,8,2,-0.08322577453416558
8,9,5,2,-1414.0748597138333
8,14,9,2,-0.7172129800145537
8,15,9,2,0.08471338581099219
8,8,4,2,-3.9805650065456497
8,9,5,2,0.11947711170156072
8,10,6,2,-2.505323180907599
8,10,6,2,-0.5868760569642444
8,13,9,3,0.062304970000535365
8,14,9,3,-0.01600719098801351
8,11,6,3,-0.35033183902367715
8,15,9,3,-0.01906146152292365
8,11,7,3,-0.06852756289940887
8,18,7,3,-0.09433428865528626
8,9,5,3,-0.3621950563725609
8,13,8,3,0.08380651748567447
8,9,6,3,0.013257186410548627
8,18,6,3,0.10003381148593582
