,importance
BCUTc-1h,194.0
MinPartialCharge,109.0
AATSC8m,107.0
MinAbsPartialCharge,85.0
ATSC3d,72.0
BCUT2D_CHGLO,65.0
MAXaasC,64.0
BCUT2D_MRLOW,64.0
VSA_EState3,60.0
PEOE_VSA7,58.0
GATS8m,57.0
AMID_N,57.0
MATS8i,55.0
AATS8s,52.0
AATSC1c,50.0
VSA_EState5,48.0
AATSC1se,48.0
GATS3i,46.0
AATSC2c,45.0
ATSC4i,45.0
BCUTi-1h,44.0
SIC1,43.0
PEOE_VSA8,43.0
ATSC6c,41.0
FpDensityMorgan1,40.0
PEOE_VSA9,39.0
GATS3s,38.0
ATSC3i,37.0
MATS3i,37.0
GATS4are,37.0
GATS6s,37.0
GATS1s,37.0
fr_phenol,37.0
RNCG,37.0
MATS2s,36.0
GATS5s,36.0
AXp-7dv,35.0
ATSC4c,33.0
ZMIC2,33.0
ATSC6are,33.0
GATS4s,33.0
AMID_h,32.0
GATS2dv,32.0
GATS3m,32.0
BCUTd-1l,31.0
AATS6s,31.0
GATS5pe,31.0
GATS3se,31.0
fr_Al_OH,31.0
AATSC3c,31.0
MATS5s,30.0
MATS3pe,30.0
SIC2,30.0
AATSC5are,30.0
MATS1c,30.0
ATSC2c,30.0
ATSC1s,30.0
EState_VSA6,30.0
GATS2i,30.0
GATS2se,30.0
MATS2se,29.0
AATS3i,29.0
AATS1are,29.0
BCUTc-1l,29.0
MATS4se,29.0
ATSC5se,28.0
SaasC,28.0
MATS8dv,28.0
MATS1se,28.0
MINsOH,28.0
GATS3c,28.0
VSA_EState6,28.0
SMR_VSA9,28.0
MINaaCH,28.0
AATS4i,27.0
AATS1i,27.0
ATSC2se,27.0
FpDensityMorgan2,27.0
BCUT2D_MRHI,27.0
ATSC1are,27.0
AATS5dv,27.0
GATS1pe,27.0
GATS2s,26.0
FpDensityMorgan3,26.0
MINaasC,26.0
ATSC3c,26.0
AATSC0v,26.0
ATSC1c,26.0
ATSC5s,25.0
MATS2dv,25.0
MATS3c,25.0
ATSC5c,25.0
ATSC6dv,25.0
AATSC2se,25.0
MATS5se,24.0
AATS6se,24.0
GATS6c,24.0
ATSC6Z,24.0
AATS4d,24.0
GATS4dv,24.0
ATSC3are,24.0
MATS5d,24.0
MATS2m,23.0
MAXaaaC,23.0
AATSC0dv,23.0
BCUTare-1l,23.0
ATS4s,23.0
ATSC3p,22.0
ATSC1se,22.0
ATSC4Z,22.0
GATS4d,21.0
ATSC8s,21.0
GATS1dv,21.0
AETA_eta_L,21.0
MATS1p,21.0
GATS1c,21.0
TPSA,20.0
BCUT2D_CHGHI,20.0
MATS4i,20.0
ATSC7se,20.0
GATS2m,20.0
AATS5i,20.0
ZMIC1,20.0
AATSC0pe,20.0
ATSC1m,20.0
AATSC5c,20.0
ATSC1d,20.0
GATS5c,20.0
GATS7dv,20.0
AATSC5s,20.0
ATSC0c,20.0
AATSC3v,19.0
BCUT2D_LOGPLOW,19.0
AATS0i,19.0
ATSC5v,19.0
ATSC7c,19.0
AATSC5v,19.0
ATSC5Z,19.0
AATSC8c,19.0
GATS5i,19.0
IC3,19.0
MATS1i,19.0
MINaaN,19.0
MATS2i,19.0
MATS5Z,19.0
AXp-3dv,19.0
MDEC-22,18.0
ATSC3v,18.0
AATSC5dv,18.0
AATSC0c,18.0
RPCG,18.0
EState_VSA4,18.0
GATS5d,18.0
ATSC2i,18.0
ETA_shape_y,18.0
MaxAbsEStateIndex,18.0
MDEN-22,18.0
MATS5c,18.0
MATS5i,18.0
GATS4p,18.0
IC0,18.0
AETA_eta_F,18.0
qed,17.0
ATSC2s,17.0
BCUT2D_LOGPHI,17.0
SLogP,17.0
GATS5v,17.0
VSA_EState4,17.0
ATSC5i,17.0
AATS2s,17.0
AATS3p,17.0
ATSC6s,17.0
AATSC3p,17.0
MinAbsEStateIndex,17.0
ETA_dAlpha_B,17.0
piPC6,17.0
ATSC4are,17.0
AATS5s,17.0
MATS1s,17.0
BCUTi-1l,16.0
GATS6p,16.0
AATSC3are,16.0
IC1,16.0
ATSC6v,16.0
JGI2,16.0
AXp-4d,16.0
BCUTv-1h,16.0
AATS4v,16.0
MINaaNH,16.0
AATS4dv,16.0
ETA_eta_B,15.0
ATS3dv,15.0
AXp-5d,15.0
ATSC6i,15.0
AXp-6dv,15.0
BCUTv-1l,15.0
GATS2c,15.0
AATSC0p,15.0
AATS4Z,15.0
AATS5Z,15.0
MATS2d,15.0
MATS4c,15.0
MATS2c,15.0
MATS6v,15.0
GATS4c,15.0
ATSC8d,15.0
AATS3se,15.0
AATS5se,15.0
AATS1s,15.0
AETA_eta_B,14.0
ATSC3dv,14.0
AATSC3s,14.0
MATS3Z,14.0
JGI5,14.0
AATSC1m,14.0
ATSC7d,14.0
PEOE_VSA1,14.0
EState_VSA5,14.0
JGI4,14.0
EState_VSA3,14.0
JGI7,14.0
GATS7m,14.0
GATS6m,14.0
MATS4s,14.0
AXp-6d,13.0
MATS6c,13.0
AATSC4s,13.0
IC2,13.0
ETA_epsilon_4,13.0
ETA_shape_p,13.0
AATS0Z,13.0
AATSC3Z,13.0
ATSC2dv,13.0
GATS2v,13.0
MATS6are,13.0
GATS3v,13.0
AATSC1dv,13.0
AATS8pe,13.0
AATSC4d,13.0
BCUTs-1l,13.0
GATS6v,13.0
MATS7c,13.0
ATSC6p,13.0
ATSC4dv,13.0
MATS4Z,12.0
AXp-7d,12.0
MATS6m,12.0
BCUTs-1h,12.0
AATS5p,12.0
GATS6dv,12.0
MDEC-11,12.0
PEOE_VSA11,12.0
SIC3,12.0
GATS3dv,12.0
GATS2d,12.0
