top_k,complexity,edge_count,fold,val_r2
4,8,5,0,0.4154199261075089
4,10,7,0,0.4589870921410596
4,9,4,0,0.4125940799530211
4,10,5,0,0.4177351798493103
4,11,6,0,0.43806881968667677
4,6,3,0,0.42559279714612275
4,17,6,0,0.4072957860800782
4,11,6,0,0.40581452599828094
4,15,5,0,0.41135137624132245
4,16,5,0,0.40728948398052567
4,20,8,1,0.6076027678469123
4,16,10,1,-0.24056935636465981
4,15,5,1,0.6367961979081713
4,17,7,1,0.6203695672291558
4,18,6,1,0.594729837326621
4,18,5,1,0.6611834772150624
4,16,6,1,0.6349006979248449
4,14,4,1,0.5670367596400625
4,15,5,1,0.5744084418435955
4,13,10,1,0.6730348419371656
4,11,6,2,0.6163630035680301
4,16,11,2,0.6120252755634643
4,11,7,2,0.5830490452028921
4,8,5,2,0.5667958151651031
4,10,7,2,0.6081381902917367
4,11,6,2,0.565264975362121
4,20,7,2,0.599125968298527
4,13,6,2,0.6038458808309203
4,20,7,2,0.615429386674953
4,12,7,2,0.5884758002366994
4,13,8,3,0.6184800608569656
4,6,5,3,0.6342421384041107
4,14,9,3,0.6376570520492849
4,11,6,3,0.6029982662163158
4,13,8,3,0.6043559162022509
4,11,7,3,0.5932914354368044
4,13,8,3,0.6292278224588135
4,9,5,3,0.5791888613434291
4,16,10,3,0.6279926840926257
4,16,10,3,0.6470328391054834
6,9,5,0,0.4559349158940048
6,13,6,0,0.42928160173089014
6,15,5,0,0.41126211617627473
6,16,5,0,0.4198352202991429
6,11,6,0,0.4109777165571322
6,9,4,0,0.41459332853965614
6,17,7,0,0.4292405833233994
6,20,9,0,0.42050921490952964
6,6,3,0,0.4242213150640656
6,13,3,0,0.43514131347629936
6,8,6,1,0.6765789711722668
6,11,7,1,0.5854725974306585
6,24,11,1,0.606717391010923
6,18,9,1,0.6308502556821975
6,16,8,1,0.6441212843227546
6,17,7,1,0.5879562969292813
6,16,6,1,0.5932899587165188
6,16,6,1,0.5739745646397785
6,16,5,1,0.6453790720492963
6,15,5,1,0.5687989029072371
6,18,6,2,0.5658268120375609
6,17,10,2,0.617893134285092
6,13,9,2,0.5885918158407335
6,18,5,2,0.5867599981798831
6,14,8,2,0.61012126078658
6,18,6,2,0.5916340844726268
6,17,7,2,0.5896543394994092
6,8,5,2,0.590047025704238
6,22,8,2,0.5863623808574199
6,30,12,2,0.6125564416076229
6,8,6,3,0.6310579398059317
6,13,10,3,0.655087324474017
6,13,9,3,0.6040485963562434
6,13,8,3,0.6142047927516245
6,27,7,3,0.6591032569740842
6,12,8,3,0.6384482342608485
6,26,8,3,0.6404661103981184
6,18,6,3,0.6028500161686434
6,16,5,3,0.6390322519903637
6,21,5,3,0.5952999096488262
8,25,7,0,0.4423234232794926
8,18,7,0,0.4318692505395121
8,16,5,0,0.45490151580045
8,16,6,0,0.4550830736065755
8,18,7,0,0.4316781457278629
8,18,5,0,0.43954110437001637
8,20,10,0,0.44381122223977687
8,22,9,0,0.4730847889182732
8,15,8,0,0.4282206210017463
8,18,7,0,0.4116036865110191
8,24,7,1,0.6526185915384287
8,24,7,1,0.6111147314076062
8,19,7,1,0.601732087443126
8,27,9,1,0.6504015153744211
8,18,7,1,0.6686701514729114
8,18,7,1,0.6678665452620958
8,23,7,1,0.6583910003202685
8,21,5,1,0.6081590874197949
8,27,7,1,0.6510962905584312
8,32,16,1,0.6805594713642802
8,11,6,2,0.6236001824896535
8,17,7,2,0.6132890698837423
8,17,7,2,0.6254385454941607
8,16,6,2,0.6132683271087219
8,20,9,2,0.6288402042189454
8,15,5,2,0.6240045923311625
8,26,9,2,0.6096795326326309
8,17,6,2,0.6374618039869896
8,20,6,2,0.6350538241096977
8,22,7,2,0.5945573414290615
8,22,11,3,0.5733337658908384
8,12,10,3,0.6452477256825881
8,12,8,3,0.6532540665817874
8,33,14,3,0.656909965338345
8,30,10,3,0.6535164252331396
8,6,4,3,0.627414503579717
8,20,7,3,0.6664677651732405
8,19,7,3,0.5851154508595253
8,21,5,3,0.6765252650952349
8,24,10,3,0.6249536578235853
