,importance
SlogP_VSA2,306.0
BCUTc-1l,259.0
BCUTc-1h,242.0
PEOE_VSA13,240.0
MDEN-13,189.0
ATSC7Z,182.0
ATSC3c,176.0
AATSC2se,172.0
BCUT2D_MRLOW,165.0
MinAbsPartialCharge,162.0
MINtN,153.0
MATS4v,148.0
GATS1s,129.0
MinAbsEStateIndex,125.0
MINdS,125.0
AATSC2c,124.0
VSA_EState4,119.0
MATS1c,118.0
GATS1c,114.0
BCUTs-1l,110.0
MATS2s,109.0
BCUT2D_MWHI,101.0
GATS4c,100.0
TopoPSA,99.0
BCUTi-1h,99.0
PEOE_VSA8,99.0
MATS3c,96.0
MinEStateIndex,94.0
BCUTse-1h,89.0
AATSC3c,87.0
VSA_EState3,87.0
BCUTd-1l,87.0
ATSC0c,86.0
GATS2c,83.0
ETA_dEpsilon_D,82.0
ATSC1c,81.0
AATSC2s,81.0
GATS3c,79.0
AATSC8i,78.0
AETA_beta,78.0
SlogP_VSA10,77.0
BCUT2D_MRHI,77.0
BCUT2D_CHGHI,74.0
MAXaasN,74.0
ATSC1m,73.0
BCUT2D_LOGPLOW,73.0
MATS2se,72.0
AATSC0c,71.0
AATSC7Z,69.0
GATS1se,69.0
VSA_EState5,69.0
GATS3s,68.0
ATSC4c,68.0
PEOE_VSA9,68.0
ATSC2s,68.0
RPCG,67.0
MAXaaaC,67.0
MAXsNH2,67.0
BCUTm-1h,67.0
MATS6se,66.0
GATS3m,65.0
MINaasC,65.0
ATSC2se,65.0
MINaaaC,64.0
GATS3i,64.0
GATS1are,63.0
SlogP_VSA1,63.0
PEOE_VSA7,63.0
MATS1s,63.0
AETA_dBeta,62.0
ATSC5i,62.0
MAXsssN,62.0
MATS4i,62.0
GATS2dv,62.0
ETA_eta,61.0
AATSC1dv,61.0
GATS7c,61.0
AATSC1c,61.0
PEOE_VSA11,61.0
ATSC2c,60.0
qed,60.0
GATS3se,60.0
PEOE_VSA1,59.0
ATSC6Z,59.0
GATS4v,59.0
ATSC4m,58.0
ATSC6p,58.0
AATS5s,58.0
ATS2s,58.0
GATS3p,58.0
MATS2c,58.0
BCUT2D_LOGPHI,58.0
MINaaCH,57.0
MATS4p,57.0
MATS4m,57.0
MAXaasC,57.0
ATSC5m,56.0
AATS4s,56.0
ATSC4se,56.0
SpMAD_Dzp,56.0
ATSC4i,56.0
ATS0dv,56.0
ATSC6c,55.0
MATS2dv,55.0
GATS7Z,55.0
AATSC1s,55.0
MAXdsCH,55.0
GATS7p,55.0
ATSC3i,55.0
JGI6,55.0
MINssCH2,54.0
GATS2Z,53.0
ATSC2i,53.0
GATS5c,53.0
RNCG,53.0
GATS3dv,52.0
GATS3d,52.0
VSA_EState7,52.0
MAXdssC,52.0
AATSC3i,51.0
MINdssC,51.0
EState_VSA2,51.0
MATS7p,51.0
GATS2se,51.0
GATS4m,51.0
GATS4are,51.0
ATSC1dv,50.0
MIC1,50.0
MATS3d,50.0
GATS6c,50.0
AETA_eta,49.0
FpDensityMorgan3,49.0
ATSC6dv,49.0
SsssN,49.0
MATS4s,49.0
SMR_VSA1,49.0
AATSC0i,48.0
MIC2,48.0
GATS5v,48.0
GATS1m,47.0
AATSC4i,47.0
BCUT2D_CHGLO,47.0
EState_VSA8,47.0
GATS4s,47.0
ATSC8s,47.0
ATSC4v,47.0
SdssC,47.0
AETA_eta_FL,47.0
BCUTdv-1h,46.0
ZMIC2,46.0
FpDensityMorgan1,46.0
BIC3,46.0
AATSC1p,46.0
AATSC2Z,46.0
SPS,45.0
ATSC6s,45.0
SsNH2,45.0
GATS1d,45.0
MATS3s,45.0
MATS1Z,45.0
AATSC2d,44.0
IC1,44.0
SpDiam_Dzp,44.0
AATSC5c,44.0
MATS5i,44.0
AATSC5s,43.0
MATS3v,43.0
ATSC3v,43.0
GATS4p,43.0
ATSC2dv,43.0
ATSC1s,43.0
ATSC7d,43.0
BIC1,43.0
Kappa3,42.0
AMID_N,42.0
MATS4dv,42.0
MATS1d,42.0
GATS5s,42.0
JGI4,42.0
MATS2i,42.0
VSA_EState1,42.0
AATSC5i,42.0
AATS5i,42.0
VSA_EState2,42.0
IC2,42.0
GATS6dv,42.0
ATSC4p,41.0
BCUTi-1l,41.0
FpDensityMorgan2,41.0
nAcid,41.0
GATS1p,41.0
ATSC6d,41.0
EState_VSA5,41.0
AETA_beta_s,41.0
ATSC5dv,41.0
MDEN-12,41.0
Xc-5dv,41.0
MAXaaCH,41.0
AATS3i,40.0
MATS3i,40.0
GATS6p,40.0
ETA_beta,40.0
BIC2,40.0
AATSC3p,40.0
GATS8m,40.0
SMR_VSA10,40.0
ATSC3s,40.0
AATSC5d,40.0
BCUTv-1l,40.0
EState_VSA6,40.0
MATS5v,40.0
MINaaN,40.0
AATSC3are,40.0
ATSC4dv,40.0
MaxAbsEStateIndex,40.0
MATS5s,40.0
MATS4c,40.0
AATSC4m,39.0
BCUTs-1h,39.0
fr_alkyl_halide,39.0
GATS5Z,39.0
MINddssS,39.0
ATSC4s,39.0
SLogP,39.0
ATSC3are,39.0
AATSC6Z,39.0
ATSC1d,39.0
ATSC5c,39.0
GATS4dv,39.0
GATS3v,39.0
ATSC3p,38.0
PEOE_VSA2,38.0
GATS2s,38.0
EState_VSA3,38.0
MINdsCH,38.0
MATS5c,38.0
AATSC4s,38.0
ATSC1i,37.0
AATS0dv,37.0
MATS8s,37.0
GATS8c,37.0
ATS0m,37.0
GATS7v,37.0
GATS1dv,37.0
MATS2Z,37.0
GATS4i,37.0
GATS2p,37.0
BCUT2D_MWLOW,37.0
ATSC6v,37.0
AATS6se,37.0
ETA_epsilon_5,36.0
AATSC1m,36.0
ATSC7p,36.0
AATS3Z,36.0
AATSC6c,36.0
CIC3,36.0
GATS5p,36.0
AATSC1i,36.0
GATS5d,36.0
AATSC4c,36.0
ATSC0se,36.0
PEOE_VSA4,36.0
MAXaaNH,36.0
MINsOH,36.0
SaasC,36.0
ZMIC5,36.0
MATS6c,36.0
GATS2d,35.0
IC0,35.0
ATS3Z,35.0
ATSC5d,35.0
AATSC3s,35.0
PEOE_VSA12,35.0
MDEC-22,35.0
ATSC3d,34.0
AATSC0d,34.0
GATS6v,34.0
AXp-2dv,34.0
ATSC3m,34.0
MATS3are,34.0
ATSC7dv,34.0
MDEC-23,34.0
GATS6are,34.0
PEOE_VSA5,33.0
SpDiam_A,33.0
ATSC5v,33.0
GATS4d,33.0
BCUTdv-1l,33.0
AATS6dv,33.0
AATS5Z,33.0
GATS2i,33.0
BCUTp-1l,33.0
AATS4i,33.0
ATSC1pe,33.0
ATSC5se,33.0
MAXddssS,33.0
AATS1Z,33.0
ETA_epsilon_2,32.0
MATS1v,32.0
ATSC2m,32.0
IC5,32.0
AXp-6dv,32.0
MATS2p,32.0
JGI5,32.0
ATSC0dv,32.0
AMID_O,32.0
AATS3dv,32.0
MATS6p,32.0
ETA_shape_y,32.0
ATSC7i,32.0
ATSC0i,32.0
MATS5dv,31.0
JGI1,31.0
