top_k,complexity,edge_count,fold,val_r2
4,13,9,0,0.3570456566205795
4,10,7,0,0.3575484712765976
4,11,7,0,0.36087789053603425
4,14,10,0,0.3539653769516843
4,11,10,0,0.3624031834094237
4,13,9,0,0.36041402609265205
4,20,8,0,0.3629035565357501
4,18,11,0,0.36094504328678023
4,9,8,0,0.34981759195461914
4,11,8,0,0.34835893883715097
4,13,7,1,0.34594092504825713
4,12,8,1,0.3516495473546939
4,18,10,1,0.343685296677411
4,13,8,1,0.3454088533873607
4,11,8,1,0.3508357989289299
4,9,7,1,0.3517726963538069
4,11,7,1,0.34929492450373545
4,16,6,1,0.3519145013328746
4,19,8,1,0.349839406222601
4,15,9,1,0.35492999435596484
4,14,8,2,0.4053315552954405
4,13,8,2,0.40977163506825753
4,12,7,2,0.4019540822752301
4,12,7,2,0.39977978155074
4,11,7,2,0.39401345047755076
4,10,7,2,0.4043185046887945
4,9,6,2,0.3995250790077358
4,17,11,2,0.4062969390087886
4,11,7,2,0.4092475027497018
4,9,7,2,0.397830643349274
4,13,8,3,0.26556352376785164
4,12,8,3,0.28024557215771273
4,17,8,3,0.2693366064201367
4,20,8,3,0.2996465169977517
4,26,15,3,0.28277434183149774
4,13,7,3,0.2728609738228205
4,12,9,3,0.26606888235117865
4,28,14,3,0.2834844652107249
4,13,8,3,0.2819805159254005
4,23,16,3,0.2729334148449317
6,14,10,0,0.36720432567716954
6,11,10,0,0.3669546481338227
6,14,8,0,0.3655847812857005
6,13,8,0,0.3616556979080916
6,11,8,0,0.34927641793466657
6,11,8,0,0.3473544814605737
6,12,6,0,0.3571792144629896
6,11,8,0,0.34548746865617475
6,9,6,0,0.345319194245434
6,9,8,0,0.3549636814000273
6,14,10,1,0.3498599825008162
6,15,10,1,0.3468039249727938
6,12,9,1,0.33608321329371615
6,13,9,1,0.3499295723176922
6,13,8,1,0.34501730267733977
6,19,10,1,0.34790964021931703
6,9,6,1,0.3477269458003446
6,16,10,1,0.3493153051687108
6,19,8,1,0.35443365138896854
6,13,8,1,0.3534742990654892
6,15,10,2,0.4083238998409505
6,12,8,2,0.4050690576211592
6,9,6,2,0.3919887572075027
6,12,7,2,0.39302695799296783
6,19,8,2,0.40443106204717905
6,16,10,2,0.40304341881496475
6,12,9,2,0.4019270761755319
6,13,8,2,0.3982833774076461
6,14,12,2,0.4076401318628129
6,13,8,2,0.40475417850242057
6,14,8,3,0.2540180748053509
6,12,7,3,0.2729650545771717
6,20,10,3,0.26915380664714483
6,15,10,3,0.26832383785510894
6,17,10,3,0.2613692558130911
6,11,8,3,0.2636426073449728
6,19,9,3,0.281371284640344
6,16,8,3,0.27029219167094076
6,19,8,3,0.2697094360789237
6,22,9,3,0.2472909534004929
8,32,13,0,0.4065055113928484
8,29,9,0,0.38605808723735036
8,28,11,0,0.4057380398191641
8,18,10,0,0.4061405109967584
8,22,9,0,0.39173630391085523
8,24,10,0,0.4088878705139861
8,31,9,0,0.40510584547625983
8,25,11,0,0.3918481393841645
8,17,13,0,0.40223003469936613
8,22,12,0,0.4015888992081197
8,25,10,1,0.38329011716065386
8,24,10,1,0.39144709044567694
8,23,9,1,0.38415647372640804
8,23,11,1,0.3871367056548908
8,19,12,1,0.3778847477824858
8,22,10,1,0.3754708995630276
8,22,9,1,0.3846241892726122
8,34,13,1,0.38537300988160916
8,31,19,1,0.39789876659373336
8,28,16,1,0.38576484038524606
8,31,11,2,0.4446316435037414
8,30,11,2,0.450895794090857
8,18,12,2,0.4468300668583318
8,28,9,2,0.444986225500423
8,16,8,2,0.4301513931561367
8,19,9,2,0.44002556277972693
8,20,9,2,0.4506966420477405
8,24,15,2,0.43910008066910566
8,20,9,2,0.440400510453806
8,32,12,2,0.4368246863136226
8,24,10,3,0.37672434449220826
8,23,9,3,0.3727489547479821
8,26,12,3,0.36718824526786964
8,26,13,3,0.36206800040074205
8,28,11,3,0.37228004729545583
8,20,12,3,0.3811025800532686
8,23,11,3,0.36496934297944517
8,28,14,3,0.3699554065374363
8,28,11,3,0.36780158298051957
8,21,11,3,0.36799533527724915
