,importance
BCUTc-1h,46.0
MinPartialCharge,39.0
GATS4m,38.0
IC5,37.0
ATS2s,35.0
ATSC7c,33.0
AATS8d,33.0
ATSC7d,32.0
GATS3are,31.0
BCUT2D_LOGPHI,30.0
ATSC1v,30.0
GATS4d,29.0
GATS2v,28.0
MATS7Z,28.0
PEOE_VSA8,28.0
ZMIC2,27.0
AATSC8s,26.0
AETA_beta_s,25.0
ATSC0dv,25.0
RNCG,25.0
SpMAD_Dt,24.0
BertzCT,24.0
nBase,24.0
AXp-6d,23.0
MinEStateIndex,23.0
ATSC5c,23.0
ATSC8c,23.0
BIC5,23.0
AATS7d,22.0
MATS5are,22.0
ZMIC3,22.0
AATS2p,22.0
BCUT2D_MRHI,21.0
SlogP_VSA2,21.0
AATS5d,21.0
ATSC0c,21.0
MATS3m,20.0
AATS8Z,20.0
MATS2s,20.0
ATSC7are,20.0
PEOE_VSA7,20.0
SsssN,20.0
ATSC5s,19.0
ATSC4pe,19.0
qed,18.0
BCUTse-1l,18.0
ZMIC1,18.0
BCUT2D_CHGHI,18.0
BalabanJ,18.0
AATSC8dv,18.0
GATS5dv,17.0
ATSC2dv,17.0
AATSC2c,17.0
MATS6p,17.0
BCUTd-1h,17.0
ATS1dv,17.0
AATS4dv,17.0
GATS1i,17.0
ATS8Z,17.0
AATS0p,16.0
BCUT2D_MWLOW,16.0
GATS4pe,16.0
MATS3are,16.0
BCUTZ-1l,16.0
AXp-2d,16.0
GATS5are,16.0
BCUT2D_LOGPLOW,16.0
ATSC4se,16.0
AATSC0c,15.0
MATS7c,15.0
AETA_beta_ns_d,15.0
GATS5c,15.0
FilterItLogS,15.0
SLogP,15.0
AATSC5d,15.0
AATS5Z,15.0
MDEC-23,15.0
GATS2p,15.0
AXp-3d,15.0
JGI7,14.0
ATSC0i,14.0
MATS1d,14.0
ATS4Z,14.0
ATSC7p,14.0
AATSC5s,14.0
ATSC5i,14.0
MATS4v,14.0
GATS6v,14.0
AATSC3c,14.0
GATS1se,14.0
ATSC1dv,14.0
MATS6s,14.0
AATS5se,14.0
GATS6d,13.0
ATSC8dv,13.0
AATS7i,13.0
ATSC3c,13.0
TIC0,13.0
NsOH,13.0
BCUTc-1l,13.0
fr_aniline,13.0
AXp-5d,13.0
SlogP_VSA1,13.0
AATSC5are,13.0
GATS7Z,13.0
AATS3d,13.0
AETA_beta_ns,13.0
AETA_eta_L,13.0
AATSC3se,12.0
IC2,12.0
ATSC7m,12.0
ATSC2are,12.0
GATS4c,12.0
ATSC1d,12.0
AATS0d,12.0
ATSC6se,12.0
AATSC8d,12.0
ATSC4Z,12.0
BCUTd-1l,12.0
AATS2i,12.0
AATSC3are,12.0
BCUT2D_MRLOW,12.0
MATS1dv,12.0
MinAbsEStateIndex,12.0
ATSC6s,11.0
ATSC7dv,11.0
ATSC5are,11.0
ATSC4dv,11.0
ATSC6c,11.0
AATS4Z,11.0
Kappa2,11.0
BIC2,11.0
ETA_shape_p,11.0
ATSC6i,11.0
Xp-4d,11.0
GATS2c,11.0
CIC1,11.0
AATSC4c,11.0
AATS6m,11.0
AATS4v,11.0
nBondsD,11.0
AETA_eta_F,10.0
AMID_N,10.0
BCUTs-1l,10.0
MATS2c,10.0
MATS6dv,10.0
SM1_Dzi,10.0
MATS6i,10.0
MDEC-33,10.0
ATS5s,10.0
AATS7v,10.0
GATS7s,10.0
ATSC0pe,10.0
AATSC2d,10.0
Xc-5d,10.0
PEOE_VSA1,10.0
GATS3v,10.0
MATS2v,10.0
AATS7s,10.0
ATSC3i,10.0
AATS5v,9.0
AATSC7are,9.0
AATSC1p,9.0
ATSC2c,9.0
GATS5m,9.0
AXp-6dv,9.0
AXp-5dv,9.0
AATSC1c,9.0
BCUT2D_CHGLO,9.0
ATSC6pe,9.0
ATS6s,9.0
ATS7s,9.0
