top_k,complexity,edge_count,fold,val_r2
4,13,8,0,0.28474662616507207
4,12,8,0,0.44928705995542584
4,12,8,0,0.43499304306261855
4,13,9,0,0.4934595012308812
4,13,10,0,0.4243592059694966
4,13,8,0,0.25683323789590207
4,11,6,0,0.46484684270837784
4,11,7,0,0.4639510114152253
4,11,7,0,0.4724350305111126
4,12,8,0,0.42531272940703313
4,13,8,1,0.16248507486190744
4,12,8,1,0.33859538730813876
4,13,8,1,0.20473973554946523
4,16,10,1,0.2695864786049169
4,11,7,1,0.22809804154898905
4,12,8,1,0.2671294079882235
4,11,7,1,0.275377588632146
4,11,7,1,0.27692983810638594
4,12,8,1,0.3154279430919149
4,13,8,1,0.2663147186432211
4,15,9,2,0.44414156417036854
4,14,8,2,0.41274141526335706
4,14,8,2,0.424061917299981
4,12,8,2,0.4142552486089496
4,14,8,2,0.4044530027162557
4,12,8,2,0.4228254945867057
4,13,8,2,0.3829662419854579
4,13,8,2,0.40310775281196576
4,10,6,2,0.3590404093221229
4,12,8,2,0.3975012591641539
4,12,8,3,0.43788563608412034
4,11,7,3,0.34453563461259284
4,19,11,3,0.3481081479452959
4,11,7,3,0.3458245104217763
4,11,7,3,0.33065811738315976
4,14,8,3,0.2989182151462334
4,13,8,3,0.399669705455591
4,11,7,3,0.28163052875573513
4,10,6,3,0.27324711597853313
4,19,11,3,0.3115472498694326
6,24,11,0,0.19997347510010388
6,11,7,0,0.3730425803055627
6,11,6,0,0.45547991927580933
6,16,8,0,0.4236363680718036
6,11,8,0,0.5883803691769594
6,16,10,0,0.4002203642818628
6,14,8,0,0.4541730055543707
6,11,6,0,0.4456776936500225
6,17,7,0,0.4997823332150575
6,11,6,0,0.4785629949144723
6,11,8,1,0.1637243977473435
6,11,8,1,0.13958971591298552
6,17,7,1,0.17910574729977202
6,11,10,1,0.1833173134501922
6,17,7,1,0.18322425508115636
6,17,7,1,0.1916665498155753
6,9,6,1,0.05906971036522424
6,11,7,1,0.17497726774198918
6,11,7,1,0.1573336266241564
6,11,7,1,0.1555606365372879
6,14,8,2,0.37718549132962353
6,12,7,2,0.43145368332132417
6,13,10,2,0.4369546237965901
6,24,9,2,0.433163346416799
6,13,8,2,0.3509153110227502
6,16,10,2,0.3810004481060133
6,19,12,2,0.3402408950000989
6,19,8,2,0.3578957755184352
6,21,9,2,0.35178885211666566
6,22,8,2,0.3526031492229611
6,13,8,3,0.4070185869734583
6,14,8,3,0.2887670258470575
6,12,6,3,0.3703348807328375
6,10,6,3,0.34672495357335353
6,13,8,3,0.3618726521542387
6,10,6,3,0.3703508979259481
6,14,8,3,0.36259600514077284
6,8,6,3,0.35971803405721614
6,18,7,3,0.2500308306190977
6,18,7,3,0.4106391890507337
8,17,9,0,0.4827465292914166
8,12,8,0,0.4100561706550545
8,13,8,0,0.5109788730696625
8,16,11,0,0.44833124324397433
8,19,9,0,0.48319453143428726
8,11,6,0,0.4503160485762152
8,11,6,0,0.4229286566404735
8,11,8,0,0.5969755113745143
8,14,10,0,0.4045171904752861
8,11,7,0,0.3803720989748698
8,11,8,1,0.1807918166895207
8,11,8,1,0.16166319499368542
8,9,6,1,0.07162259925525927
8,17,7,1,0.22170469915072943
8,17,12,1,0.26900303596944664
8,19,9,1,0.16915525108898066
8,17,7,1,0.23697726351072845
8,11,8,1,0.19932857770301793
8,14,8,1,0.09033504530017955
8,15,5,1,0.0988419231764649
8,19,10,2,0.3579898001122571
8,18,7,2,0.41469085464243727
8,24,11,2,0.45565338129561583
8,16,11,2,0.43543796523367184
8,20,7,2,0.4198891877594415
8,20,7,2,0.41461008974170643
8,21,9,2,0.38407963767116127
8,10,6,2,0.41946546901155113
8,13,8,2,0.5016914340066141
8,20,9,2,0.39314807144832464
8,10,6,3,0.3460334711377152
8,11,6,3,0.3756436176529241
8,14,8,3,0.3779478804890337
8,14,8,3,0.37483543681476417
8,18,7,3,0.36552518145768287
8,12,8,3,0.37431316562890293
8,14,8,3,0.3514687926335437
8,20,8,3,0.42240866656466614
8,11,8,3,0.45103038938811113
8,20,10,3,0.4171032496360567
