,importance
BCUTc-1h,140.0
MINaaCH,110.0
MaxPartialCharge,99.0
MATS1se,92.0
MinPartialCharge,87.0
RPCG,87.0
BCUTs-1h,84.0
SMR_VSA3,83.0
AATSC4pe,83.0
GATS1pe,83.0
NaaN,82.0
ATSC1c,77.0
BCUT2D_LOGPHI,76.0
AATS7d,76.0
AATSC0s,75.0
RNCG,71.0
MINaaN,71.0
MATS1c,64.0
PEOE_VSA8,64.0
VSA_EState2,63.0
MATS2i,62.0
VSA_EState7,60.0
GATS5c,59.0
VSA_EState4,59.0
FpDensityMorgan3,59.0
AATS3s,58.0
BCUT2D_MRLOW,58.0
MAXaasC,57.0
ATSC0s,57.0
AATSC3c,57.0
BCUT2D_LOGPLOW,55.0
AATSC2c,55.0
GATS4s,54.0
SaasC,54.0
AATSC4se,54.0
BalabanJ,54.0
GATS2Z,54.0
AATSC3s,54.0
BIC3,53.0
MATS8d,53.0
GATS3c,52.0
EState_VSA8,52.0
GATS4d,51.0
AATSC5c,51.0
GATS7p,51.0
ATSC3d,50.0
ATSC1i,50.0
GATS6Z,50.0
GATS1m,50.0
MATS7c,50.0
MDEN-23,50.0
GATS5se,49.0
MATS5c,49.0
MATS4se,49.0
GATS7se,48.0
GATS4dv,48.0
ATSC7i,47.0
GATS1c,47.0
CIC3,47.0
BCUTi-1h,47.0
BCUT2D_CHGHI,47.0
PEOE_VSA1,46.0
GATS2dv,45.0
GATS2d,45.0
MINaasC,44.0
ATSC3c,44.0
BCUTc-1l,44.0
BCUT2D_MRHI,44.0
EState_VSA3,44.0
GATS5Z,44.0
ATSC7c,43.0
MINaasN,43.0
MATS6c,42.0
AATS4p,41.0
AATS6d,41.0
AATS4s,41.0
GATS3s,41.0
GATS2i,41.0
ATSC4se,41.0
ATSC4c,40.0
GATS4p,40.0
GATS8c,39.0
ATSC5i,39.0
MATS7i,39.0
SMR_VSA4,39.0
BCUTdv-1h,39.0
AATSC1se,39.0
AATS5i,38.0
ETA_epsilon_5,38.0
AATSC5i,38.0
