top_k,complexity,edge_count,fold,val_r2
4,21,9,0,0.1572407644077437
4,20,7,0,0.1353866355377693
4,18,9,0,0.13786538300227957
4,9,5,0,0.117186060029554
4,11,6,0,0.12006752599668324
4,11,6,0,0.11086915334077097
4,12,6,0,0.09147499364071665
4,7,3,0,0.0931377566345859
4,12,7,0,0.12186995492281039
4,11,6,0,0.13532499131533648
4,10,6,1,0.13929469025354124
4,12,8,1,0.10384932380496781
4,10,6,1,0.16160124543205223
4,10,6,1,-0.6471232176213715
4,14,8,1,0.16882021711634865
4,12,8,1,0.183621558507298
4,9,5,1,0.17697915478901005
4,11,7,1,0.14925478880592102
4,10,8,1,0.14857905821641026
4,9,5,1,0.19865422537427768
4,15,10,2,0.0570068189147116
4,9,5,2,0.06372976897963456
4,9,5,2,0.07364246140377806
4,10,6,2,0.05664886337085584
4,9,5,2,-0.013673457369604014
4,11,6,2,0.07913892488848373
4,11,7,2,0.058261867463441974
4,11,7,2,0.05805634789396741
4,11,6,2,0.055596343712777996
4,11,7,2,0.05360211897007705
4,20,9,3,0.18557343675668625
4,17,7,3,0.13449115676949508
4,9,5,3,0.19025488469370044
4,9,5,3,0.19719470213255474
4,12,7,3,0.19269794211197788
4,11,6,3,0.1915138224094901
4,7,4,3,0.16575481333188802
4,7,4,3,0.15203475199463012
4,6,4,3,0.14940002111643702
4,11,6,3,0.1967250934776833
6,15,11,0,0.32565277796261183
6,21,9,0,0.34540918000392185
6,23,10,0,0.40753295323202576
6,23,9,0,0.3477385900413935
6,19,9,0,0.31847376396875315
6,12,8,0,0.3589954474800735
6,22,9,0,0.3829385774850188
6,19,8,0,0.3231314978417805
6,17,10,0,0.37542600591782826
6,14,9,0,0.3457103497565641
6,19,12,1,0.497277567057552
6,20,9,1,0.4657544003836225
6,19,9,1,0.45708296609380916
6,11,8,1,0.45624487207003206
6,22,10,1,0.49935893987504365
6,9,6,1,0.44525510790708134
6,12,8,1,0.4652818351246393
6,11,8,1,0.4495283368700339
6,13,8,1,0.43969974129085043
6,9,6,1,0.4564738520728294
6,22,10,2,0.28448997994013403
6,19,9,2,0.28542966706431583
6,27,11,2,0.28715192435689463
6,9,6,2,0.25290357259601504
6,17,10,2,0.2847880777555152
6,9,6,2,0.2549366190100403
6,28,9,2,0.3455992191381435
6,15,8,2,0.2615770389211669
6,11,8,2,0.28499793650451344
6,13,6,2,0.2774648703271312
6,16,10,3,0.3494814103965149
6,16,10,3,0.3807056607455176
6,33,17,3,0.3522324472004298
6,13,9,3,0.3526548360813738
6,19,8,3,0.30695928502590397
6,23,9,3,0.3514783684533934
6,20,7,3,0.31406162856883924
6,16,6,3,0.3252216518487199
6,12,8,3,0.3225575546281604
6,14,8,3,0.3294161931760451
8,31,13,0,0.36971437883435876
8,26,13,0,0.34592703072478814
8,13,10,0,0.38709610975664754
8,15,11,0,0.3858661750578385
8,25,13,0,0.3473793307806958
8,27,9,0,0.4054087682792553
8,17,11,0,0.36841734195604636
8,17,11,0,0.35984747311673504
8,12,10,0,0.3567856704798631
8,23,10,0,0.35011922334663637
8,15,10,1,0.4212423886141644
8,15,11,1,0.4914930605011726
8,23,11,1,0.4714397726052283
8,19,9,1,0.41562877996259917
8,17,7,1,0.45896260751122275
8,31,11,1,0.47675007664545266
8,15,11,1,0.46017644298315064
8,18,12,1,0.4679899307457269
8,9,6,1,0.4500798466837882
8,11,7,1,0.45623082780997015
8,11,8,2,0.2709816250016476
8,20,9,2,0.25547429682184264
8,13,9,2,0.268282555379727
8,16,9,2,0.2776747409654138
8,13,8,2,0.2630069641414372
8,9,6,2,0.2466120979931833
8,16,10,2,0.27295472267121335
8,13,9,2,0.22493007775339258
8,13,8,2,0.23441126425963943
8,13,10,2,0.26336324512521847
8,30,11,3,0.3667441492690503
8,19,8,3,0.3503045395686517
8,17,10,3,0.362773577236961
8,24,10,3,0.34786731411517213
8,17,12,3,0.3573799483272371
8,12,8,3,0.32823730463980283
8,15,8,3,0.34359763332229165
8,13,10,3,0.3322650050581659
8,35,14,3,0.35415829717511516
8,14,8,3,0.3453275408122116
