,importance
AATS1p,67.0
JGI5,47.0
Mp,36.0
GATS1c,36.0
AATS2p,34.0
BCUT2D_MWHI,32.0
EState_VSA9,29.0
ATSC4Z,29.0
MATS3c,26.0
AATSC5i,26.0
MATS1c,26.0
BCUTc-1h,26.0
SpMAD_A,23.0
GATS1pe,22.0
GATS5c,19.0
GATS1m,19.0
AATSC4dv,19.0
ATSC5v,17.0
MIC4,17.0
GATS4p,16.0
GATS3c,16.0
ATSC6c,15.0
GATS7c,15.0
VSA_EState6,15.0
nAcid,15.0
ETA_dEpsilon_B,15.0
GATS1v,14.0
fMF,13.0
MaxPartialCharge,13.0
GATS2s,13.0
AATSC5p,13.0
BCUTZ-1h,12.0
MATS5i,12.0
CIC4,12.0
AATSC1dv,12.0
AATS2v,11.0
ATSC2v,11.0
AATS4dv,11.0
MINdO,11.0
TopoPSA,10.0
MinPartialCharge,10.0
BCUTare-1l,10.0
ATSC6p,10.0
PEOE_VSA12,10.0
ATSC6s,10.0
ATSC3i,10.0
ETA_epsilon_5,9.0
GATS4v,9.0
AATSC6p,9.0
GATS3dv,9.0
ZMIC0,9.0
PEOE_VSA10,9.0
ZMIC5,9.0
GATS2d,9.0
BCUTv-1h,8.0
AATS4Z,8.0
SMR_VSA7,8.0
MolMR,8.0
GATS1s,8.0
AETA_eta_RL,8.0
AATSC0Z,8.0
GATS5p,8.0
GATS6pe,8.0
MATS1i,8.0
ATSC4dv,7.0
MATS5v,7.0
ATSC4s,7.0
AATS3dv,7.0
GATS4s,7.0
BCUT2D_MRHI,7.0
AATSC2Z,7.0
ATSC5p,7.0
SMR_VSA9,7.0
ATSC3v,7.0
EState_VSA3,7.0
GATS4dv,7.0
BCUTi-1h,7.0
GATS4pe,7.0
AXp-5dv,7.0
PEOE_VSA11,7.0
GATS6s,7.0
SlogP_VSA6,7.0
GATS5dv,7.0
AATSC8c,7.0
MATS4Z,7.0
AATS1Z,7.0
ATSC1i,6.0
ZMIC1,6.0
IC1,6.0
MATS2d,6.0
AXp-2dv,6.0
ATSC2i,6.0
SIC0,6.0
MID_N,6.0
AATSC2i,6.0
ATSC3d,6.0
AATS3p,6.0
AATS2pe,6.0
GATS1p,5.0
MATS4c,5.0
GATS6c,5.0
AXp-0dv,5.0
GATS5s,5.0
ATSC1s,5.0
AATSC4v,5.0
ATSC6se,5.0
GATS3p,5.0
MATS3Z,5.0
EState_VSA8,5.0
AATSC2dv,5.0
qed,5.0
GATS7pe,5.0
GATS5are,5.0
AATSC0pe,5.0
GATS5i,5.0
GATS6Z,5.0
AATS3pe,5.0
MATS6i,5.0
AATSC1i,5.0
ATSC6v,5.0
AATSC1d,4.0
BCUT2D_MRLOW,4.0
ATSC5i,4.0
GATS4m,4.0
BCUTZ-1l,4.0
AATSC3p,4.0
ATSC5c,4.0
ATSC6d,4.0
MATS4s,4.0
MINaasC,4.0
MATS5p,4.0
MATS6c,4.0
MATS2p,4.0
MDEC-33,4.0
ATSC4p,4.0
ATSC5se,4.0
JGI4,4.0
AATSC2are,4.0
AMID_N,4.0
ATSC2are,4.0
SIC2,4.0
AATSC0c,4.0
CIC0,4.0
MINaaN,4.0
BIC4,4.0
SpMAD_Dt,4.0
AATSC3c,4.0
ATS0s,4.0
BCUT2D_CHGLO,4.0
ATSC1c,4.0
ATSC0Z,4.0
BCUTi-1l,4.0
PEOE_VSA8,4.0
AATSC4are,4.0
AATS4i,4.0
ATSC2dv,4.0
GATS4d,4.0
BCUTdv-1h,4.0
RNCG,4.0
AATSC3pe,4.0
AXp-4dv,4.0
AATS3Z,4.0
AETA_eta_F,4.0
MATS3are,4.0
IC2,3.0
AATS4p,3.0
