top_k,complexity,edge_count,fold,val_r2
4,10,6,0,0.259991445541782
4,11,6,0,0.029856985635441036
4,15,5,0,0.3512921069884919
4,11,8,0,0.2535795844486318
4,12,8,0,0.2612211394342485
4,9,5,0,0.01569369370430662
4,11,6,0,0.23739790125287763
4,11,7,0,0.0248767853927917
4,17,7,0,0.3881988068895684
4,11,6,0,-0.047565461458433544
4,11,8,1,0.4391476113797975
4,14,8,1,-0.13924663533947412
4,11,7,1,0.42465447579914206
4,15,9,1,0.44254086702045314
4,12,7,1,0.08701895161146767
4,14,8,1,0.0357588103645573
4,11,7,1,0.28849161777199406
4,18,12,1,0.46802963680803233
4,8,4,1,0.2617279997247569
4,12,6,1,-0.14280053677851567
4,15,5,2,0.18954821998766802
4,15,10,2,0.3358936335822267
4,12,7,2,0.21654186557282384
4,11,7,2,0.27218343518184396
4,11,7,2,0.2372604292725301
4,11,6,2,0.05524233908487952
4,11,8,2,0.1457575626549552
4,9,6,2,0.10714325691024273
4,11,7,2,0.05132843137348975
4,11,7,2,0.30006144515239874
4,15,5,3,0.26364251338020017
4,11,7,3,0.27297487608354165
4,7,4,3,-0.10095264147940863
4,7,4,3,-0.013585607109771969
4,15,6,3,0.2261483997997108
4,9,6,3,-0.03626261872459313
4,9,5,3,-0.08665520288684414
4,9,6,3,-0.09503969660415912
4,8,6,3,0.06733448548415111
4,9,6,3,-0.09352325100817604
6,12,8,0,0.3249226255062533
6,10,6,0,0.2779234332521098
6,15,5,0,0.31267982162993
6,9,5,0,0.023490895247148535
6,13,8,0,0.29025449979243356
6,10,6,0,0.17645193845611984
6,19,7,0,0.16506908628680017
6,9,5,0,-0.057165531217452825
6,9,5,0,0.03686860479721876
6,13,8,0,0.28023249445411
6,15,5,1,0.3338878458939535
6,11,7,1,0.34620186358049876
6,13,7,1,0.10332136708203354
6,8,4,1,0.11928850531840329
6,10,6,1,0.06439860503764905
6,15,9,1,-0.1995181222503022
6,13,7,1,-0.6436330981484522
6,10,6,1,0.22583998383702042
6,10,5,1,0.24709918808646303
6,11,6,1,0.05086566283261895
6,11,7,2,0.24280067663890226
6,9,6,2,0.19495252355954085
6,12,7,2,0.23458869123349646
6,10,7,2,-0.13491830956718154
6,13,7,2,0.02290525252913378
6,12,8,2,0.2077728578776027
6,20,9,2,0.021480128510743213
6,11,6,2,-0.03550057296816256
6,9,6,2,0.10488238056831645
6,9,5,2,0.13302058982624265
6,13,10,3,-21.52402782440078
6,12,9,3,-5.2787417016912865
6,11,8,3,0.24305210264507227
6,9,6,3,-9.328391386023823
6,14,8,3,0.11558817724090331
6,11,8,3,-0.09172612822976856
6,9,6,3,0.0925618953183105
6,9,8,3,0.12782592253556213
6,9,6,3,0.0980477871433989
6,9,6,3,0.0369666530677728
8,10,6,0,0.23644758228856178
8,15,5,0,0.3910960862242876
8,9,5,0,0.06640209569916533
8,13,8,0,0.06018864379388955
8,11,7,0,0.060374319217368244
8,13,9,0,0.30036006827089035
8,11,6,0,0.22330664544238488
8,8,6,0,0.21817129051727124
8,19,12,0,0.13493860761137488
8,9,5,0,0.052878604890675196
8,15,5,1,0.3368264079159352
8,19,7,1,0.033360270580122364
8,11,7,1,-0.5901671579890411
8,11,7,1,0.36486950786884476
8,8,4,1,0.182921570707538
8,8,4,1,0.24072410216233542
8,15,9,1,-0.5155886102609872
8,10,6,1,-0.03481189553836961
8,9,5,1,0.23036929679338203
8,9,5,1,0.275710741930687
8,16,11,2,0.10617380861915249
8,12,7,2,0.20321106312626447
8,13,7,2,0.09180248146323577
8,8,6,2,0.2878249235819229
8,12,8,2,0.25262878622962925
8,16,12,2,0.24411440518175775
8,11,6,2,0.08409171351574996
8,13,7,2,0.024076500157021452
8,10,6,2,0.12705925714823774
8,9,6,2,0.19426730165025763
8,11,8,3,-29.453123649611097
8,13,8,3,-53.64581697781518
8,9,6,3,0.12436903503429542
8,15,5,3,0.2529605122405072
8,13,8,3,-5.251443116216361
8,11,7,3,0.11603284655948165
8,8,6,3,0.14386992402185983
8,12,7,3,0.14630156191191057
8,17,7,3,-0.9190381563293659
8,14,8,3,0.09603276760490398
