,importance
MaxAbsPartialCharge,45.0
MinAbsPartialCharge,37.0
GATS2dv,36.0
GATS1s,36.0
GATS2c,35.0
MinAbsEStateIndex,34.0
SPS,34.0
AATS1se,32.0
RPCG,28.0
GATS3Z,27.0
MINssCH2,26.0
MATS4s,24.0
AATS0s,23.0
AETA_dBeta,23.0
GATS4c,22.0
GATS1are,21.0
BCUT2D_LOGPLOW,21.0
GATS4s,21.0
ETA_epsilon_5,20.0
AATS4s,19.0
BCUTZ-1h,19.0
MATS2i,19.0
AATSC1c,19.0
MAXsCH3,19.0
AATS2s,18.0
ATSC3Z,18.0
BCUTdv-1l,17.0
GATS1c,16.0
AATS3pe,16.0
GATS4pe,16.0
MDEC-22,15.0
BCUTi-1h,15.0
GATS2d,15.0
EState_VSA2,14.0
AXp-3d,14.0
qed,14.0
AATSC1s,14.0
EState_VSA8,13.0
GATS2s,13.0
MATS4d,13.0
AATSC4s,13.0
AATSC0c,13.0
MATS5i,13.0
JGI6,13.0
AATS1s,13.0
GATS4p,12.0
BCUT2D_MRHI,12.0
MATS4c,11.0
GATS3i,11.0
SpMAD_Dzp,11.0
IC2,11.0
BCUTc-1h,11.0
AvgIpc,11.0
AATS2se,11.0
VSA_EState5,11.0
MIC0,11.0
TopoShapeIndex,11.0
GATS2m,10.0
GATS4m,10.0
AMID_O,10.0
GATS4i,10.0
MINsCH3,10.0
AATS4i,10.0
MATS2c,9.0
ATSC2dv,9.0
BCUTd-1l,9.0
ETA_epsilon_1,9.0
AETA_eta_L,9.0
ATSC2i,9.0
MWC07,9.0
ATSC2c,9.0
AATS4se,9.0
ATSC1s,9.0
AATSC4pe,9.0
AATSC2p,9.0
BCUT2D_MWLOW,8.0
Mse,8.0
VSA_EState3,8.0
ATSC3c,8.0
ATSC0Z,8.0
AATSC1dv,8.0
Xc-3dv,8.0
ATSC0s,8.0
AETA_eta,7.0
AATSC4c,7.0
AATS0p,7.0
ATS4m,7.0
PEOE_VSA2,7.0
GATS1se,7.0
AATS3s,7.0
MATS1c,6.0
MATS3dv,6.0
BCUTc-1l,6.0
CIC1,6.0
MDEC-23,6.0
SpMAD_Dzm,6.0
AATSC2c,6.0
MATS4are,6.0
AATS2Z,6.0
EState_VSA6,6.0
VSA_EState2,6.0
GATS1dv,6.0
SMR_VSA6,6.0
Xpc-4dv,5.0
ATSC2d,5.0
AETA_alpha,5.0
ATSC1p,5.0
GATS2p,5.0
MaxEStateIndex,5.0
BCUTse-1h,5.0
MIC2,5.0
AATSC3dv,5.0
MIC1,5.0
RotRatio,5.0
MATS3se,5.0
ATSC1Z,5.0
MATS6c,5.0
CIC2,5.0
ATSC4i,5.0
AATS5i,5.0
ETA_epsilon_4,5.0
MAXdO,5.0
AETA_eta_RL,5.0
EState_VSA7,5.0
Mv,5.0
MATS1p,5.0
AATSC3d,5.0
MATS1are,5.0
ATSC1se,5.0
MATS4dv,5.0
GATS2v,5.0
GATS5c,5.0
GATS3are,5.0
ATSC3p,4.0
ATSC0dv,4.0
GATS6v,4.0
GATS3v,4.0
GATS4dv,4.0
MATS2pe,4.0
ATSC6p,4.0
AATSC3se,4.0
MATS6i,4.0
ATSC4Z,4.0
AETA_eta_B,4.0
SpMAD_Dzv,4.0
GATS3c,4.0
MAXssCH2,4.0
BCUT2D_CHGLO,4.0
BCUTs-1l,4.0
ATS0s,4.0
SpMAD_A,4.0
ATSC5se,4.0
AATS2pe,4.0
RNCG,4.0
ETA_epsilon_2,4.0
SIC2,4.0
MDEC-33,4.0
AXp-3dv,4.0
