top_k,complexity,edge_count,fold,val_r2
4,19,7,0,0.10624247625560279
4,22,10,0,0.012504638850691308
4,26,13,0,-0.6381247362036209
4,13,8,0,0.27544447737835387
4,27,14,0,-0.021540622743010385
4,7,4,0,0.13785224798547557
4,7,5,0,0.045066710807503685
4,9,6,0,0.16958242467311435
4,8,6,0,0.18177904815570467
4,8,6,0,0.20134942330816608
4,11,7,1,-0.030405218104981424
4,18,7,1,0.13493304282967666
4,18,8,1,-0.17731004176088394
4,6,4,1,0.008131912829750343
4,7,4,1,-0.009085949751127753
4,8,6,1,-0.010923511124227625
4,10,6,1,0.07960998014297005
4,8,6,1,0.015960341504914544
4,8,6,1,-0.012478992578003334
4,10,5,1,-0.00897824171720285
4,15,5,2,0.22669498707393887
4,16,6,2,0.23622102688220137
4,21,10,2,0.1679382434655763
4,17,6,2,0.23054862393066988
4,16,6,2,0.1754023184306538
4,17,7,2,0.22304539624906283
4,16,6,2,0.20876147185334104
4,6,4,2,-0.12992135301177532
4,17,7,2,0.03371029237182388
4,15,5,2,0.1708567803980675
4,15,9,3,-0.4371343972825674
4,13,8,3,-1.6319281960820065
4,11,6,3,-4.258830440112511
4,11,6,3,-1.9007360554499084
4,10,5,3,-1.6049274949944983
4,11,6,3,-2.32563334925867
4,9,5,3,-1.255937647563079
4,12,7,3,-2.6108681677113736
4,8,6,3,-4.092476474759522
4,11,7,3,-0.8522586517873296
6,6,4,0,0.014645790992717012
6,8,6,0,0.001331279074913705
6,8,6,0,0.0051273186325419
6,19,7,0,0.10505536466318621
6,23,11,0,0.30614556626633893
6,7,4,0,-0.02956943710673876
6,8,5,0,-0.08415673547835523
6,11,8,0,0.14716205312957742
6,15,5,0,0.09396983291715455
6,8,6,0,0.07906348873601243
6,12,8,1,-0.9501369172808809
6,20,8,1,0.0008078842132067665
6,19,7,1,-0.4812368019678255
6,16,6,1,-1.153524127057655
6,17,6,1,-0.02637137927646993
6,12,7,1,0.03319578942614987
6,18,6,1,0.05982100845963212
6,12,8,1,-0.2321947137398681
6,8,6,1,0.024937585621627845
6,9,6,1,-0.017583363598367097
6,21,9,2,0.17498217417403716
6,20,8,2,0.18292442899731853
6,17,7,2,0.16804592454088485
6,19,7,2,0.23979409847193833
6,15,5,2,0.2159751937159109
6,23,10,2,0.060715049610014504
6,17,7,2,0.20184533576983132
6,19,9,2,0.17545463814012885
6,15,5,2,0.0903742600380737
6,11,7,2,0.17500355714770022
6,20,8,3,-0.11512027123195634
6,16,6,3,-2.520325760810965
6,11,6,3,-2.0014191593146644
6,10,6,3,-4.331951303785785
6,8,6,3,-3.784656603887603
6,9,5,3,-0.47018844753471245
6,9,5,3,-1.3226713141324438
6,16,5,3,-0.12011591899661944
6,6,4,3,-3.2126748693872154
6,8,5,3,-110.14130704580127
8,27,14,0,-0.8556083263205303
8,21,10,0,-0.03802691825244553
8,15,5,0,0.23500976432006337
8,6,4,0,0.08866200934323665
8,34,19,0,-0.2877105129397981
8,15,6,0,0.23895513202452046
8,17,7,0,0.2498285261048666
8,8,6,0,0.09209183791580544
8,19,7,0,0.2771660214343684
8,8,6,0,0.1920624768986008
8,6,4,1,0.007639636700738861
8,7,4,1,-0.010049280322541598
8,15,10,1,-0.3600013468771317
8,10,6,1,0.0821122039880341
8,8,6,1,-0.02464982161024487
8,10,7,1,0.0012418985714670594
8,8,6,1,-0.008647711582099982
8,8,4,1,-0.012621164217503589
8,15,5,1,-0.0269145448525705
8,11,6,1,-0.02833844204122027
8,19,7,2,0.21390139087262838
8,15,5,2,0.20956641806721077
8,15,5,2,0.08676919020454144
8,2,1,2,-0.015933480337096073
8,9,6,2,-0.010610806615338308
8,4,3,2,0.07860928399118128
8,9,6,2,0.003675053146028673
8,6,5,2,0.06507302917061586
8,6,5,2,0.06447553908743209
8,4,3,2,0.006365563822441245
8,15,5,3,-0.16736563485829903
8,18,6,3,-0.2162660765134432
8,18,7,3,0.1329041059154944
8,11,6,3,-4.571393846317699
8,8,5,3,-0.9469988462876009
8,9,5,3,-0.8739199279174417
8,16,5,3,-0.01071772851202657
8,10,6,3,-3.9180105999220096
8,9,5,3,-1.2554776736821092
8,11,6,3,-7.537687776145846
