,importance
MinPartialCharge,58.0
GATS6dv,48.0
VSA_EState5,36.0
GATS3m,36.0
MaxPartialCharge,35.0
MINaasC,33.0
AATS2s,33.0
GATS2dv,31.0
AATS2Z,30.0
MDEO-11,30.0
AATS4Z,28.0
EState_VSA4,26.0
FpDensityMorgan1,26.0
GATS2i,24.0
ATSC0s,24.0
AATSC3dv,24.0
AATSC0c,23.0
nBase,22.0
AATSC0i,21.0
ATSC3c,21.0
VSA_EState7,20.0
JGI4,20.0
GATS2s,18.0
GATS4Z,18.0
AATS3v,17.0
AXp-2dv,17.0
VSA_EState3,17.0
MATS5d,15.0
AATS6s,14.0
GATS5c,14.0
AATS3d,14.0
ATSC0c,14.0
GATS1c,14.0
ATSC5Z,13.0
EState_VSA7,13.0
AATS1dv,13.0
AATSC3c,13.0
ETA_epsilon_4,13.0
AXp-1dv,12.0
GATS5i,11.0
ATS6s,11.0
BCUTi-1l,11.0
GATS4c,11.0
GATS2m,11.0
JGI3,11.0
C3SP2,10.0
BCUTs-1h,10.0
MATS6s,9.0
AATS5pe,9.0
ATSC5c,9.0
ATSC3v,9.0
BCUTs-1l,9.0
TSRW10,8.0
MinEStateIndex,8.0
AATS5v,8.0
BCUTd-1l,8.0
MATS7c,8.0
MATS3m,8.0
ATSC2c,8.0
nHBAcc,8.0
ATSC2are,8.0
PEOE_VSA8,8.0
MATS8pe,8.0
ZMIC3,8.0
AATS4s,8.0
GATS4d,7.0
BIC3,7.0
MAXaasC,7.0
AATSC6c,7.0
ATSC5i,7.0
AXp-1d,7.0
ATSC2i,7.0
BIC2,7.0
ATSC3dv,7.0
GATS2d,6.0
ATSC8pe,6.0
MINaaCH,6.0
AXp-5dv,6.0
AETA_beta_s,6.0
ATSC5dv,6.0
GATS3s,6.0
MAXaaN,6.0
MATS4v,6.0
ATSC4s,6.0
AATS4v,6.0
AATSC3m,6.0
AATS5i,6.0
AATS1i,6.0
MID_h,6.0
MATS5i,6.0
BIC1,6.0
AATSC5c,5.0
AXp-4d,5.0
ATSC3d,5.0
ATSC2s,5.0
AATSC4p,5.0
AATS4p,5.0
GATS1pe,5.0
AATS7Z,5.0
VSA_EState4,5.0
GATS3dv,5.0
MIC1,5.0
AATS6pe,5.0
AMID_O,5.0
ETA_dPsi_A,5.0
AATSC2c,5.0
ATSC3pe,5.0
ATSC1c,5.0
AATS5Z,5.0
EState_VSA9,5.0
MATS4i,5.0
MATS3c,5.0
PEOE_VSA1,5.0
Kappa3,5.0
AMID_h,5.0
nH,5.0
GATS1m,5.0
EState_VSA6,4.0
ATSC4c,4.0
MATS4are,4.0
AATS5p,4.0
SsOH,4.0
EState_VSA2,4.0
ETA_eta_FL,4.0
ATSC5s,4.0
Xch-6d,4.0
ATSC8v,4.0
MATS6dv,4.0
ATSC5d,4.0
BCUT2D_MRLOW,4.0
GATS7v,4.0
NumAromaticHeterocycles,4.0
PEOE_VSA7,4.0
MID_N,4.0
ZMIC2,4.0
FpDensityMorgan3,4.0
AETA_eta_BR,4.0
AATS5d,4.0
GATS1dv,4.0
JGI1,4.0
ATSC8se,4.0
MinAbsEStateIndex,4.0
ATSC6Z,4.0
IC0,4.0
GATS3v,4.0
Xpc-4dv,4.0
MATS3p,3.0
Xc-5dv,3.0
AvgIpc,3.0
GATS5Z,3.0
AETA_eta_B,3.0
AATS0p,3.0
GATS7m,3.0
SaasC,3.0
AXp-7dv,3.0
GATS2p,3.0
GATS1v,3.0
AATS3i,3.0
MATS8v,3.0
MATS4s,3.0
GATS3se,3.0
AATS7v,3.0
AATSC4s,3.0
AATSC0v,3.0
AATS5dv,3.0
ATSC7i,3.0
MATS7dv,3.0
ATS8p,3.0
ATSC6pe,3.0
MDEC-23,3.0
GATS3i,3.0
IC3,3.0
ATSC2dv,3.0
AATS7s,3.0
Mv,3.0
MATS4d,3.0
AATSC4se,3.0
ATS4s,3.0
MaxEStateIndex,3.0
AXp-2d,3.0
CIC2,3.0
AATS1pe,3.0
RNCG,3.0
GATS4i,3.0
BCUT2D_MWLOW,3.0
AATS4dv,3.0
SlogP_VSA6,3.0
FpDensityMorgan2,3.0
ATSC3p,3.0
AATSC3se,3.0
ATSC0dv,3.0
ATSC1Z,2.0
IC2,2.0
ZMIC1,2.0
VSA_EState6,2.0
MATS4m,2.0
BCUTse-1h,2.0
VSA_EState8,2.0
MATS7m,2.0
GATS1d,2.0
AATS7are,2.0
BIC4,2.0
PetitjeanIndex,2.0
AETA_eta_F,2.0
ATSC6s,2.0
GATS7c,2.0
SlogP_VSA5,2.0
AATSC6se,2.0
AATS7p,2.0
CIC1,2.0
MATS1c,2.0
ATS8Z,2.0
ATS5m,2.0
AATS0d,2.0
MDEC-13,2.0
GATS7d,2.0
ATSC8i,2.0
PEOE_VSA3,2.0
AATS4i,2.0
mZagreb1,2.0
MINsCH3,2.0
ATSC6d,2.0
MATS2s,2.0
AATS8v,2.0
GATS3c,2.0
AXp-5d,2.0
AETA_alpha,2.0
MATS3v,2.0
MATS2p,2.0
AATS2i,2.0
AATS6d,2.0
fr_Ar_N,2.0
AATSC4dv,2.0
MATS6pe,2.0
Xch-7dv,2.0
ATS4dv,2.0
SPS,2.0
BCUTd-1h,2.0
ATSC7p,2.0
BCUTdv-1h,2.0
MATS2are,2.0
AATS2are,2.0
GATS6m,2.0
ATSC8d,2.0
BCUT2D_MRHI,2.0
MATS5s,2.0
AATSC5Z,2.0
ATSC1p,2.0
ATSC4m,2.0
ATSC1se,1.0
AATS3p,1.0
GATS6p,1.0
Phi,1.0
AATSC7s,1.0
BCUTare-1l,1.0
GATS2c,1.0
GGI4,1.0
MATS4c,1.0
MINsOH,1.0
ATS4Z,1.0
GATS7dv,1.0
AXp-3d,1.0
MAXsCH3,1.0
EState_VSA8,1.0
ATSC3s,1.0
AATS6m,1.0
BCUT2D_CHGLO,1.0
ATSC7Z,1.0
ATSC4dv,1.0
SMR_VSA5,1.0
AETA_eta,1.0
SMR_VSA7,1.0
AATS8m,1.0
GGI2,1.0
MolLogP,1.0
SMR_VSA3,1.0
EState_VSA5,1.0
AXp-7d,1.0
MAXaaCH,1.0
GATS8Z,1.0
GATS5pe,1.0
TopoPSA,1.0
JGI6,1.0
MATS7pe,1.0
AATSC1dv,1.0
AATSC2se,1.0
AMID_N,1.0
BCUT2D_LOGPHI,1.0
PEOE_VSA6,1.0
GATS8v,1.0
MATS8d,1.0
SsCH3,1.0
AMID_C,1.0
ATSC5pe,1.0
AATSC1c,1.0
GATS4pe,1.0
ATSC7dv,1.0
GATS4s,1.0
MDEC-22,1.0
ATSC1d,1.0
BCUT2D_LOGPLOW,1.0
fMF,1.0
GGI6,1.0
ETA_epsilon_1,1.0
AATSC4m,1.0
PEOE_VSA9,1.0
AATSC5se,1.0
SpDiam_Dzi,1.0
GATS8d,1.0
MATS1s,1.0
FilterItLogS,1.0
MATS5Z,1.0
AATSC5s,1.0
ATSC7v,1.0
GATS1s,1.0
MIC0,1.0
CIC3,1.0
AATSC2dv,1.0
ATS1s,1.0
ATSC6dv,1.0
GATS6i,1.0
AATSC8i,1.0
piPC7,1.0
ATSC6i,1.0
ETA_eta_B,1.0
ATSC3se,1.0
MATS1m,1.0
qed,1.0
GATS2v,1.0
ATS0p,1.0
Xch-6dv,1.0
EState_VSA3,1.0
JGI8,1.0
MIC5,1.0
ATSC6p,1.0
GATS1i,1.0
ATSC7d,1.0
ATSC4d,0.0
MAXssCH2,0.0
Xc-4d,0.0
GATS7are,0.0
AATSC1d,0.0
ATSC6se,0.0
PEOE_VSA13,0.0
MINaaS,0.0
GATS8dv,0.0
NssS,0.0
fr_NH1,0.0
fr_unbrch_alkane,0.0
MDEO-22,0.0
MAXsssCH,0.0
SsssNH,0.0
MAXsssN,0.0
MDEC-44,0.0
ETA_dEpsilon_B,0.0
ATSC2d,0.0
SdNH,0.0
SsssN,0.0
AATS6p,0.0
AATS8se,0.0
AATSC8se,0.0
MDEC-33,0.0
MDEN-12,0.0
JGI9,0.0
GGI9,0.0
nG12FHRing,0.0
n10ARing,0.0
ATS7dv,0.0
GATS6s,0.0
SM1_Dzp,0.0
MDEO-12,0.0
MINsI,0.0
ATSC1i,0.0
Xpc-6d,0.0
AETA_beta,0.0
fr_Ar_OH,0.0
GATS8se,0.0
VSA_EState10,0.0
HeavyAtomMolWt,0.0
AATSC1se,0.0
AMID_X,0.0
NaaN,0.0
NsCl,0.0
fr_aryl_methyl,0.0
MDEN-23,0.0
Xch-7d,0.0
GATS8i,0.0
fr_nitroso,0.0
ATSC8s,0.0
AATSC2d,0.0
ATSC7c,0.0
GATS3d,0.0
nBondsD,0.0
fr_alkyl_halide,0.0
ATSC3i,0.0
MATS1d,0.0
MINaaaC,0.0
MAXdNH,0.0
fr_Imine,0.0
ATS8dv,0.0
ATSC5p,0.0
MATS1pe,0.0
AETA_dBeta,0.0
Mp,0.0
AATSC6m,0.0
SIC0,0.0
AATS6dv,0.0
GATS6c,0.0
BCUTc-1h,0.0
AATS7dv,0.0
fr_morpholine,0.0
n6aHRing,0.0
MAXsF,0.0
AATSC5p,0.0
ETA_dAlpha_B,0.0
MINdCH2,0.0
GGI8,0.0
n9FAHRing,0.0
MAXaasN,0.0
SsssCH,0.0
GATS7p,0.0
AATS1s,0.0
MINsNH2,0.0
JGI10,0.0
ETA_eta_F,0.0
EState_VSA10,0.0
