top_k,complexity,edge_count,fold,val_r2
4,22,9,0,0.06371066197793207
4,8,3,0,-7.362532347387942
4,12,7,0,0.12821856965492984
4,12,6,0,0.09215260801960568
4,9,5,0,-6.778672504667911
4,9,5,0,0.048251065327368226
4,9,5,0,-6.46566614698471
4,9,5,0,-6.012919443614434
4,13,6,0,0.16277721823206215
4,9,5,0,-7.08518289706784
4,7,4,1,0.11615456859726558
4,4,2,1,0.04587528195598045
4,9,6,1,0.1699986787844403
4,5,3,1,0.04783872947273382
4,9,5,1,0.2702412346279478
4,5,2,1,0.040141407168280296
4,10,4,1,0.06851203436583408
4,7,4,1,0.21430579520166715
4,7,4,1,0.228905912653808
4,3,1,1,-0.005319556342381571
4,9,4,2,-0.058097373196371205
4,11,6,2,0.07352664450586699
4,16,5,2,0.07436737822669504
4,10,5,2,-0.015584012058747154
4,15,5,2,-0.05334308859725678
4,15,5,2,-0.05172391030672552
4,11,6,2,-0.05763036613279282
4,16,5,2,-0.04564788690660948
4,11,6,2,-0.04179022238819807
4,7,2,2,0.0036761585478584102
4,8,6,3,-2.766337653841285
4,17,7,3,-0.43597835183792166
4,16,5,3,-0.9020714635869549
4,16,5,3,-0.5953106572862403
4,10,6,3,-2.398156283960406
4,10,6,3,-2.0688369771187403
4,6,4,3,-3.258581214573402
4,10,6,3,-1.8010785663820403
4,15,6,3,-0.48873518981313024
4,12,7,3,-0.3164385526656983
6,17,6,0,0.2050724526003972
6,7,4,0,0.0657556148287135
6,17,7,0,0.2623404260821113
6,11,6,0,-0.6170454110150398
6,8,4,0,0.1070990579294181
6,16,5,0,0.27112840030363394
6,15,5,0,0.25341732723916366
6,18,6,0,0.2592929310438461
6,9,4,0,0.270713784340197
6,7,3,0,-7.431806409941672
6,12,8,1,0.25704421779464925
6,11,8,1,0.3148876449743001
6,9,5,1,0.49341083232955596
6,10,7,1,0.4346626484703996
6,9,6,1,0.12485266178778032
6,9,6,1,0.11974628634356543
6,6,4,1,0.030613312955480865
6,7,4,1,0.12277549805579469
6,17,10,1,0.5061378217115884
6,9,6,1,0.2842804071926005
6,17,7,2,-0.6543030541584507
6,20,7,2,-0.07349180800457189
6,21,7,2,-0.3082789050948438
6,15,5,2,-0.19474296789252743
6,10,5,2,-0.14896802592842406
6,15,5,2,-0.07803207922755684
6,15,5,2,-0.22064940058108884
6,15,5,2,-0.3052799335550904
6,10,5,2,-0.018392016904775543
6,15,5,2,0.12013193163624403
6,10,7,3,-0.16363762648833502
6,11,6,3,-0.14838838454159586
6,11,6,3,-0.15479811864559223
6,11,6,3,-0.16388525033969104
6,12,8,3,-0.22241785490182564
6,17,7,3,-0.1139660110253744
6,17,7,3,-0.12082628239385285
6,17,7,3,-0.1153606755413148
6,20,7,3,-0.22748604324458
6,20,7,3,-0.21469584680925835
8,20,7,0,0.5507195985181993
8,14,9,0,0.6261013179644229
8,9,5,0,-3.887610433972614
8,15,6,0,0.5762383247726295
8,16,9,0,-4.410396528641294
8,19,7,0,0.49404311273795787
8,17,10,0,-9.562041799605273
8,17,13,0,0.7064060840309788
8,10,7,0,-0.9596448060031633
8,9,6,0,0.5900712105925845
8,21,9,1,0.488493117594765
8,13,9,1,0.5503293970663433
8,18,5,1,0.5295030088856927
8,14,8,1,0.550782180084019
8,11,6,1,0.4862150732096572
8,18,5,1,0.528848078511761
8,9,5,1,0.5005316019187787
8,11,6,1,0.5802185892223853
8,11,6,1,0.6150588149917748
8,16,5,1,0.430581687768118
8,12,7,2,-0.08773833180637425
8,19,11,2,-0.09423038753224677
8,11,6,2,-0.06761019451586425
8,24,11,2,0.28563171034537305
8,20,7,2,-0.04667028934289208
8,12,6,2,-0.02702016783867811
8,17,7,2,0.022949933082464846
8,13,8,2,-0.031858405399743495
8,13,8,2,0.2934151662438028
8,18,7,2,0.04872289613957792
8,12,8,3,-0.7773363501100932
8,14,8,3,0.03226328084509
8,16,10,3,0.2027945125669196
8,11,8,3,-4.067066364729305
8,13,8,3,0.19663894919118308
8,13,7,3,-1.531878364636544
8,18,5,3,-0.6595598642557658
8,12,8,3,-2.487742406157699
8,12,8,3,-1.4703006610873675
8,16,6,3,-0.6146934311248458
