,importance
AATSC3Z,48.0
MATS4s,38.0
BCUT2D_LOGPLOW,29.0
BCUTc-1l,29.0
AATS3dv,28.0
ATSC1m,27.0
ATSC4s,27.0
MATS1s,27.0
ATSC3Z,27.0
AATS1dv,26.0
PEOE_VSA8,25.0
VSA_EState5,25.0
ATSC1s,24.0
BCUT2D_MRLOW,23.0
MATS5c,22.0
qed,22.0
AATSC3p,21.0
ETA_eta_BR,21.0
MIC3,20.0
MATS1c,20.0
PEOE_VSA7,20.0
AATSC3v,19.0
EState_VSA3,19.0
BCUTi-1h,18.0
fMF,17.0
ATSC4m,17.0
Xch-5dv,17.0
MATS4dv,16.0
PEOE_VSA6,16.0
AATSC5c,16.0
AATSC4v,16.0
ATS0s,15.0
AATSC6v,15.0
GATS3s,15.0
BCUTc-1h,15.0
AXp-3dv,14.0
MaxAbsPartialCharge,14.0
SMR_VSA5,14.0
SMR_VSA10,14.0
AATSC2m,14.0
GATS3Z,14.0
AATSC2d,13.0
ATSC2dv,13.0
MATS3d,13.0
AATSC4pe,13.0
GATS2m,13.0
SpMAD_Dt,12.0
VSA_EState3,12.0
C1SP3,12.0
IC2,12.0
PEOE_VSA1,12.0
AETA_eta_FL,12.0
ETA_dEpsilon_D,12.0
GATS4v,11.0
AATSC8c,11.0
AATSC4Z,11.0
MATS3s,11.0
AXp-6dv,11.0
BCUT2D_CHGHI,10.0
MATS2d,10.0
AATS3Z,10.0
VSA_EState8,10.0
IC3,10.0
ATSC2d,9.0
GATS4c,9.0
AXp-0dv,9.0
RNCG,9.0
Kappa2,9.0
JGI4,9.0
MATS6i,9.0
mZagreb1,9.0
Chi4v,9.0
AATSC0v,9.0
MID_N,9.0
BCUTse-1h,9.0
TopoPSA,9.0
GATS2v,9.0
AATSC3s,8.0
RotRatio,8.0
MAXsCH3,8.0
ATSC5se,8.0
Xp-7dv,8.0
AATSC2dv,8.0
BCUT2D_MWLOW,8.0
AXp-5d,8.0
GATS5Z,8.0
ATSC5v,8.0
ATSC4i,8.0
GATS5se,8.0
ATSC7d,8.0
Mv,8.0
MATS3m,8.0
Kappa3,8.0
AATSC2p,7.0
MATS1dv,7.0
AATSC4p,7.0
AATS5p,7.0
BCUT2D_MWHI,7.0
CIC5,7.0
GATS3dv,7.0
ETA_eta_FL,7.0
AATSC0i,7.0
AATS4dv,7.0
AATS6p,7.0
MATS3p,7.0
MPC4,7.0
GATS7i,7.0
GATS2dv,7.0
ATSC1se,7.0
CIC1,7.0
SRW05,7.0
BCUTdv-1h,7.0
TIC1,7.0
CIC3,7.0
AATS4Z,7.0
ATSC4d,7.0
GATS5d,7.0
MaxPartialCharge,7.0
ATSC3p,6.0
NssCH2,6.0
MATS5dv,6.0
MATS4pe,6.0
BCUTdv-1l,6.0
ETA_shape_p,6.0
ATSC5c,6.0
EState_VSA8,6.0
AATS5pe,6.0
MATS6s,6.0
AATSC5d,6.0
AETA_eta_BR,6.0
BCUT2D_CHGLO,6.0
ETA_dEpsilon_B,6.0
AATS2s,6.0
ATSC2c,6.0
ZMIC2,6.0
JGI5,6.0
ATS0Z,6.0
BCUT2D_MRHI,6.0
GATS5c,6.0
ATSC8c,6.0
AATSC4c,6.0
GATS4i,6.0
AATSC1dv,6.0
Chi4n,6.0
MATS5pe,6.0
AATS4pe,6.0
AATSC3dv,6.0
MATS3dv,6.0
ATSC1v,5.0
AATS1Z,5.0
AATSC1i,5.0
AATSC1m,5.0
MATS1d,5.0
EState_VSA7,5.0
CIC2,5.0
AATSC1s,5.0
GATS7s,5.0
GATS1p,5.0
Xc-5dv,5.0
AMID_N,5.0
MinEStateIndex,5.0
GATS4d,5.0
MATS4Z,5.0
MATS2s,5.0
AMID,5.0
SPS,5.0
AATSC1d,5.0
ATSC5s,5.0
ATSC5Z,5.0
ATSC1dv,5.0
IC1,5.0
TSRW10,5.0
PEOE_VSA9,5.0
AMID_C,5.0
ATSC2i,5.0
MINssNH,5.0
AATSC5v,5.0
ATSC5dv,5.0
GATS2p,5.0
GATS6d,5.0
AATS6dv,5.0
JGI2,5.0
GATS4s,5.0
ATSC6s,5.0
AATSC3i,5.0
ATSC6v,5.0
MATS1v,4.0
ATSC3se,4.0
AATSC2s,4.0
ATSC1pe,4.0
VSA_EState7,4.0
Xp-6dv,4.0
ATSC4v,4.0
AATSC7c,4.0
ATSC4se,4.0
FpDensityMorgan3,4.0
AATS3i,4.0
SM1_Dzi,4.0
GATS3p,4.0
AATSC1c,4.0
MATS4p,4.0
EState_VSA9,4.0
GATS4m,4.0
BCUTs-1l,4.0
ETA_shape_y,4.0
GATS2c,4.0
ATSC6i,4.0
AETA_eta_F,4.0
AATSC2v,4.0
ATS1dv,4.0
AATSC2se,4.0
ATSC0c,4.0
ATSC6p,4.0
SpMAD_A,4.0
Xch-5d,4.0
ATS0dv,4.0
GATS7dv,4.0
AXp-0d,4.0
AATS5i,4.0
AATS1v,4.0
AvgIpc,4.0
AATSC5i,4.0
MATS2p,4.0
AATS5v,4.0
ATSC4dv,4.0
ATSC3dv,4.0
ATSC4pe,4.0
ATSC3s,4.0
GATS3c,4.0
MINsssCH,3.0
MATS5p,3.0
ATS4dv,3.0
GATS2s,3.0
ETA_epsilon_1,3.0
FpDensityMorgan1,3.0
MDEC-22,3.0
MATS8v,3.0
AATS7i,3.0
GATS7p,3.0
SlogP_VSA2,3.0
ATSC2se,3.0
GATS1d,3.0
AATS4s,3.0
ATSC3i,3.0
MATS2m,3.0
MAXssCH2,3.0
AATSC3are,3.0
MATS5s,3.0
GATS3d,3.0
MATS1se,3.0
RPCG,3.0
ATSC0Z,3.0
ATSC2p,3.0
MATS4d,3.0
ATSC4p,3.0
AATS4p,3.0
AATS1s,3.0
GATS2d,3.0
C2SP3,3.0
AATSC7i,3.0
ATSC4c,3.0
ATSC5d,3.0
BalabanJ,3.0
ATSC2m,3.0
MinAbsEStateIndex,3.0
AATS6d,3.0
JGI7,3.0
GATS4dv,3.0
ATSC5pe,3.0
MATS4c,3.0
AATSC6p,3.0
Kier1,3.0
AATSC6dv,3.0
MDEC-12,3.0
GATS6i,2.0
AATS2i,2.0
AATS5dv,2.0
MATS7are,2.0
ATSC5i,2.0
MATS7s,2.0
ATSC7s,2.0
ATSC8i,2.0
ATSC6are,2.0
MATS7c,2.0
ATS7i,2.0
JGI3,2.0
MATS7p,2.0
ATSC6c,2.0
AATS8s,2.0
MATS3are,2.0
GATS7m,2.0
ATSC7p,2.0
GATS6p,2.0
AATSC7dv,2.0
AATSC6c,2.0
GATS1c,2.0
AATS7Z,2.0
JGI6,2.0
ATS2s,2.0
ATSC7i,2.0
BCUTp-1h,2.0
GATS6dv,2.0
TIC5,2.0
ATS4d,2.0
SdssC,2.0
EState_VSA5,2.0
AATSC4d,2.0
AATS1are,2.0
nRot,2.0
VR3_A,2.0
AETA_dBeta,2.0
MATS2are,2.0
VSA_EState4,2.0
AATS3pe,2.0
AXp-1dv,2.0
AATS7s,2.0
ATSC3d,2.0
ATSC2v,2.0
AMID_h,2.0
MaxEStateIndex,2.0
ATSC1c,2.0
AATSC6se,2.0
MATS7v,2.0
MATS3c,2.0
SM1_Dzm,2.0
AATS5Z,2.0
AATS4i,2.0
AATSC4dv,2.0
ATSC3pe,2.0
GATS6m,2.0
MATS6dv,2.0
BertzCT,2.0
MATS8d,2.0
AETA_eta,2.0
MATS2i,2.0
AXp-1d,2.0
AATS6pe,2.0
GATS1i,2.0
GATS2i,2.0
GATS3i,2.0
EState_VSA4,2.0
ATSC5p,2.0
ATS3se,2.0
MIC1,2.0
AATSC4i,2.0
ATSC3v,2.0
GATS5s,2.0
ATSC3c,2.0
SsCH3,2.0
AETA_beta_s,2.0
AATS4v,2.0
SMR_VSA6,2.0
AATSC8s,2.0
SIC1,2.0
AATSC5Z,2.0
AATSC3c,2.0
Mp,2.0
ATSC0i,1.0
MATS1pe,1.0
AATS2Z,1.0
AATSC1pe,1.0
GATS8are,1.0
MDEC-23,1.0
ATSC0p,1.0
AATSC8Z,1.0
AATS3v,1.0
AXp-5dv,1.0
SdO,1.0
GATS7d,1.0
AATSC8p,1.0
BCUTZ-1l,1.0
GGI4,1.0
ATSC0d,1.0
AATS3d,1.0
GATS1s,1.0
ATSC8m,1.0
AXp-2d,1.0
GATS1pe,1.0
AATSC1se,1.0
MATS6p,1.0
AATSC3d,1.0
IC0,1.0
ATSC7Z,1.0
ATS7s,1.0
AATS2pe,1.0
ATS1m,1.0
MATS6c,1.0
GATS1dv,1.0
GATS5v,1.0
VSA_EState9,1.0
MDEC-13,1.0
AATS7d,1.0
AATS3p,1.0
AATS0Z,1.0
MATS2dv,1.0
ZMIC4,1.0
EState_VSA10,1.0
n6Ring,1.0
BCUTd-1h,1.0
NHOHCount,1.0
ATS4m,1.0
AXp-7d,1.0
AATSC8i,1.0
AATS6s,1.0
ETA_psi_1,1.0
SpAD_Dt,1.0
AATS8i,1.0
ETA_dAlpha_B,1.0
AATSC5p,1.0
SpMAD_Dzm,1.0
GATS8d,1.0
ATSC8dv,1.0
ATS6s,1.0
AATSC7d,1.0
Ipc,1.0
C3SP3,1.0
MDEC-11,1.0
BCUT2D_LOGPHI,1.0
GATS8c,1.0
ABCGG,1.0
AATS7pe,1.0
PetitjeanIndex,1.0
piPC10,1.0
MATS7d,1.0
VR2_A,1.0
GATS5dv,1.0
AXp-6d,1.0
GATS6c,1.0
GATS8dv,1.0
ATSC6d,1.0
MATS7m,1.0
AXp-7dv,1.0
GATS6s,1.0
ATSC1p,1.0
ATSC8d,1.0
ATSC8pe,1.0
ATSC8v,1.0
AATS5s,1.0
JGI8,1.0
NsssCH,1.0
piPC6,1.0
CIC0,1.0
AATSC7se,1.0
MATS5d,1.0
AATSC6Z,1.0
AATSC5are,1.0
ATSC6dv,1.0
AETA_eta_RL,1.0
MINsCH3,1.0
ATSC8s,1.0
AATS8Z,1.0
AETA_alpha,1.0
SlogP_VSA1,1.0
ATSC1d,1.0
MAXsCl,0.0
MDEC-24,0.0
MATS6se,0.0
MDEC-44,0.0
ATSC8p,0.0
MAXsOH,0.0
MATS6d,0.0
MDEN-22,0.0
GGI9,0.0
fr_HOCCN,0.0
SssS,0.0
MATS2c,0.0
MDEO-22,0.0
PEOE_VSA13,0.0
VE1_A,0.0
fr_bicyclic,0.0
n7FAHRing,0.0
ATSC2pe,0.0
AATS7dv,0.0
C1SP2,0.0
fr_Al_OH,0.0
ETA_eta_B,0.0
NdsCH,0.0
MAXssO,0.0
GATS7c,0.0
BCUTd-1l,0.0
SdCH2,0.0
AATSC0c,0.0
ATSC1i,0.0
Xc-4d,0.0
ATS6dv,0.0
n6AHRing,0.0
SaaS,0.0
MDEN-12,0.0
MDEC-14,0.0
AATS8d,0.0
SsNH2,0.0
nBase,0.0
MAXsNH2,0.0
JGI10,0.0
MAXdsCH,0.0
n10FaRing,0.0
AATSC1p,0.0
nG12Ring,0.0
PEOE_VSA11,0.0
ATS7dv,0.0
fr_morpholine,0.0
MATS8p,0.0
MATS6Z,0.0
AATS8dv,0.0
GATS5p,0.0
n6ARing,0.0
ETA_shape_x,0.0
PEOE_VSA14,0.0
MINsF,0.0
ATSC7dv,0.0
ATS8dv,0.0
MINssssSi,0.0
AMID_O,0.0
nFARing,0.0
n8FAHRing,0.0
ATSC7v,0.0
n4Ring,0.0
AATS8p,0.0
SMR_VSA4,0.0
NumSpiroAtoms,0.0
AATSC6d,0.0
GATS8se,0.0
fr_allylic_oxid,0.0
JGI9,0.0
n9FARing,0.0
GATS6se,0.0
MINsssN,0.0
nFAHRing,0.0
GGI10,0.0
fr_NH1,0.0
fr_para_hydroxylation,0.0
Chi2v,0.0
piPC7,0.0
Xpc-5d,0.0
MATS8s,0.0
MAXssS,0.0
VSA_EState1,0.0
nARing,0.0
NssO,0.0
Xc-5d,0.0
fr_unbrch_alkane,0.0
AATS5d,0.0
MID_h,0.0
ETA_dAlpha_A,0.0
PEOE_VSA12,0.0
GGI2,0.0
nH,0.0
