top_k,complexity,edge_count,fold,val_r2
4,34,11,0,0.4865199714871389
4,25,15,0,0.6998550806118308
4,34,13,0,0.4923666780841115
4,18,9,0,0.4623221138445972
4,21,10,0,0.5982050425717829
4,33,14,0,0.46800072257868575
4,18,6,0,0.49944356387745603
4,20,9,0,0.5861029089343827
4,22,8,0,0.44606974004060795
4,13,7,0,-0.45858072429924435
4,32,14,1,0.3526537369114727
4,29,11,1,0.3214478475741359
4,28,12,1,0.401584865581063
4,23,10,1,0.31601231883018344
4,33,17,1,0.29274001418214357
4,29,9,1,0.4962447416124399
4,26,12,1,0.0061866857281660526
4,40,15,1,-0.00847721991052719
4,26,15,1,0.21056915540794852
4,20,12,1,0.3538442264619417
4,24,10,2,0.39497461616024565
4,24,11,2,0.41126922250888553
4,28,15,2,0.2147956779321808
4,35,12,2,0.33503554695089566
4,21,9,2,0.36437907831184546
4,26,11,2,0.2520938025102112
4,27,10,2,0.1662234319592485
4,23,10,2,0.3251819533318635
4,18,7,2,0.1804449950639111
4,33,11,2,0.23952602363537168
4,32,13,3,0.18211506929935894
4,23,9,3,0.0752864250371118
4,37,18,3,0.1810370726764352
4,20,8,3,-0.15847795348279292
4,26,11,3,-0.08904463585198297
4,21,10,3,-0.14145578967827777
4,24,16,3,0.3089829614828705
4,27,12,3,0.41966764376023424
4,26,10,3,0.40403175067925257
4,25,9,3,0.16499016935758204
6,20,7,0,-0.309614064381029
6,19,10,0,-0.3810155742789758
6,33,11,0,0.21239196886868517
6,22,9,0,-0.13751117347389652
6,35,14,0,0.3314629194792351
6,21,7,0,-0.300000656800673
6,18,12,0,-1.007333458100521
6,18,7,0,-0.21800010073683063
6,15,8,0,-0.29624795730449005
6,20,7,0,-0.2130627900477886
6,17,12,1,0.07920323754388237
6,27,12,1,0.47217022879539716
6,25,17,1,0.012289801369623432
6,37,13,1,0.5702850801874833
6,21,11,1,0.2936855159208115
6,22,12,1,0.5266486063456977
6,15,12,1,0.2407829370975203
6,10,8,1,0.0588240858953577
6,15,9,1,0.16386932136896903
6,13,8,1,0.17837249432519198
6,31,17,2,0.3246755254580431
6,10,5,2,0.0732487746034377
6,17,7,2,0.31227941382868507
6,18,7,2,0.32739412430108394
6,22,8,2,0.30070244550957614
6,43,19,2,-0.03020664946619478
6,22,8,2,0.37859909516108037
6,20,8,2,-5.201515872585692
6,24,10,2,0.12056254622631646
6,31,10,2,0.09324037366864979
6,34,12,3,0.2217074931678067
6,38,14,3,0.328100363364054
6,25,11,3,0.1168948964097255
6,41,16,3,0.08219128819396893
6,30,17,3,0.19221142224539356
6,27,11,3,-0.03859109336667643
6,24,9,3,0.14934908404716496
6,19,9,3,-0.0019846717043974227
6,29,11,3,0.044752435449776806
6,20,7,3,0.17207176763435694
8,34,11,0,0.43820322470998285
8,17,7,0,-0.450632879340106
8,25,10,0,0.10362427862914658
8,26,9,0,0.14827825159354924
8,19,7,0,-0.36262403486037265
8,17,7,0,-0.19615313803177425
8,11,7,0,0.07053962203579489
8,29,12,0,0.13724957094225454
8,38,14,0,0.40809566003374353
8,16,9,0,0.16058106248650306
8,16,9,1,0.4135619276156285
8,16,10,1,0.2222941555468606
8,34,11,1,0.5439684802539375
8,15,10,1,0.1197531296801495
8,15,12,1,0.21262256535604407
8,25,11,1,0.3844977793795834
8,21,10,1,0.41273204916743034
8,16,12,1,0.2744320972432418
8,15,9,1,-0.33145204908795356
8,18,12,1,-0.09212866159256383
8,15,10,2,0.4064192344492068
8,30,11,2,0.5775371875779997
8,23,11,2,0.30617883393258627
8,24,11,2,0.48211419753379137
8,18,7,2,0.30663658904854596
8,21,8,2,0.18841099020438368
8,16,9,2,0.01751127457780366
8,10,5,2,0.0017413151342923205
8,27,14,2,0.2868532120304663
8,10,5,2,0.01051500785477566
8,30,16,3,-0.26489087296085656
8,27,13,3,0.21684238462588845
8,28,13,3,0.12028022568019814
8,32,11,3,-0.4788413996698342
8,27,13,3,-0.023985789470093888
8,24,11,3,-0.24505854791002446
8,37,16,3,-0.2610726707226445
8,25,10,3,0.12134523005310738
8,27,9,3,0.04567253427736073
8,29,9,3,0.048951214811707944
