top_k,complexity,edge_count,fold,val_r2
4,22,6,0,0.1556872714735832
4,13,8,0,-0.03737646166297015
4,17,6,0,0.10219770318777555
4,21,5,0,0.1345515467873225
4,19,7,0,0.06505210124258987
4,15,5,0,0.06664083388794684
4,17,6,0,0.09007723689529856
4,14,7,0,0.12159126565989142
4,17,5,0,0.1354420071105581
4,9,6,0,0.04205487545124553
4,15,5,1,0.08009486473310956
4,19,7,1,-0.005566724194406403
4,22,5,1,0.13853388163367808
4,18,5,1,0.11110673883679922
4,23,7,1,0.1282265911587671
4,16,6,1,0.010733227518408217
4,24,9,1,0.15290671170614678
4,12,5,1,0.10566344790196602
4,18,6,1,0.08339871056940928
4,9,5,1,0.09187014112386627
4,13,7,2,0.07783949490030995
4,17,5,2,0.10220010611425157
4,10,5,2,0.08151325874821258
4,11,7,2,-0.06368224955272406
4,19,7,2,0.1644943902718895
4,10,5,2,0.0796005826028241
4,17,7,2,0.10664198105658795
4,20,7,2,0.13699550651108827
4,15,7,2,0.15909774784146857
4,11,5,2,0.07197199184391423
4,12,7,3,-0.32713864449254015
4,15,5,3,0.04110893453044673
4,16,10,3,-0.29189244369880485
4,12,6,3,-0.1865192705234313
4,9,6,3,-0.054371093903079704
4,10,5,3,-0.051166579055651695
4,18,8,3,0.008863796247650657
4,10,6,3,-0.11498853396010245
4,9,6,3,-0.13148870979982963
4,8,4,3,-0.02197078414318132
6,15,10,0,-0.03630379867702049
6,16,11,0,0.025127767268683043
6,16,10,0,-0.041013867758683764
6,21,9,0,0.10661759560440531
6,11,7,0,0.015406711016555774
6,11,7,0,0.015566292173195606
6,11,7,0,0.014894082021458033
6,14,8,0,-0.1467326119904706
6,13,8,0,0.013899821090533337
6,13,9,0,0.04792639817239985
6,21,9,1,0.18376795538365487
6,26,13,1,0.2631922980732041
6,19,7,1,0.20566319047816795
6,15,5,1,0.11445477496075629
6,14,9,1,0.24862469412050103
6,19,7,1,0.09350354892482604
6,23,9,1,0.09806668883563063
6,13,9,1,0.24150029231434011
6,15,10,1,0.21049327909561488
6,9,6,1,0.1965633843761232
6,19,7,2,0.27535479148025555
6,17,10,2,0.24537033339913095
6,18,12,2,0.20241820774012365
6,11,7,2,0.2084443865717942
6,16,10,2,0.19967615716423048
6,13,9,2,0.21239614211153268
6,11,6,2,0.1643942360046211
6,13,9,2,0.20783472528899238
6,16,8,2,0.15007994259715596
6,9,5,2,0.13919745385053972
6,19,7,3,0.12001480323433233
6,15,5,3,0.07583139413778117
6,23,9,3,0.13927981768650555
6,17,7,3,0.10734110423432897
6,15,10,3,-0.13333019802512003
6,11,8,3,0.09211728499468119
6,19,7,3,0.028751114009119894
6,16,8,3,0.12448648800168438
6,17,7,3,0.05299149496460076
6,11,7,3,0.08212131538892731
8,27,11,0,0.20433924586622731
8,13,8,0,0.12722380621412788
8,13,9,0,0.19089867423170093
8,11,6,0,0.11444254442164348
8,11,7,0,0.13609194916574696
8,13,9,0,0.17220564031839025
8,10,6,0,0.18546683720964163
8,11,6,0,0.11377167133194954
8,11,7,0,0.16659245990775484
8,11,7,0,0.16563638279292758
8,15,9,1,0.2814733785946446
8,12,8,1,0.26412015435161706
8,11,7,1,0.3079830438602461
8,14,8,1,0.3046757370134613
8,11,6,1,0.29399165071344535
8,11,6,1,0.30063364451820496
8,11,6,1,0.3081570118224537
8,12,8,1,0.2963313146854575
8,13,9,1,0.3220703329915128
8,11,7,1,0.29895406645961276
8,22,9,2,0.2722307262158815
8,20,7,2,0.3274743112627674
8,11,7,2,0.35336804855046666
8,11,7,2,0.35854916660685854
8,11,7,2,0.3685622144376114
8,9,5,2,0.34972544904810443
8,9,5,2,0.33870261223847686
8,11,7,2,0.35161477966957844
8,11,7,2,0.3565590360899523
8,17,5,2,0.32911320610475614
8,11,7,3,0.2110588803686554
8,20,11,3,0.22100291172968756
8,11,6,3,0.16056954754362152
8,11,7,3,0.2311773096216886
8,10,6,3,-1.050345051522107
8,8,4,3,-1.4825378965487856
8,8,4,3,0.17170433067634916
8,11,6,3,-0.9930989777040509
8,11,7,3,0.247631974680947
8,12,7,3,-0.01187596130452806
