,importance
BCUTi-1h,347.0
BCUTc-1h,327.0
MID_h,323.0
BCUT2D_MRLOW,236.0
MID_N,223.0
AATSC4i,206.0
GATS1s,204.0
MinPartialCharge,191.0
JGI5,184.0
MDEO-12,149.0
RNCG,149.0
GATS4s,148.0
PEOE_VSA8,147.0
RPCG,134.0
EState_VSA7,129.0
MaxPartialCharge,125.0
GATS4pe,123.0
MINaasN,123.0
AATSC4dv,116.0
BCUT2D_MWHI,109.0
AMID_N,107.0
GATS1c,106.0
PEOE_VSA9,106.0
FilterItLogS,106.0
PEOE_VSA7,104.0
BCUT2D_LOGPLOW,103.0
MATS1s,101.0
GATS4c,100.0
MATS2c,100.0
PEOE_VSA1,99.0
VSA_EState2,96.0
BCUTd-1l,95.0
BCUTc-1l,94.0
MATS4m,94.0
MinAbsEStateIndex,93.0
AATSC4pe,92.0
SlogP_VSA1,90.0
ATSC0c,89.0
IC2,85.0
AATS5p,85.0
MATS4pe,84.0
MATS3c,83.0
MATS1c,83.0
GATS5c,82.0
VSA_EState7,81.0
GATS1dv,81.0
EState_VSA4,81.0
qed,80.0
BCUTs-1l,77.0
AATSC1s,77.0
AATS4i,77.0
BCUT2D_CHGHI,77.0
AATSC4c,76.0
AATSC7i,76.0
AATSC2i,76.0
SlogP_VSA2,75.0
GATS4dv,74.0
PEOE_VSA12,73.0
BCUT2D_CHGLO,73.0
MATS1d,72.0
GATS3d,68.0
MATS4s,68.0
AXp-3d,68.0
MATS1se,68.0
MATS4c,67.0
MAXaasC,66.0
AATSC2c,66.0
MINaaaC,66.0
AATS2i,65.0
AATSC3d,65.0
MATS6c,65.0
GATS2c,65.0
AATSC2d,63.0
Mi,62.0
JGI3,62.0
GATS4i,62.0
GATS1pe,61.0
ATSC1i,61.0
MAXsssN,60.0
SPS,59.0
AATS2se,59.0
BCUTdv-1l,59.0
AATSC4s,58.0
ATSC1c,58.0
ZMIC3,58.0
ZMIC2,57.0
MATS5c,57.0
ATSC4c,57.0
AATSC5s,57.0
ETA_epsilon_5,57.0
MATS1i,57.0
AATS5v,56.0
AATSC2dv,56.0
MINaaN,56.0
GATS3c,56.0
JGI4,56.0
MATS5s,56.0
MATS6i,55.0
BCUT2D_LOGPHI,55.0
MATS5i,55.0
MATS7s,55.0
SaaN,55.0
nBase,54.0
MAXsCH3,54.0
SMR_VSA4,54.0
GATS3i,54.0
ATSC3c,54.0
ATSC2c,54.0
GATS5m,53.0
TIC1,53.0
GATS2s,53.0
AATS1i,53.0
MINsCH3,52.0
AATSC4Z,52.0
GATS7m,52.0
GATS8c,52.0
BIC4,52.0
GATS3s,52.0
PEOE_VSA11,51.0
MATS4p,51.0
AATSC3c,51.0
BIC2,51.0
ATSC1s,51.0
BCUT2D_MRHI,51.0
MINsssN,50.0
ATSC5c,50.0
BCUTdv-1h,50.0
AATS5i,49.0
GATS4d,49.0
GATS6c,49.0
GATS1m,49.0
GATS4m,49.0
ATSC3d,49.0
GATS3v,48.0
VSA_EState4,48.0
SdsCH,48.0
AATSC3i,48.0
VSA_EState3,48.0
AATSC5are,48.0
PEOE_VSA10,47.0
AvgIpc,47.0
GATS2m,47.0
AATSC5c,47.0
GATS7s,47.0
GATS5s,47.0
MDEC-13,47.0
AATSC2pe,47.0
GATS5p,47.0
SMR_VSA3,46.0
ATSC5se,46.0
ATSC6m,46.0
BCUTZ-1l,46.0
AATSC4p,46.0
AATS3i,46.0
ATSC3v,46.0
SpMAD_Dzp,45.0
ATSC5dv,45.0
ATSC4s,45.0
BCUTp-1l,45.0
FpDensityMorgan3,44.0
GATS2pe,44.0
MATS2p,44.0
MolLogP,44.0
ATSC6c,44.0
ATSC3i,44.0
GATS5v,44.0
MATS2s,44.0
MINaaCH,44.0
GATS2i,43.0
ATSC5m,43.0
MATS7se,43.0
VSA_EState5,43.0
NdNH,43.0
GATS7c,43.0
MAXaaN,43.0
GATS8pe,43.0
GATS5i,43.0
ATSC3se,43.0
AATSC5Z,42.0
AATSC2s,42.0
ATSC2pe,42.0
MATS2dv,41.0
MATS3v,41.0
GATS4p,41.0
AATSC1c,41.0
MATS5dv,41.0
ATSC0pe,41.0
ATSC2i,41.0
IC4,41.0
ATSC7i,41.0
SdsN,40.0
AATSC1dv,40.0
EState_VSA3,40.0
AATS5s,40.0
VE1_A,40.0
GATS5pe,40.0
AETA_eta_FL,40.0
GATS6s,40.0
AATSC3se,40.0
ETA_dBeta,39.0
ZMIC1,39.0
MDEN-23,39.0
MATS8c,39.0
FpDensityMorgan1,39.0
MAXaaCH,39.0
EState_VSA2,39.0
SdssC,39.0
MaxAbsEStateIndex,39.0
AATS3pe,39.0
AATSC2p,39.0
MATS1m,39.0
FpDensityMorgan2,39.0
ATSC2s,39.0
AATSC1se,39.0
ATSC4i,39.0
AETA_beta_s,39.0
AATSC4d,39.0
AATSC0p,38.0
ATSC2d,38.0
MATS2pe,38.0
ETA_beta_s,38.0
ATSC5i,38.0
MATS3s,37.0
MAXdO,37.0
MATS3Z,37.0
ATSC8Z,37.0
GATS3dv,37.0
AATSC3dv,37.0
MATS6se,37.0
ATSC3p,37.0
AATSC7c,37.0
AATS0Z,37.0
GATS5dv,37.0
AATSC3p,37.0
AATS5pe,37.0
AATSC0c,37.0
AATSC8c,36.0
ATSC5s,36.0
GATS1p,36.0
MATS3p,36.0
SaasC,36.0
ATSC3Z,36.0
AATS5Z,36.0
GATS1i,36.0
AATS6pe,36.0
MATS6v,36.0
GATS3m,36.0
ATSC4pe,36.0
EState_VSA8,36.0
MATS3dv,36.0
AATS4pe,35.0
AATS6i,35.0
ATSC7c,35.0
AETA_eta,35.0
JGT10,35.0
PEOE_VSA2,35.0
GATS4v,35.0
VSA_EState6,35.0
AATSC3s,35.0
AATS7Z,34.0
SMR_VSA10,34.0
GATS7dv,34.0
CIC2,34.0
ATSC4p,34.0
MATS1p,34.0
GATS6d,34.0
ATSC6i,34.0
NdssC,34.0
AATSC6dv,34.0
CIC3,34.0
AATS3s,34.0
GATS8m,34.0
RotRatio,34.0
JGI9,34.0
ATSC6p,34.0
ATSC0s,34.0
AATS4s,34.0
ATS2s,34.0
ETA_dAlpha_B,33.0
AATSC2v,33.0
AATSC8m,33.0
ATSC3dv,33.0
ATSC2p,33.0
BalabanJ,33.0
nBondsD,33.0
ATSC4Z,33.0
ATSC4dv,33.0
GATS3pe,32.0
ATSC7pe,32.0
ZMIC5,32.0
BCUTi-1l,32.0
MINaasC,32.0
ATSC5d,32.0
ATSC3s,32.0
GATS6dv,32.0
JGI2,32.0
ATSC5pe,32.0
ATSC8c,32.0
AATSC7d,32.0
AATS7i,31.0
MATS6s,31.0
GATS7i,31.0
Xch-7dv,31.0
SpMAD_Dzm,31.0
MAXdsCH,31.0
AATSC1d,31.0
JGI6,31.0
ATSC6d,31.0
ATSC3pe,31.0
GATS3p,31.0
AATS3Z,31.0
GATS7p,31.0
AATSC5d,31.0
ETA_epsilon_2,31.0
MATS1dv,30.0
AATSC6m,30.0
MATS5are,30.0
MIC1,30.0
MAXsssCH,30.0
MinEStateIndex,30.0
MATS7c,30.0
SMR_VSA6,30.0
MATS2d,30.0
bpol,30.0
ATSC6s,30.0
ATSC8i,30.0
ATSC4se,30.0
AATSC0pe,30.0
ATSC0d,30.0
ATSC6v,30.0
MIC0,29.0
AATS3p,29.0
AATSC6c,29.0
AATS2p,29.0
fr_quatN,29.0
MAXdssC,29.0
Mv,29.0
AATSC0i,29.0
IC0,29.0
AATSC7s,29.0
ATS5Z,28.0
ETA_epsilon_1,28.0
AATSC7se,28.0
BCUTp-1h,28.0
SlogP_VSA6,28.0
MATS7p,28.0
AATS4Z,28.0
AATSC8d,28.0
AATSC7dv,28.0
AATS3v,28.0
TopoPSA,28.0
ATSC7d,28.0
ATSC5p,28.0
AATSC6d,28.0
ATSC2dv,28.0
AATSC0v,27.0
AETA_beta_ns,27.0
MATS4v,27.0
EState_VSA6,27.0
ATS4i,27.0
MDEC-22,27.0
AMID_C,27.0
MAXsNH2,27.0
AATS0s,27.0
BCUT2D_MWLOW,27.0
ATSC6are,27.0
MATS5Z,27.0
EState_VSA5,27.0
ATSC4d,27.0
ATSC2Z,27.0
ATSC4v,27.0
ETA_dEpsilon_B,27.0
PEOE_VSA6,27.0
MDEN-13,27.0
Kappa3,27.0
SIC0,26.0
ATSC1p,26.0
ATSC0dv,26.0
Xch-6dv,26.0
VSA_EState8,26.0
AATSC3Z,26.0
MATS3are,26.0
fr_pyridine,26.0
MINdNH,26.0
GATS2d,26.0
AATS4p,26.0
MATS2m,26.0
Xch-6d,25.0
AATSC6s,25.0
GATS2p,25.0
ATS4p,25.0
GATS6v,25.0
IC1,25.0
GATS7pe,25.0
AETA_eta_BR,25.0
ATSC7v,25.0
MATS1v,25.0
ATSC1are,25.0
GATS6i,25.0
GATS2dv,25.0
Xpc-5dv,25.0
AXp-5dv,25.0
AATS0d,25.0
MAXssNH,25.0
ATSC2v,24.0
ETA_dPsi_A,24.0
ATSC8s,24.0
ATSC7p,24.0
AATSC8v,24.0
AATSC2Z,24.0
ETA_dEpsilon_D,24.0
NssCH2,24.0
MDEC-23,24.0
fr_allylic_oxid,23.0
GATS7v,23.0
AATSC5p,23.0
GATS6m,23.0
EState_VSA9,23.0
AATSC1m,23.0
ATSC6dv,23.0
AATSC7v,23.0
ATSC1dv,23.0
ETA_epsilon_4,23.0
GATS1d,23.0
MINtsC,23.0
AATSC6p,23.0
GATS7d,23.0
AATSC5v,23.0
ETA_shape_p,22.0
AATS4d,22.0
AXp-0dv,22.0
MATS6m,22.0
AATS3dv,22.0
SlogP_VSA12,22.0
Mp,22.0
MINssCH2,22.0
AATS1pe,22.0
ETA_shape_y,22.0
AATS6p,22.0
ATS4s,22.0
ATSC8p,22.0
AATSC1p,22.0
ATSC8se,22.0
ATSC1se,22.0
AATS8Z,21.0
AATS8v,21.0
ATSC1d,21.0
GATS5d,21.0
GATS6p,21.0
AMID_h,21.0
AATS8p,21.0
fMF,21.0
GATS8p,21.0
ATSC8dv,21.0
AATS4v,21.0
BCUTd-1h,21.0
AETA_eta_F,21.0
AETA_eta_RL,21.0
AATS6s,21.0
AXp-6dv,21.0
AATSC7Z,20.0
ATSC5v,20.0
ATSC7dv,20.0
AATS3d,20.0
SpMAD_A,20.0
MIC4,20.0
MINdssC,20.0
ATSC1m,20.0
VSA_EState9,20.0
Phi,20.0
SlogP_VSA3,20.0
AMID_O,20.0
SlogP_VSA10,20.0
Chi4v,20.0
ATS0m,20.0
ATSC8d,20.0
AATSC8i,20.0
SMR_VSA2,20.0
GATS6pe,20.0
Xp-6dv,19.0
AATSC6are,19.0
MATS7m,19.0
JGI7,19.0
Xc-5dv,19.0
AATS1Z,19.0
AXp-7dv,19.0
PEOE_VSA3,19.0
AATS6Z,19.0
AXp-4d,19.0
MATS8s,19.0
MINaaNH,19.0
AATSC0d,19.0
MDEC-12,18.0
MATS6p,18.0
AATSC8p,18.0
Kier3,18.0
ATSC7Z,18.0
AATS5dv,18.0
ATSC1v,18.0
ETA_eta_B,18.0
SlogP_VSA5,18.0
ATSC8pe,18.0
ATS6i,18.0
fr_imidazole,18.0
AETA_beta_ns_d,18.0
MINsssCH,18.0
AXp-1d,18.0
CIC5,18.0
VSA_EState10,18.0
AATS8i,17.0
SpMAD_Dt,17.0
AATSC8dv,17.0
AATS6d,17.0
Chi2v,17.0
MDEC-33,17.0
AXp-4dv,17.0
GATS2v,17.0
