top_k,complexity,edge_count,fold,val_r2
4,22,8,0,0.2953485744723874
4,15,5,0,0.2868514498200124
4,19,7,0,0.2950848948221583
4,22,8,0,0.26809629814768354
4,17,7,0,0.28950272105406405
4,23,9,0,0.27641490679157843
4,16,5,0,0.27317260339157
4,15,6,0,0.2833365702760813
4,28,11,0,0.2916638159172418
4,15,6,0,0.2762508357864232
4,38,20,1,0.3546769712123169
4,15,5,1,0.345370227418631
4,27,9,1,0.36678624121699577
4,17,6,1,0.36238467162598
4,26,10,1,0.37144319059551634
4,17,7,1,0.33773867389991563
4,19,7,1,0.3575426123516213
4,15,5,1,0.351328899462349
4,47,15,1,0.32413454868488256
4,14,9,1,0.3486484348130534
4,23,9,2,0.3844363799222025
4,34,13,2,0.3930453265842644
4,33,15,2,0.4054843892285015
4,59,20,2,0.4090673112473264
4,22,8,2,0.38534178763067406
4,20,6,2,0.3886844713485995
4,31,13,2,0.3911150865140849
4,28,9,2,0.4041096638513809
4,19,7,2,0.3938502958997413
4,16,6,2,0.38579761034184945
4,27,9,3,0.24757084923846318
4,15,5,3,0.23815465727423268
4,27,12,3,0.2632943112444417
4,27,9,3,0.22628884370264313
4,17,7,3,0.23881012316841788
4,26,13,3,0.2501629367184919
4,34,16,3,0.22905946779458264
4,17,8,3,0.24755901414545955
4,33,13,3,0.24695123194478008
4,31,11,3,0.2395560449795089
6,17,12,0,0.2741349359737887
6,39,15,0,0.3225887112300524
6,30,14,0,0.3009989373616071
6,17,7,0,0.290048791171614
6,25,7,0,0.29828648164868254
6,17,7,0,0.28627573944142026
6,15,5,0,0.28241269607125474
6,19,7,0,0.2891809736256634
6,16,6,0,0.28146477104103884
6,16,6,0,0.28149309747020435
6,18,10,1,0.30043361239024735
6,17,9,1,0.30562711711138857
6,26,14,1,0.29678373588901485
6,32,13,1,0.33901026270361434
6,24,10,1,0.36100503531954076
6,27,9,1,0.3540232343264704
6,22,9,1,0.35333135814569383
6,15,5,1,0.3396471109745799
6,30,12,1,0.3837791825120065
6,27,9,1,0.3107966012980442
6,39,14,2,0.3983326866176792
6,21,9,2,0.39787232210935164
6,21,8,2,0.39624822264311577
6,25,11,2,0.3968765474350078
6,17,7,2,0.38168532566293367
6,15,5,2,0.3908149859712219
6,20,7,2,0.38651215940967487
6,27,10,2,0.39528781648047084
6,17,7,2,0.3853932685950854
6,15,6,2,0.39110698095504526
6,25,11,3,0.3000732009453245
6,21,9,3,0.25876663398846433
6,27,9,3,0.2546438064821731
6,21,9,3,0.2701819099383548
6,20,8,3,0.2438260930575341
6,32,16,3,0.24884438158016375
6,15,5,3,0.2489976255421429
6,30,14,3,0.2679165974100469
6,27,20,3,-1.9834818469843332
6,17,7,3,0.2570893701667962
8,19,12,0,0.2902348086867482
8,18,10,0,0.2992027416100529
8,25,10,0,0.3071174974890768
8,16,11,0,0.29825517738056984
8,15,8,0,0.2880398270895076
8,20,11,0,0.307358883827211
8,13,9,0,0.29655143231284775
8,11,8,0,0.28942783270086847
8,17,7,0,0.28085319138590126
8,11,8,0,0.2839252709334338
8,18,11,1,0.3551177194920121
8,36,16,1,0.37903460890503626
8,22,15,1,0.36295974810267084
8,30,13,1,0.3767063890608303
8,11,8,1,0.36342757450184804
8,22,11,1,0.34415818727805114
8,19,9,1,0.3707619194177869
8,9,6,1,0.3509030483957062
8,21,9,1,0.3756815976456369
8,11,8,1,0.35990174316325796
8,18,12,2,0.4346805085142953
8,28,12,2,0.4477493655871245
8,38,14,2,0.4389509250560152
8,21,11,2,0.43104493289202106
8,17,9,2,0.427668803975072
8,17,7,2,0.41960698783571393
8,24,11,2,0.4260134889099262
8,37,17,2,0.4186710970462738
8,22,9,2,0.42012127094603624
8,18,11,2,0.4352357288298596
8,20,9,3,0.29536063386756173
8,26,10,3,0.31036550331246493
8,27,14,3,0.3242105399598588
8,19,7,3,0.30148183019793096
8,26,8,3,0.2891426642063515
8,17,8,3,0.29552566220687115
8,24,8,3,0.30624137474199475
8,12,9,3,0.3166304684925333
8,25,7,3,0.27047209548941653
8,27,9,3,0.2680572651231419
