complexity,loss,equation,score,sympy_format,lambda_format
1,11.42219,6.6833563,0.0,6.68335630000000,PySRFunction(X=>6.68335630000000)
3,8.743136,2.9682772 / f2,0.13364450964501887,2.9682772/f2,PySRFunction(X=>2.9682772/f2)
5,7.677841,2.5495937 / (f9 - -0.15416895),0.06496527376640845,2.5495937/(f9 - 1*(-0.15416895)),PySRFunction(X=>2.5495937/(f9 - 1*(-0.15416895)))
6,7.4137816,0.94457144 / (square(f9) + 0.083619095),0.03499774133426041,0.94457144/(f9**2 + 0.083619095),PySRFunction(X=>0.94457144/(f9**2 + 0.083619095))
8,7.2142825,(0.57113105 - f1) / (square(f9) + 0.084288776),0.013638952415365432,(0.57113105 - f1)/(f9**2 + 0.084288776),PySRFunction(X=>(0.57113105 - f1)/(f9**2 + 0.084288776))
9,7.1623216,(0.554967 - tanh(f1)) / (square(f9) + 0.0795944),0.007228567455049275,(0.554967 - tanh(f1))/(f9**2 + 0.0795944),PySRFunction(X=>(0.554967 - tanh(f1))/(f9**2 + 0.0795944))
10,7.1456494,(f8 - f1) + (0.93978703 / (square(f9) + 0.09182963)),0.002330478241217942,-f1 + f8 + 0.93978703/(f9**2 + 0.09182963),PySRFunction(X=>-f1 + f8 + 0.93978703/(f9**2 + 0.09182963))
11,6.9280767,((f2 + f1) - (0.40011376 / (f9 - -0.20862593))) * -7.845479,0.030921453770062998,(f1 + f2 - 0.40011376/(f9 - 1*(-0.20862593)))*(-7.845479),PySRFunction(X=>(f1 + f2 - 0.40011376/(f9 - 1*(-0.20862593)))*(-7.845479))
12,6.875856,(tanh(f1) + (f2 - (0.3773713 / (f9 - -0.23328139)))) * -9.139366,0.007566097322086548,(f2 + tanh(f1) - 0.3773713/(f9 - 1*(-0.23328139)))*(-9.139366),PySRFunction(X=>(f2 + tanh(f1) - 0.3773713/(f9 - 1*(-0.23328139)))*(-9.139366))
13,6.8100405,f8 + (((f1 + f2) - (0.4822287 / (f9 - -0.25881344))) * -7.2056627),0.009618077612629783,f8 + (f1 + f2 - 0.4822287/(f9 - 1*(-0.25881344)))*(-7.2056627),PySRFunction(X=>f8 + (f1 + f2 - 0.4822287/(f9 - 1*(-0.25881344)))*(-7.2056627))
14,6.7894363,(((f1 + f2) - (0.47018516 / (f9 - -0.24762996))) * -7.2393823) + tanh(f8),0.003030148301778636,(f1 + f2 - 0.47018516/(f9 - 1*(-0.24762996)))*(-7.2393823) + tanh(f8),PySRFunction(X=>(f1 + f2 - 0.47018516/(f9 - 1*(-0.24762996)))*(-7.2393823) + tanh(f8))
15,6.7643967,(((f2 + tanh(f1)) - (0.44255382 / (f9 - -0.27271184))) * -8.385503) + tanh(f8),0.003694840933394688,(f2 + tanh(f1) - 0.44255382/(f9 - 1*(-0.27271184)))*(-8.385503) + tanh(f8),PySRFunction(X=>(f2 + tanh(f1) - 0.44255382/(f9 - 1*(-0.27271184)))*(-8.385503) + tanh(f8))
16,6.7063217,(tanh(f3) + (((f2 + f1) - (0.43486154 / (f9 - -0.22607021))) * -7.2528815)) + f8,0.00862245918630441,f8 + (f1 + f2 - 0.43486154/(f9 - 1*(-0.22607021)))*(-7.2528815) + tanh(f3),PySRFunction(X=>f8 + (f1 + f2 - 0.43486154/(f9 - 1*(-0.22607021)))*(-7.2528815) + tanh(f3))
