complexity,loss,equation,score,sympy_format,lambda_format
1,10.695917,6.3849287,0.0,6.38492870000000,PySRFunction(X=>6.38492870000000)
3,8.555698,2.2493842 / f1,0.11163229306488606,2.2493842/f1,PySRFunction(X=>2.2493842/f1)
5,7.9282756,(2.3767736 / f1) - f3,0.03808096722012514,-f3 + 2.3767736/f1,PySRFunction(X=>-f3 + 2.3767736/f1)
7,7.7514963,(2.3767684 / f1) - (f3 / f6),0.0112748317960338,-f3/f6 + 2.3767684/f1,PySRFunction(X=>-f3/f6 + 2.3767684/f1)
8,7.51586,square(f7 + -3.4094572) - (f1 / 0.04461231),0.030870441248679145,-f1/0.04461231 + (f7 - 3.4094572)**2,PySRFunction(X=>-f1/0.04461231 + (f7 - 3.4094572)**2)
10,7.2279816,square(f7 + -3.4801054) - (f3 + (f1 / 0.043725062)),0.019527813688779504,(f7 - 3.4801054)**2 - (f1/0.043725062 + f3),PySRFunction(X=>(f7 - 3.4801054)**2 - (f1/0.043725062 + f3))
11,7.2247734,square(tanh(f7) + -3.4801054) - (f3 + (f1 / 0.043725062)),0.000443956886101417,-(f1/0.043725062 + f3) + (tanh(f7) - 3.4801054)**2,PySRFunction(X=>-(f1/0.043725062 + f3) + (tanh(f7) - 3.4801054)**2)
12,7.0657787,square(f7 + -3.2707672) + ((f6 - f3) - (f1 / 0.047301203)),0.02225264073071142,-f1/0.047301203 - f3 + f6 + (f7 - 3.2707672)**2,PySRFunction(X=>-f1/0.047301203 - f3 + f6 + (f7 - 3.2707672)**2)
14,6.996446,((square(f7 + -3.3411977) + f6) - ((f1 / 0.0465793) + f10)) - f3,0.004930461807543297,-f3 + f6 + (f7 - 3.3411977)**2 - (f1/0.0465793 + f10),PySRFunction(X=>-f3 + f6 + (f7 - 3.3411977)**2 - (f1/0.0465793 + f10))
15,6.9487433,((f6 - f3) + square(f7 + (-3.2171252 / tanh(f2)))) - (f1 / 0.049239695),0.006841482756176576,-f1/0.049239695 - f3 + f6 + (f7 - 3.2171252/tanh(f2))**2,PySRFunction(X=>-f1/0.049239695 - f3 + f6 + (f7 - 3.2171252/tanh(f2))**2)
16,6.93396,(((f5 * f11) - f3) - (f1 / 0.04850245)) + (square(f7 + -3.258692) + f6),0.002129744512778759,-f1/0.04850245 + f11*f5 - f3 + f6 + (f7 - 3.258692)**2,PySRFunction(X=>-f1/0.04850245 + f11*f5 - f3 + f6 + (f7 - 3.258692)**2)
17,6.803749,((((f5 * square(f11)) - f3) - (f1 / 0.04850245)) + square(f7 + -3.258692)) + f6,0.018957294781611716,-f1/0.04850245 + f11**2*f5 - f3 + f6 + (f7 - 3.258692)**2,PySRFunction(X=>-f1/0.04850245 + f11**2*f5 - f3 + f6 + (f7 - 3.258692)**2)
19,6.7301764,(f6 + (((square(f7 + -2.9266486) - (f1 / 0.05178002)) - f3) + 2.5219612)) - (square(f10) * f2),0.005436214739907815,-f1/0.05178002 - f10**2*f2 - f3 + f6 + (f7 - 2.9266486)**2 + 2.5219612,PySRFunction(X=>-f1/0.05178002 - f10**2*f2 - f3 + f6 + (f7 - 2.9266486)**2 + 2.5219612)
20,6.7096443,(((square(f7 + -3.2104242) + (f5 * square(f11))) + (f6 - f3)) / tanh(f2)) - (f1 / 0.050249446),0.003055415162379677,-f1/0.050249446 + (f11**2*f5 - f3 + f6 + (f7 - 3.2104242)**2)/tanh(f2),PySRFunction(X=>-f1/0.050249446 + (f11**2*f5 - f3 + f6 + (f7 - 3.2104242)**2)/tanh(f2))
21,6.615739,((((f6 + 2.3529127) - (square(f10) * f2)) + (square(f7 + -2.1235123) - (f1 / 0.07956231))) - f3) / 0.6277353,0.014094432021692943,(-f1/0.07956231 - f10**2*f2 - f3 + f6 + (f7 - 2.1235123)**2 + 2.3529127)/0.6277353,PySRFunction(X=>(-f1/0.07956231 - f10**2*f2 - f3 + f6 + (f7 - 2.1235123)**2 + 2.3529127)/0.6277353)
23,6.5745015,((((square(f7 + -2.1235871) - (f1 / 0.079942435)) - f3) + (f6 + 2.3529267)) + ((f5 - f2) * square(f10))) / 0.62762856,0.003126374712780642,(-f1/0.079942435 + f10**2*(-f2 + f5) - f3 + f6 + (f7 - 2.1235871)**2 + 2.3529267)/0.62762856,PySRFunction(X=>(-f1/0.079942435 + f10**2*(-f2 + f5) - f3 + f6 + (f7 - 2.1235871)**2 + 2.3529267)/0.62762856)
