complexity,loss,equation,score,sympy_format,lambda_format
1,12.671762,7.99283,0.0,7.99283000000000,PySRFunction(X=>7.99283000000000)
3,10.847013,6.6826406 / f7,0.077743155392307,6.6826406/f7,PySRFunction(X=>6.6826406/f7)
4,9.462385,4.426223 / cube(f7),0.1365652770921674,4.426223/(f7**3),PySRFunction(X=>4.426223/(f7**3))
5,9.365957,2.2461426 / (f7 - 0.5359893),0.010242945776543062,2.2461426/(f7 - 1*0.5359893),PySRFunction(X=>2.2461426/(f7 - 1*0.5359893))
6,8.892505,square(f8 - (2.4234798 / f7)),0.0518727325648209,(f8 - 2.4234798/f7)**2,PySRFunction(X=>(f8 - 2.4234798/f7)**2)
7,8.869808,square(tanh(f8) - (2.4211183 / f7)),0.002555637022427322,(tanh(f8) - 2.4211183/f7)**2,PySRFunction(X=>(tanh(f8) - 2.4211183/f7)**2)
8,8.756658,square(f8 - ((f3 + 2.3809001) / f7)),0.012838824782732459,(f8 - (f3 + 2.3809001)/f7)**2,PySRFunction(X=>(f8 - (f3 + 2.3809001)/f7)**2)
9,8.7355795,square(((f3 + 2.3785703) / f7) - tanh(f8)),0.0024100416201782147,(-tanh(f8) + (f3 + 2.3785703)/f7)**2,PySRFunction(X=>(-tanh(f8) + (f3 + 2.3785703)/f7)**2)
10,8.515262,((f9 - (f8 * 3.2927337)) + 5.041062) / square(f7),0.02554420081449659,(-3.2927337*f8 + f9 + 5.041062)/(f7**2),PySRFunction(X=>(-3.2927337*f8 + f9 + 5.041062)/(f7**2))
11,8.377335,square(((tanh(f9 - f8) * -0.84113204) + -1.8691449) / f7),0.016330238049940143,(tanh(-f8 + f9)*(-0.84113204) - 1.8691449)**2/f7**2,PySRFunction(X=>(tanh(-f8 + f9)*(-0.84113204) - 1.8691449)**2/f7**2)
12,8.038059,((f1 * (f9 - f8)) + 5.600744) / (cube(f7) + f2),0.041342208687685,(f1*(-f8 + f9) + 5.600744)/(f2 + f7**3),PySRFunction(X=>(f1*(-f8 + f9) + 5.600744)/(f2 + f7**3))
13,7.8433137,((tanh(f9 - f8) * 15.673665) / cube(f7 + f2)) + f1,0.02452622525382436,f1 + tanh(-f8 + f9)*15.673665/(f2 + f7)**3,PySRFunction(X=>f1 + tanh(-f8 + f9)*15.673665/(f2 + f7)**3)
