complexity,loss,equation,score,sympy_format,lambda_format
1,0.97332215,3.6394124,0.0,3.63941240000000,PySRFunction(X=>3.63941240000000)
3,0.74426186,1.2046132 / f4,0.1341610907638617,1.2046132/f4,PySRFunction(X=>1.2046132/f4)
4,0.6372494,cube(0.5028856 / f4),0.15523183356438225,0.127176714058529/f4**3,PySRFunction(X=>0.127176714058529/f4**3)
5,0.6260188,f1 + (1.2660631 / f4),0.01778069911204702,f1 + 1.2660631/f4,PySRFunction(X=>f1 + 1.2660631/f4)
6,0.5244944,f1 + (0.41341224 / square(f4)),0.17694565165375725,f1 + 0.41341224/(f4**2),PySRFunction(X=>f1 + 0.41341224/(f4**2))
7,0.51315427,(0.5052808 / (f4 - 0.19485)) + f1,0.021858229733511533,f1 + 0.5052808/(f4 - 1*0.19485),PySRFunction(X=>f1 + 0.5052808/(f4 - 1*0.19485))
8,0.5007629,square((f1 * f3) - (-0.6571564 / f4)),0.024443785638689004,(f1*f3 - (-1)*0.6571564/f4)**2,PySRFunction(X=>(f1*f3 - (-1)*0.6571564/f4)**2)
9,0.4824281,square((-0.8456119 / f4) - tanh(f1 + -0.6610878)),0.037300841440992716,(-tanh(f1 - 0.6610878) - 0.8456119/f4)**2,PySRFunction(X=>(-tanh(f1 - 0.6610878) - 0.8456119/f4)**2)
11,0.47674462,((f1 + (0.20928954 / (f4 + -0.21781088))) - f7) * 1.7191623,0.005925467227327306,(f1 - f7 + 0.20928954/(f4 - 0.21781088))*1.7191623,PySRFunction(X=>(f1 - f7 + 0.20928954/(f4 - 0.21781088))*1.7191623)
12,0.47365722,((0.2113129 / (f4 + -0.21504845)) + (tanh(f1) - f7)) * 1.7318385,0.006497064147931257,(-f7 + tanh(f1) + 0.2113129/(f4 - 0.21504845))*1.7318385,PySRFunction(X=>(-f7 + tanh(f1) + 0.2113129/(f4 - 0.21504845))*1.7318385)
13,0.47215042,(tanh(f1) + ((0.112973906 / (square(f4) + -0.03873101)) - f7)) * 1.9486614,0.0031862742719983026,(-f7 + tanh(f1) + 0.112973906/(f4**2 - 0.03873101))*1.9486614,PySRFunction(X=>(-f7 + tanh(f1) + 0.112973906/(f4**2 - 0.03873101))*1.9486614)
14,0.47067928,(tanh(tanh(f1)) + ((0.08834603 / (square(f4) + -0.041643176)) - f7)) * 2.3075976,0.0031206933636458265,(-f7 + tanh(tanh(f1)) + 0.08834603/(f4**2 - 0.041643176))*2.3075976,PySRFunction(X=>(-f7 + tanh(tanh(f1)) + 0.08834603/(f4**2 - 0.041643176))*2.3075976)
15,0.46795368,(tanh(f1) + (f9 * ((0.115574755 / (square(f4) + -0.03731218)) - f7))) * 2.012063,0.0058076112324626705,(f9*(-f7 + 0.115574755/(f4**2 - 0.03731218)) + tanh(f1))*2.012063,PySRFunction(X=>(f9*(-f7 + 0.115574755/(f4**2 - 0.03731218)) + tanh(f1))*2.012063)
16,0.46653792,(tanh(tanh(f1)) + (((0.11522058 / (square(f4) + -0.037181035)) - f7) * f9)) * 2.0120418,0.003030013502897359,(f9*(-f7 + 0.11522058/(f4**2 - 0.037181035)) + tanh(tanh(f1)))*2.0120418,PySRFunction(X=>(f9*(-f7 + 0.11522058/(f4**2 - 0.037181035)) + tanh(tanh(f1)))*2.0120418)
