complexity,loss,equation,score,sympy_format,lambda_format
1,4.994826,9.920712,0.0,9.92071200000000,PySRFunction(X=>9.92071200000000)
3,2.583695,4.3622155 / f9,0.3295910158804372,4.3622155/f9,PySRFunction(X=>4.3622155/f9)
4,2.3634353,square(1.3634582 / f9),0.08910434867782953,1.85901826314724/f9**2,PySRFunction(X=>1.85901826314724/f9**2)
5,2.1796806,(f9 * -32.445087) + 24.268675,0.08093784391489091,24.268675 + f9*(-32.445087),PySRFunction(X=>24.268675 + f9*(-32.445087))
6,1.9816034,square(f6 - (1.1951238 / f9)),0.09527203732857534,(f6 - 1.1951238/f9)**2,PySRFunction(X=>(f6 - 1.1951238/f9)**2)
7,1.9272926,square((1.205862 / f9) - tanh(f6)),0.02779009482957526,(-tanh(f6) + 1.205862/f9)**2,PySRFunction(X=>(-tanh(f6) + 1.205862/f9)**2)
8,1.8994622,(7.24237 / f9) - square(f6 + 2.977597),0.01454542667333069,-(f6 + 2.977597)**2 + 7.24237/f9,PySRFunction(X=>-(f6 + 2.977597)**2 + 7.24237/f9)
9,1.8281379,(((-2.6378286 / f9) - -7.1250525) / f6) + 12.734097,0.03827288565041461,12.734097 + (-1*(-7.1250525) - 2.6378286/f9)/f6,PySRFunction(X=>12.734097 + (-1*(-7.1250525) - 2.6378286/f9)/f6)
10,1.7446772,(6.217684 / f9) - ((-1.5400923 / f6) + tanh(f5)),0.046728354954366294,-(tanh(f5) - 1.5400923/f6) + 6.217684/f9,PySRFunction(X=>-(tanh(f5) - 1.5400923/f6) + 6.217684/f9)
11,1.7446729,(6.21752 / f9) - (tanh(square(f5)) + (-1.5399436 / f6)),2.464642341206884e-06,-(tanh(f5**2) - 1.5399436/f6) + 6.21752/f9,PySRFunction(X=>-(tanh(f5**2) - 1.5399436/f6) + 6.21752/f9)
12,1.6811148,((f6 + 7.0644784) / f9) - ((-1.9351406 / f6) + tanh(f5)),0.03710994344917049,-(tanh(f5) - 1.9351406/f6) + (f6 + 7.0644784)/f9,PySRFunction(X=>-(tanh(f5) - 1.9351406/f6) + (f6 + 7.0644784)/f9)
13,1.643175,((1.2539967 / square(f9)) - (f6 / 0.24452698)) / tanh(f0 + -0.5469851),0.02282679891731046,(-f6/0.24452698 + 1.2539967/(f9**2))/tanh(f0 - 0.5469851),PySRFunction(X=>(-f6/0.24452698 + 1.2539967/(f9**2))/tanh(f0 - 0.5469851))
14,1.6294146,f2 + (((7.02466 + f6) / f9) - (tanh(f5) + (-1.9459285 / f6))),0.008409536652490782,f2 - (tanh(f5) - 1.9459285/f6) + (f6 + 7.02466)/f9,PySRFunction(X=>f2 - (tanh(f5) - 1.9459285/f6) + (f6 + 7.02466)/f9)
15,1.6127211,(((f6 + f2) + 7.1821156) / f9) - (tanh(f5) + (-2.039399 / tanh(f6))),0.01029793264048258,-(tanh(f5) - 2.039399/tanh(f6)) + (f2 + f6 + 7.1821156)/f9,PySRFunction(X=>-(tanh(f5) - 2.039399/tanh(f6)) + (f2 + f6 + 7.1821156)/f9)
16,1.5804124,(1.492751 / square(f9)) - ((f6 / 0.16734143) / (f0 + tanh(-1.6038928 - tanh(f11)))),0.020237050928056863,-f6/(0.16734143*(f0 + tanh(-tanh(f11) - 1.6038928))) + 1.492751/(f9**2),PySRFunction(X=>-f6/(0.16734143*(f0 + tanh(-tanh(f11) - 1.6038928))) + 1.492751/(f9**2))
17,1.5553633,((1.4894836 / square(f9)) - (tanh((f5 + -0.7760158) + f0) / (f6 / -1.7720833))) - -5.775979,0.015976673855555755,-1*(-5.775979) - tanh(f0 + f5 - 0.7760158)/(f6/(-1.7720833)) + 1.4894836/(f9**2),PySRFunction(X=>-1*(-5.775979) - tanh(f0 + f5 - 0.7760158)/(f6/(-1.7720833)) + 1.4894836/(f9**2))
