complexity,loss,equation,score,sympy_format,lambda_format
1,10.122778,7.672345,0.0,7.67234500000000,PySRFunction(X=>7.67234500000000)
3,8.739228,3.1396294 / f1,0.07348313793580136,3.1396294/f1,PySRFunction(X=>3.1396294/f1)
4,8.709948,2.979364 / tanh(f1),0.0033560355493753,2.979364/tanh(f1),PySRFunction(X=>2.979364/tanh(f1))
5,8.593211,(2.956533 / f1) + f7,0.013493347797473004,f7 + 2.956533/f1,PySRFunction(X=>f7 + 2.956533/f1)
6,8.548729,cube(f3) * (3.420884 / f1),0.00518985597220002,f3**3*3.420884/f1,PySRFunction(X=>f3**3*3.420884/f1)
7,8.486052,(f7 + (2.9282653 / f1)) - f11,0.007358742426497831,-f11 + f7 + 2.9282653/f1,PySRFunction(X=>-f11 + f7 + 2.9282653/f1)
8,8.437629,cube(f3) * ((3.3889143 / f1) - f11),0.005722529530502222,f3**3*(-f11 + 3.3889143/f1),PySRFunction(X=>f3**3*(-f11 + 3.3889143/f1))
9,8.347816,(tanh(square(f11 - f7)) + 2.81239) / f1,0.0107013972060947,(tanh((f11 - f7)**2) + 2.81239)/f1,PySRFunction(X=>(tanh((f11 - f7)**2) + 2.81239)/f1)
10,8.246175,((f0 * tanh(f9 / f5)) + 3.2708638) / f1,0.012250491294186604,(f0*tanh(f9/f5) + 3.2708638)/f1,PySRFunction(X=>(f0*tanh(f9/f5) + 3.2708638)/f1)
11,8.052649,(tanh(cube(f9 * (f0 / f5))) + 3.3778467) / f1,0.02374835084803414,(tanh(f0**3*f9**3/f5**3) + 3.3778467)/f1,PySRFunction(X=>(tanh(f0**3*f9**3/f5**3) + 3.3778467)/f1)
12,7.853586,(tanh(-0.69377923 / ((f5 * f2) + 7.2657843)) + 3.2560499) / f1,0.025030862849744356,(tanh(-0.69377923/(f2*f5 + 7.2657843)) + 3.2560499)/f1,PySRFunction(X=>(tanh(-0.69377923/(f2*f5 + 7.2657843)) + 3.2560499)/f1)
13,7.8296413,(3.2229316 + cube(tanh(-1.3608686 / ((f5 * f2) + 7.297021)))) / f1,0.003053544802644044,(tanh(-1.3608686/(f2*f5 + 7.297021))**3 + 3.2229316)/f1,PySRFunction(X=>(tanh(-1.3608686/(f2*f5 + 7.297021))**3 + 3.2229316)/f1)
14,7.593037,((tanh(f9 / ((f2 * f5) + 7.2986064)) * -1.9592205) + 3.2881646) / f1,0.03068505484147669,(3.2881646 + tanh(f9/(f2*f5 + 7.2986064))*(-1.9592205))/f1,PySRFunction(X=>(3.2881646 + tanh(f9/(f2*f5 + 7.2986064))*(-1.9592205))/f1)
15,7.5733066,((-2.3415484 * tanh(tanh(f9 / (7.2961483 + (f2 * f5))))) + 3.2781763) / f1,0.002601867879449342,(3.2781763 - 2.3415484*tanh(tanh(f9/(f2*f5 + 7.2961483))))/f1,PySRFunction(X=>(3.2781763 - 2.3415484*tanh(tanh(f9/(f2*f5 + 7.2961483))))/f1)
16,7.4413514,(tanh(f3 + ((f9 * -2.773885) / ((f5 * f2) + 7.2623076))) + 2.583642) / f1,0.017577303113594962,(tanh(f3 + f9*(-2.773885)/(f2*f5 + 7.2623076)) + 2.583642)/f1,PySRFunction(X=>(tanh(f3 + f9*(-2.773885)/(f2*f5 + 7.2623076)) + 2.583642)/f1)
17,7.3762193,(cube(f3) * (3.6178331 + (-2.4302027 * tanh(f9 / ((f2 * f5) + 7.293194))))) / f1,0.008791254761297647,f3**3*(3.6178331 - 2.4302027*tanh(f9/(f2*f5 + 7.293194)))/f1,PySRFunction(X=>f3**3*(3.6178331 - 2.4302027*tanh(f9/(f2*f5 + 7.293194)))/f1)
18,7.2928143,(tanh((f3 + ((f9 * -3.1150446) / ((f5 * f2) + 7.2696075))) - f11) + 2.5657406) / f1,0.011371696468748164,(tanh(-f11 + f3 + f9*(-3.1150446)/(f2*f5 + 7.2696075)) + 2.5657406)/f1,PySRFunction(X=>(tanh(-f11 + f3 + f9*(-3.1150446)/(f2*f5 + 7.2696075)) + 2.5657406)/f1)
19,7.1209106,(tanh(((f9 / ((f2 * f5) + 7.2963495)) * -3.76342) + square(f11 - f3)) + 2.5864248) / f1,0.02385391040072662,(tanh(f9*(-3.76342)/(f2*f5 + 7.2963495) + (f11 - f3)**2) + 2.5864248)/f1,PySRFunction(X=>(tanh(f9*(-3.76342)/(f2*f5 + 7.2963495) + (f11 - f3)**2) + 2.5864248)/f1)
20,7.081005,(tanh(((f9 * -3.5783546) / ((f2 * f5) + 7.2961483)) + square(f11 - cube(f3))) + 2.6261048) / f1,0.005619763720322718,(tanh(f9*(-3.5783546)/(f2*f5 + 7.2961483) + (f11 - f3**3)**2) + 2.6261048)/f1,PySRFunction(X=>(tanh(f9*(-3.5783546)/(f2*f5 + 7.2961483) + (f11 - f3**3)**2) + 2.6261048)/f1)
21,6.9940085,(2.6261048 + tanh(cube(f3 - (f4 * f11)) + (f9 * (-3.5783546 / ((f5 * f2) + 7.2961483))))) / f1,0.012361992816474114,(tanh(f9*(-3.5783546)/(f2*f5 + 7.2961483) + (-f11*f4 + f3)**3) + 2.6261048)/f1,PySRFunction(X=>(tanh(f9*(-3.5783546)/(f2*f5 + 7.2961483) + (-f11*f4 + f3)**3) + 2.6261048)/f1)
22,6.9688067,(2.6261048 + tanh(f3 + (((f9 * -3.5783546) / ((f5 * f2) + 7.2961483)) - ((f4 * f11) * 4.742127)))) / f1,0.003609849017706536,(tanh(-4.742127*f11*f4 + f3 + f9*(-3.5783546)/(f2*f5 + 7.2961483)) + 2.6261048)/f1,PySRFunction(X=>(tanh(-4.742127*f11*f4 + f3 + f9*(-3.5783546)/(f2*f5 + 7.2961483)) + 2.6261048)/f1)
23,6.9236565,(2.6261048 + tanh(((f9 * -3.5783546) / ((f5 * f2) + 7.2961483)) + square(f3 - (2.6261048 * (f11 * f4))))) / f1,0.006499978918812047,(tanh(f9*(-3.5783546)/(f2*f5 + 7.2961483) + (-2.6261048*f11*f4 + f3)**2) + 2.6261048)/f1,PySRFunction(X=>(tanh(f9*(-3.5783546)/(f2*f5 + 7.2961483) + (-2.6261048*f11*f4 + f3)**2) + 2.6261048)/f1)
24,6.8763204,(f3 * (tanh((((f9 * -3.5819352) / ((f5 * f2) + 7.2796764)) + f3) - ((f11 * f4) * 4.71152)) + 2.721069)) / f1,0.006860342737708781,f3*(tanh(-4.71152*f11*f4 + f3 + f9*(-3.5819352)/(f2*f5 + 7.2796764)) + 2.721069)/f1,PySRFunction(X=>f3*(tanh(-4.71152*f11*f4 + f3 + f9*(-3.5819352)/(f2*f5 + 7.2796764)) + 2.721069)/f1)
25,6.832496,(tanh(square(-1.1139191 - ((f4 * -2.6793628) * f11)) + ((f9 * -4.409734) / ((f2 * f5) + 7.3093414))) + 2.6132421) * (f3 / f1),0.006393629910975525,f3*(tanh(f9*(-4.409734)/(f2*f5 + 7.3093414) + (-(-2.6793628)*f11*f4 - 1.1139191)**2) + 2.6132421)/f1,PySRFunction(X=>f3*(tanh(f9*(-4.409734)/(f2*f5 + 7.3093414) + (-(-2.6793628)*f11*f4 - 1.1139191)**2) + 2.6132421)/f1)
26,6.8102217,(f3 * (tanh((((f9 / (7.2794714 + (f5 * f2))) * -3.6706626) + f3) - (f11 * ((f4 * 4.708236) - f11))) + 2.6895716)) / f1,0.0032653786850705717,f3*(tanh(-f11*(-f11 + f4*4.708236) + f3 + f9*(-3.6706626)/(f2*f5 + 7.2794714)) + 2.6895716)/f1,PySRFunction(X=>f3*(tanh(-f11*(-f11 + f4*4.708236) + f3 + f9*(-3.6706626)/(f2*f5 + 7.2794714)) + 2.6895716)/f1)
27,6.7953596,((tanh(((f9 / ((tanh(f5) * f2) + 7.2325354)) * -3.6702502) + (f3 - (f11 * ((4.708167 * f4) - f11)))) + 2.6927798) * f3) / f1,0.002184707229132822,f3*(tanh(-f11*(-f11 + 4.708167*f4) + f3 + f9*(-3.6702502)/(f2*tanh(f5) + 7.2325354)) + 2.6927798)/f1,PySRFunction(X=>f3*(tanh(-f11*(-f11 + 4.708167*f4) + f3 + f9*(-3.6702502)/(f2*tanh(f5) + 7.2325354)) + 2.6927798)/f1)
28,6.7936983,((tanh((((f9 / ((tanh(f5) * f2) + 7.2325354)) * -3.6702502) + square(f3)) - (f11 * ((f4 * 4.708167) - f11))) + 2.6927798) * f3) / f1,0.00024450554563855203,f3*(tanh(-f11*(-f11 + f4*4.708167) + f3**2 + f9*(-3.6702502)/(f2*tanh(f5) + 7.2325354)) + 2.6927798)/f1,PySRFunction(X=>f3*(tanh(-f11*(-f11 + f4*4.708167) + f3**2 + f9*(-3.6702502)/(f2*tanh(f5) + 7.2325354)) + 2.6927798)/f1)
