complexity,loss,equation,score,sympy_format,lambda_format
1,7.7922134,7.8346386,0.0,7.83463860000000,PySRFunction(X=>7.83463860000000)
3,4.539743,3.4394233 / f0,0.2701272752537092,3.4394233/f0,PySRFunction(X=>3.4394233/f0)
4,3.7486935,1.4311334 / square(f0),0.19146302324451267,1.4311334/(f0**2),PySRFunction(X=>1.4311334/(f0**2))
5,3.656452,cube(square(f0 - 1.8428733)),0.02491410094176881,(f0 - 1*1.8428733)**6,PySRFunction(X=>(f0 - 1*1.8428733)**6)
6,3.6423419,f5 * (-0.7033579 / square(f0)),0.0038664244452587125,f5*(-0.7033579)/f0**2,PySRFunction(X=>f5*(-0.7033579)/f0**2)
7,3.470578,(f7 - (f5 / f0)) * 1.6620238,0.04830570319729947,(f7 - f5/f0)*1.6620238,PySRFunction(X=>(f7 - f5/f0)*1.6620238)
9,3.3148746,f7 + (((f5 * -2.4473937) / f0) - 3.7277668),0.022950677912291984,f7 - 1*3.7277668 + f5*(-2.4473937)/f0,PySRFunction(X=>f7 - 1*3.7277668 + f5*(-2.4473937)/f0)
10,3.265422,((cube(f7) - (f5 * 2.61342)) / f0) + -4.361253,0.015030790874494394,-4.361253 + (-2.61342*f5 + f7**3)/f0,PySRFunction(X=>-4.361253 + (-2.61342*f5 + f7**3)/f0)
11,3.2040293,(((f7 - f5) * (2.4709203 - f7)) / f0) + -3.3641412,0.018979830010258398,-3.3641412 + (2.4709203 - f7)*(-f5 + f7)/f0,PySRFunction(X=>-3.3641412 + (2.4709203 - f7)*(-f5 + f7)/f0)
12,3.0355556,-2.646468 - (f5 * ((2.371891 / f0) - square(f11 - f7))),0.05401470197561733,-f5*(-(f11 - f7)**2 + 2.371891/f0) - 2.646468,PySRFunction(X=>-f5*(-(f11 - f7)**2 + 2.371891/f0) - 2.646468)
14,3.0345402,-2.5368621 - (f5 * ((2.3501117 / f0) - square(f11 - (f7 - 0.015733076)))),0.00016727907481642272,-f5*(-(f11 - (f7 - 1*0.015733076))**2 + 2.3501117/f0) - 2.5368621,PySRFunction(X=>-f5*(-(f11 - (f7 - 1*0.015733076))**2 + 2.3501117/f0) - 2.5368621)
15,2.9552693,cube(-0.8632544 - f3) - (f5 * ((2.0731373 / f0) - square(f11 - f7))),0.026470133480641814,-f5*(-(f11 - f7)**2 + 2.0731373/f0) + (-f3 - 0.8632544)**3,PySRFunction(X=>-f5*(-(f11 - f7)**2 + 2.0731373/f0) + (-f3 - 0.8632544)**3)
16,2.9448013,cube(-0.8927174 - f3) - (f5 * ((2.0918558 / f0) - square(f7 - tanh(f11)))),0.0035484358386806245,-f5*(-(f7 - tanh(f11))**2 + 2.0918558/f0) + (-f3 - 0.8927174)**3,PySRFunction(X=>-f5*(-(f7 - tanh(f11))**2 + 2.0918558/f0) + (-f3 - 0.8927174)**3)
18,2.8841963,(square(((square(f0) + -0.3953483) * 4.282408) * f5) + 5.081364) - cube(f11 - (f7 - f3)),0.010397531122545016,18.339018278464*f5**2*(f0**2 - 0.3953483)**2 - (f11 - (-f3 + f7))**3 + 5.081364,PySRFunction(X=>18.339018278464*f5**2*(f0**2 - 0.3953483)**2 - (f11 - (-f3 + f7))**3 + 5.081364)
19,2.8393934,(square((square(f0) + -0.39672604) * (f5 * 4.316047)) - cube(tanh(f11) - (f7 - f3))) + 4.9637384,0.01565584448371757,18.628261706209*f5**2*(f0**2 - 0.39672604)**2 - (-(-f3 + f7) + tanh(f11))**3 + 4.9637384,PySRFunction(X=>18.628261706209*f5**2*(f0**2 - 0.39672604)**2 - (-(-f3 + f7) + tanh(f11))**3 + 4.9637384)
20,2.8111076,(square(f5 * ((square(f0 + -0.28359878) + -0.11728292) * 10.79502)) - square(f11 - (f7 - f3))) + 4.1652546,0.010011868425277874,116.5324568004*f5**2*((f0 - 0.28359878)**2 - 0.11728292)**2 - (f11 - (-f3 + f7))**2 + 4.1652546,PySRFunction(X=>116.5324568004*f5**2*((f0 - 0.28359878)**2 - 0.11728292)**2 - (f11 - (-f3 + f7))**2 + 4.1652546)
21,2.7561586,(square(((square(f0 + -0.27950603) + -0.12020853) * f5) * 10.272819) + 4.45845) - cube(tanh(f11) - (f7 - f3)),0.019740670719168834,105.530810206761*f5**2*((f0 - 0.27950603)**2 - 0.12020853)**2 - (-(-f3 + f7) + tanh(f11))**3 + 4.45845,PySRFunction(X=>105.530810206761*f5**2*((f0 - 0.27950603)**2 - 0.12020853)**2 - (-(-f3 + f7) + tanh(f11))**3 + 4.45845)
22,2.7491865,square((square(f0 + -0.27724808) + -0.12070374) * (f5 * 10.245122)) + (4.450887 - cube(tanh(tanh(f11)) - (f7 - f3))),0.002532848931616004,104.962524794884*f5**2*((f0 - 0.27724808)**2 - 0.12070374)**2 - (-(-f3 + f7) + tanh(tanh(f11)))**3 + 4.450887,PySRFunction(X=>104.962524794884*f5**2*((f0 - 0.27724808)**2 - 0.12070374)**2 - (-(-f3 + f7) + tanh(tanh(f11)))**3 + 4.450887)
23,2.7397516,square(tanh((square(f0 + -0.31062666) + -0.098618284) * f5) * 12.395286) + (4.2410975 - cube(tanh(tanh(f11)) - (f7 - f3))),0.003437790377748624,-(-(-f3 + f7) + tanh(tanh(f11)))**3 + 153.643115021796*tanh(f5*((f0 - 0.31062666)**2 - 0.098618284))**2 + 4.2410975,PySRFunction(X=>-(-(-f3 + f7) + tanh(tanh(f11)))**3 + 153.643115021796*tanh(f5*((f0 - 0.31062666)**2 - 0.098618284))**2 + 4.2410975)
25,2.7157605,square(f5 * ((square(f0 + -0.265511) + -0.1129328) * 10.4577055)) + (5.29504 - square((f11 - (0.09297148 - cube(f0 + f3))) - f7)),0.004397617348284266,109.36360432473*f5**2*((f0 - 0.265511)**2 - 0.1129328)**2 - (f11 - f7 - (0.09297148 - (f0 + f3)**3))**2 + 5.29504,PySRFunction(X=>109.36360432473*f5**2*((f0 - 0.265511)**2 - 0.1129328)**2 - (f11 - f7 - (0.09297148 - (f0 + f3)**3))**2 + 5.29504)
26,2.6970508,(5.3076005 - square((tanh(f11) - (0.058692936 - cube(f0 + f3))) - f7)) + square(f5 * ((square(f0 + -0.2635348) + -0.113508545) * 10.454794)),0.006913144935894328,109.302717582436*f5**2*((f0 - 0.2635348)**2 - 0.113508545)**2 - (-f7 - (0.058692936 - (f0 + f3)**3) + tanh(f11))**2 + 5.3076005,PySRFunction(X=>109.302717582436*f5**2*((f0 - 0.2635348)**2 - 0.113508545)**2 - (-f7 - (0.058692936 - (f0 + f3)**3) + tanh(f11))**2 + 5.3076005)
27,2.6936429,(5.3076005 - square((tanh(tanh(f11)) - (0.058692936 - cube(f0 + f3))) - f7)) + square(f5 * ((square(f0 + -0.2635348) + -0.113508545) * 10.454794)),0.0012643643447944573,109.302717582436*f5**2*((f0 - 0.2635348)**2 - 0.113508545)**2 - (-f7 - (0.058692936 - (f0 + f3)**3) + tanh(tanh(f11)))**2 + 5.3076005,PySRFunction(X=>109.302717582436*f5**2*((f0 - 0.2635348)**2 - 0.113508545)**2 - (-f7 - (0.058692936 - (f0 + f3)**3) + tanh(tanh(f11)))**2 + 5.3076005)
28,2.6877542,f3 + (square((square(f0 + -0.26860145) + -0.112114996) * (f5 * 10.84743)) + (4.83833 - square((tanh(f11) - (0.0756009 - cube(f0 + f3))) - f7))),0.0021885403515119217,f3 + 117.6667376049*f5**2*((f0 - 0.26860145)**2 - 0.112114996)**2 - (-f7 - (0.0756009 - (f0 + f3)**3) + tanh(f11))**2 + 4.83833,PySRFunction(X=>f3 + 117.6667376049*f5**2*((f0 - 0.26860145)**2 - 0.112114996)**2 - (-f7 - (0.0756009 - (f0 + f3)**3) + tanh(f11))**2 + 4.83833)
