complexity,loss,equation,score,sympy_format,lambda_format
1,10.25058,5.639066,0.0,5.63906600000000,PySRFunction(X=>5.63906600000000)
3,8.80877,9.480595 / f10,0.07579323661157907,9.480595/f10,PySRFunction(X=>9.480595/f10)
4,8.279862,cube(1.9452229 - f0),0.06192151453461007,(1.9452229 - f0)**3,PySRFunction(X=>(1.9452229 - f0)**3)
5,7.1173143,f1 + (416.84158 / f7),0.15129585238362886,f1 + 416.84158/f7,PySRFunction(X=>f1 + 416.84158/f7)
7,6.0187306,(f1 * 2.3984416) + (413.7382 / f7),0.08382703795476115,f1*2.3984416 + 413.7382/f7,PySRFunction(X=>f1*2.3984416 + 413.7382/f7)
8,5.899481,(421.9488 / f7) + (tanh(f1) / 0.30053064),0.020011992357725616,tanh(f1)/0.30053064 + 421.9488/f7,PySRFunction(X=>tanh(f1)/0.30053064 + 421.9488/f7)
9,5.5783553,((f1 + (166.82425 / f7)) - f9) * 2.377992,0.055970397098512106,(f1 - f9 + 166.82425/f7)*2.377992,PySRFunction(X=>(f1 - f9 + 166.82425/f7)*2.377992)
10,5.4556866,((f1 / 0.40903953) + (385.493 / f7)) + square(f3),0.022235506299852364,f1/0.40903953 + f3**2 + 385.493/f7,PySRFunction(X=>f1/0.40903953 + f3**2 + 385.493/f7)
11,4.950551,(tanh(f1 + square(f3)) / 0.30397984) + (378.73206 / f7),0.09715959402530479,tanh(f1 + f3**2)/0.30397984 + 378.73206/f7,PySRFunction(X=>tanh(f1 + f3**2)/0.30397984 + 378.73206/f7)
12,4.8463926,(383.9296 / f7) + (tanh(f1 + tanh(square(f3))) / 0.28038186),0.021264249133964977,tanh(f1 + tanh(f3**2))/0.28038186 + 383.9296/f7,PySRFunction(X=>tanh(f1 + tanh(f3**2))/0.28038186 + 383.9296/f7)
13,4.726957,(2.2890635 - f9) * ((158.71086 / f7) + (f1 + tanh(square(f3)))),0.024952979292030525,(2.2890635 - f9)*(f1 + tanh(f3**2) + 158.71086/f7),PySRFunction(X=>(2.2890635 - f9)*(f1 + tanh(f3**2) + 158.71086/f7))
14,4.3614793,(419.16458 / f7) + (tanh((0.14787012 / (f1 + 0.3108249)) + f1) / 0.35673082),0.08047036628479469,tanh(f1 + 0.14787012/(f1 + 0.3108249))/0.35673082 + 419.16458/f7,PySRFunction(X=>tanh(f1 + 0.14787012/(f1 + 0.3108249))/0.35673082 + 419.16458/f7)
15,4.0624194,(419.16458 / f7) + (tanh(cube((0.1914407 / (f1 + 0.31234744)) + f1)) / 0.34679043),0.0710325813472346,tanh((f1 + 0.1914407/(f1 + 0.31234744))**3)/0.34679043 + 419.16458/f7,PySRFunction(X=>tanh((f1 + 0.1914407/(f1 + 0.31234744))**3)/0.34679043 + 419.16458/f7)
16,4.0616627,(419.16458 / f7) + (tanh(cube((0.1914407 / (tanh(f1) + 0.31234744)) + f1)) / 0.34679043),0.000186285661044082,tanh((f1 + 0.1914407/(tanh(f1) + 0.31234744))**3)/0.34679043 + 419.16458/f7,PySRFunction(X=>tanh((f1 + 0.1914407/(tanh(f1) + 0.31234744))**3)/0.34679043 + 419.16458/f7)
17,3.8671334,(419.16458 / f7) + ((tanh(cube((0.1914407 / (f1 + 0.31234744)) + f1)) / 0.34679043) - f9),0.04907891274172645,-f9 + tanh((f1 + 0.1914407/(f1 + 0.31234744))**3)/0.34679043 + 419.16458/f7,PySRFunction(X=>-f9 + tanh((f1 + 0.1914407/(f1 + 0.31234744))**3)/0.34679043 + 419.16458/f7)
18,3.8587005,((419.16458 / f7) + (tanh(cube(cube(f1 + (0.1914407 / (0.31234744 + f1))))) / 0.34679043)) - f3,0.002183040292655373,-f3 + tanh((f1 + 0.1914407/(f1 + 0.31234744))**9)/0.34679043 + 419.16458/f7,PySRFunction(X=>-f3 + tanh((f1 + 0.1914407/(f1 + 0.31234744))**9)/0.34679043 + 419.16458/f7)
19,3.5884476,(434.57053 / f7) + (tanh(cube(cube((f1 + ((f1 + -1.1793681) + f5)) + square(f3)))) / 0.3235379),0.07261078318371503,tanh((f1 + f1 + f3**2 + f5 - 1.1793681)**9)/0.3235379 + 434.57053/f7,PySRFunction(X=>tanh((f1 + f1 + f3**2 + f5 - 1.1793681)**9)/0.3235379 + 434.57053/f7)
20,3.5535173,(436.7664 / f7) + (tanh(cube(cube(cube(square(f3) + ((f5 + -1.2617292) + (f1 + f1)))))) / 0.32636088),0.009781783867370688,tanh((f1 + f1 + f3**2 + f5 - 1.2617292)**27)/0.32636088 + 436.7664/f7,PySRFunction(X=>tanh((f1 + f1 + f3**2 + f5 - 1.2617292)**27)/0.32636088 + 436.7664/f7)
