complexity,loss,equation,score,sympy_format,lambda_format
1,11.42219,6.683206,0.0,6.68320600000000,PySRFunction(X=>6.68320600000000)
3,8.743136,2.9682062 / f2,0.13364450964501887,2.9682062/f2,PySRFunction(X=>2.9682062/f2)
5,7.6778398,2.5487032 / (f9 + 0.15411355),0.0649653519133832,2.5487032/(f9 + 0.15411355),PySRFunction(X=>2.5487032/(f9 + 0.15411355))
6,7.413714,0.9409353 / (square(f9) + 0.0830992),0.03500670323556443,0.9409353/(f9**2 + 0.0830992),PySRFunction(X=>0.9409353/(f9**2 + 0.0830992))
7,7.271524,1.2670562 / ((f2 * f9) + 0.08757311),0.019365630129674502,1.2670562/(f2*f9 + 0.08757311),PySRFunction(X=>1.2670562/(f2*f9 + 0.08757311))
8,7.231765,(1.0631427 / (square(f9) + 0.10103264)) + f8,0.0054827700942578295,f8 + 1.0631427/(f9**2 + 0.10103264),PySRFunction(X=>f8 + 1.0631427/(f9**2 + 0.10103264))
9,7.1709714,(3.6410172 / ((f2 * f9) + 0.20210406)) + -5.1110888,0.00844200148656012,-5.1110888 + 3.6410172/(f2*f9 + 0.20210406),PySRFunction(X=>-5.1110888 + 3.6410172/(f2*f9 + 0.20210406))
10,7.10603,f8 + (1.0649263 / square((f9 * f2) + 0.2950924)),0.009097407232000906,f8 + 1.0649263/((f2*f9 + 0.2950924)**2),PySRFunction(X=>f8 + 1.0649263/((f2*f9 + 0.2950924)**2))
11,7.0007043,((square(f1) + 0.89764136) / (square(f9) + 0.099371344)) + f8,0.014932961094581317,f8 + (f1**2 + 0.89764136)/(f9**2 + 0.099371344),PySRFunction(X=>f8 + (f1**2 + 0.89764136)/(f9**2 + 0.099371344))
12,6.9800663,((square(tanh(f1)) + 0.8899892) / (square(f9) + 0.096042015)) + f8,0.002952342983244613,f8 + (tanh(f1)**2 + 0.8899892)/(f9**2 + 0.096042015),PySRFunction(X=>f8 + (tanh(f1)**2 + 0.8899892)/(f9**2 + 0.096042015))
13,6.881081,(square(f1) + (1.8666466 + (f2 * -1.8332955))) / (square(f9) + 0.12237394),0.014282653600612902,(f1**2 + f2*(-1.8332955) + 1.8666466)/(f9**2 + 0.12237394),PySRFunction(X=>(f1**2 + f2*(-1.8332955) + 1.8666466)/(f9**2 + 0.12237394))
14,6.8344526,(((f2 / -0.48179367) + (2.4783146 - f1)) / (square(f9) + 0.16191703)) + -2.0462606,0.0067993825106447145,-2.0462606 + (-f1 + f2/(-0.48179367) + 2.4783146)/(f9**2 + 0.16191703),PySRFunction(X=>-2.0462606 + (-f1 + f2/(-0.48179367) + 2.4783146)/(f9**2 + 0.16191703))
15,6.7867417,(((square(f1) + 1.827253) + (f2 * -1.5225549)) / (square(f9) + 0.1367861)) + f8,0.0070054202400108975,f8 + (f1**2 + f2*(-1.5225549) + 1.827253)/(f9**2 + 0.1367861),PySRFunction(X=>f8 + (f1**2 + f2*(-1.5225549) + 1.827253)/(f9**2 + 0.1367861))
16,6.769892,(((f2 * -1.6034636) + (1.8320138 + square(f1))) / (square(f9) + 0.13205868)) + tanh(f8),0.002485824880943425,tanh(f8) + (f1**2 + f2*(-1.6034636) + 1.8320138)/(f9**2 + 0.13205868),PySRFunction(X=>tanh(f8) + (f1**2 + f2*(-1.6034636) + 1.8320138)/(f9**2 + 0.13205868))
17,6.762318,(((square(f1) + ((f7 + f2) * -1.5225549)) + 1.827253) / (0.1367861 + square(f9))) + f8,0.0011194033777028182,f8 + (f1**2 + (f2 + f7)*(-1.5225549) + 1.827253)/(f9**2 + 0.1367861),PySRFunction(X=>f8 + (f1**2 + (f2 + f7)*(-1.5225549) + 1.827253)/(f9**2 + 0.1367861))
18,6.6552143,(f8 + ((square(f1) + ((f2 * -1.5158333) + 1.6886778)) / (square(f9) + 0.12252031))) + tanh(f3),0.01596507800560135,f8 + tanh(f3) + (f1**2 + f2*(-1.5158333) + 1.6886778)/(f9**2 + 0.12252031),PySRFunction(X=>f8 + tanh(f3) + (f1**2 + f2*(-1.5158333) + 1.6886778)/(f9**2 + 0.12252031))
19,6.6426983,tanh(f3) + (((square(f1) + ((f2 * -1.5399642) + 1.6854333)) / (square(f9) + 0.12008286)) + tanh(f8)),0.001882401256841079,tanh(f3) + tanh(f8) + (f1**2 + f2*(-1.5399642) + 1.6854333)/(f9**2 + 0.12008286),PySRFunction(X=>tanh(f3) + tanh(f8) + (f1**2 + f2*(-1.5399642) + 1.6854333)/(f9**2 + 0.12008286))
21,6.635646,((((f2 * -1.5977972) + square(f1)) + 1.7316045) / (square(f9) + 0.12258772)) - ((f7 - tanh(f3)) - tanh(f8)),0.0005311129538271204,-(f7 - tanh(f3) - tanh(f8)) + (f1**2 + f2*(-1.5977972) + 1.7316045)/(f9**2 + 0.12258772),PySRFunction(X=>-(f7 - tanh(f3) - tanh(f8)) + (f1**2 + f2*(-1.5977972) + 1.7316045)/(f9**2 + 0.12258772))
