complexity,loss,equation,score,sympy_format,lambda_format
1,8.166857,4.2089353,0.0,4.20893530000000,PySRFunction(X=>4.20893530000000)
2,7.9213104,square(f9),0.030527488047741816,f9**2,PySRFunction(X=>f9**2)
3,6.7758675,f1 / -0.095342934,0.15618924383645713,f1/(-0.095342934),PySRFunction(X=>f1/(-0.095342934))
5,6.41381,(f1 * f11) / -0.09848456,0.02745696235868952,f1*f11/(-0.09848456),PySRFunction(X=>f1*f11/(-0.09848456))
6,6.226798,(square(f0) + f1) / -0.0616394,0.029591242144619466,(f0**2 + f1)/(-0.0616394),PySRFunction(X=>(f0**2 + f1)/(-0.0616394))
7,5.8217087,f3 - ((f0 + f1) * 13.389836),0.06726842626802446,f3 - 13.389836*(f0 + f1),PySRFunction(X=>f3 - 13.389836*(f0 + f1))
8,5.8187065,f3 - ((f0 + tanh(f1)) * 16.608767),0.0005158235363576004,f3 - 16.608767*(f0 + tanh(f1)),PySRFunction(X=>f3 - 16.608767*(f0 + tanh(f1)))
9,5.418305,f3 - (11.54012 * ((f2 * f0) + f1)),0.07129495026902928,f3 - 11.54012*(f0*f2 + f1),PySRFunction(X=>f3 - 11.54012*(f0*f2 + f1))
10,5.375198,f3 - (((f2 * f0) + f1) * cube(f9)),0.007987625369273013,f3 - f9**3*(f0*f2 + f1),PySRFunction(X=>f3 - f9**3*(f0*f2 + f1))
11,5.2787275,(f3 / (f2 + f5)) - ((f0 + f1) * 13.783322),0.018110345660344015,f3/(f2 + f5) - 13.783322*(f0 + f1),PySRFunction(X=>f3/(f2 + f5) - 13.783322*(f0 + f1))
13,5.033988,(f3 - ((f1 + (f0 * f2)) * 10.810053)) * (f9 - 1.1515858),0.023736275982077528,(f3 - 10.810053*(f0*f2 + f1))*(f9 - 1*1.1515858),PySRFunction(X=>(f3 - 10.810053*(f0*f2 + f1))*(f9 - 1*1.1515858))
15,4.9543962,(f3 * ((f9 - 1.231096) / (f5 + f2))) - ((f0 + f1) * 13.783322),0.007968604636815412,f3*(f9 - 1*1.231096)/(f2 + f5) - 13.783322*(f0 + f1),PySRFunction(X=>f3*(f9 - 1*1.231096)/(f2 + f5) - 13.783322*(f0 + f1))
16,4.8884506,((f9 + -1.3435223) * (f8 + f3)) - (((f0 * f2) + f1) * cube(f9)),0.013399901083185332,-f9**3*(f0*f2 + f1) + (f3 + f8)*(f9 - 1.3435223),PySRFunction(X=>-f9**3*(f0*f2 + f1) + (f3 + f8)*(f9 - 1.3435223))
17,4.8510942,(f9 - 1.231096) * ((f3 / (f5 + f2)) - ((f0 + f1) * (f2 * 13.783322))),0.007671114812139188,(f9 - 1*1.231096)*(-13.783322*f2*(f0 + f1) + f3/(f2 + f5)),PySRFunction(X=>(f9 - 1*1.231096)*(-13.783322*f2*(f0 + f1) + f3/(f2 + f5)))
18,4.8296847,((((cube(f11 + -0.7454527) + f9) - 1.2568461) * f3) / f2) - ((f1 + f0) * 12.654358),0.004423101720524934,-12.654358*(f0 + f1) + f3*(f9 + (f11 - 0.7454527)**3 - 1*1.2568461)/f2,PySRFunction(X=>-12.654358*(f0 + f1) + f3*(f9 + (f11 - 0.7454527)**3 - 1*1.2568461)/f2)
19,4.790334,((f9 - 1.231096) * ((f3 / (f5 + f2)) - ((f0 + f1) * (f2 * 13.783322)))) + f5,0.008181048437425672,f5 + (f9 - 1*1.231096)*(-13.783322*f2*(f0 + f1) + f3/(f2 + f5)),PySRFunction(X=>f5 + (f9 - 1*1.231096)*(-13.783322*f2*(f0 + f1) + f3/(f2 + f5)))
20,4.732862,((((cube(f11 + -0.7575277) + f9) - 1.2468848) * f3) / f2) - ((f0 + f1) * (f2 * 12.258018)),0.012070044076998823,-12.258018*f2*(f0 + f1) + f3*(f9 + (f11 - 0.7575277)**3 - 1*1.2468848)/f2,PySRFunction(X=>-12.258018*f2*(f0 + f1) + f3*(f9 + (f11 - 0.7575277)**3 - 1*1.2468848)/f2)
21,4.7038784,f8 + ((((f9 + square(f11 + -0.8885748)) - 1.4755739) * f3) - (cube(f9) * (f1 + (f2 * f0)))),0.006142733594087847,f3*(f9 + (f11 - 0.8885748)**2 - 1*1.4755739) + f8 - f9**3*(f0*f2 + f1),PySRFunction(X=>f3*(f9 + (f11 - 0.8885748)**2 - 1*1.4755739) + f8 - f9**3*(f0*f2 + f1))
22,4.626154,((f3 * ((f9 + square((f11 - f5) + -0.8797498)) - 1.4947641)) - ((f1 + (f2 * f0)) * 10.429099)) + f8,0.016661506567481617,f3*(f9 + (f11 - f5 - 0.8797498)**2 - 1*1.4947641) + f8 - 10.429099*(f0*f2 + f1),PySRFunction(X=>f3*(f9 + (f11 - f5 - 0.8797498)**2 - 1*1.4947641) + f8 - 10.429099*(f0*f2 + f1))
23,4.565697,((f3 * ((f9 + square((f11 + -0.8802427) - f5)) - 1.4984909)) - (cube(f9) * (f1 + (f0 * f2)))) + f8,0.013154667501466549,f3*(f9 + (f11 - f5 - 0.8802427)**2 - 1*1.4984909) + f8 - f9**3*(f0*f2 + f1),PySRFunction(X=>f3*(f9 + (f11 - f5 - 0.8802427)**2 - 1*1.4984909) + f8 - f9**3*(f0*f2 + f1))
25,4.557512,(((f3 * ((square((f11 + -0.88415813) - f5) - 1.4051234) + f9)) - (cube(f9) * (f1 + (f2 * f0)))) + f8) - f0,0.0008971626317053078,-f0 + f3*(f9 + (f11 - f5 - 0.88415813)**2 - 1*1.4051234) + f8 - f9**3*(f0*f2 + f1),PySRFunction(X=>-f0 + f3*(f9 + (f11 - f5 - 0.88415813)**2 - 1*1.4051234) + f8 - f9**3*(f0*f2 + f1))
