complexity,loss,equation,score,sympy_format,lambda_format
1,7.3395543,5.0873523,0.0,5.08735230000000,PySRFunction(X=>5.08735230000000)
3,6.4474955,f4 * -11.84399,0.06479317894187031,f4*(-11.84399),PySRFunction(X=>f4*(-11.84399))
4,6.0233893,cube(1.2886338 - f4),0.06804165329171068,(1.2886338 - f4)**3,PySRFunction(X=>(1.2886338 - f4)**3)
5,5.7609696,(f9 - f4) * 4.3814764,0.04454431366180107,(-f4 + f9)*4.3814764,PySRFunction(X=>(-f4 + f9)*4.3814764)
6,5.1290746,cube(1.4483776 - (f2 + f4)),0.11618054082774541,(1.4483776 - (f2 + f4))**3,PySRFunction(X=>(1.4483776 - (f2 + f4))**3)
7,4.886331,(f9 + (f4 / -0.32457384)) / f0,0.04848353792959294,(f4/(-0.32457384) + f9)/f0,PySRFunction(X=>(f4/(-0.32457384) + f9)/f0)
9,4.7755356,(f9 + ((f4 - f8) / -0.31660968)) / f0,0.011467789967838244,(f9 + (f4 - f8)/(-0.31660968))/f0,PySRFunction(X=>(f9 + (f4 - f8)/(-0.31660968))/f0)
10,4.731518,(f9 + (-3.4631536 * f4)) / (square(f5) + f0),0.009260053932344317,(-3.4631536*f4 + f9)/(f0 + f5**2),PySRFunction(X=>(-3.4631536*f4 + f9)/(f0 + f5**2))
11,4.665464,(((f4 * -2.839084) + f9) / f0) / (f5 + 0.77293855),0.01405878780190676,(f4*(-2.839084) + f9)/(f0*(f5 + 0.77293855)),PySRFunction(X=>(f4*(-2.839084) + f9)/(f0*(f5 + 0.77293855)))
12,4.645338,((f9 + (-3.7257864 * f4)) / (square(f5) + f0)) + f11,0.0043231574134463355,f11 + (-3.7257864*f4 + f9)/(f0 + f5**2),PySRFunction(X=>f11 + (-3.7257864*f4 + f9)/(f0 + f5**2))
13,4.503319,(f9 + (f4 * -3.0234928)) / (f0 * (f2 + (f5 - -0.6727836))),0.031049455562557667,(f4*(-3.0234928) + f9)/((f0*(f2 + f5 - 1*(-0.6727836)))),PySRFunction(X=>(f4*(-3.0234928) + f9)/((f0*(f2 + f5 - 1*(-0.6727836)))))
14,4.5015626,(((f4 * -3.0010724) + f9) / f0) / ((f5 + tanh(f2)) - -0.6695493),0.0003900995260780171,(f4*(-3.0010724) + f9)/(f0*(f5 + tanh(f2) - 1*(-0.6695493))),PySRFunction(X=>(f4*(-3.0010724) + f9)/(f0*(f5 + tanh(f2) - 1*(-0.6695493))))
15,4.414097,((f11 + (f9 / (f0 + f5))) + ((f4 * f4) / f0)) / 0.32762134,0.01962129781983643,(f11 + f9/(f0 + f5) + f4*f4/f0)/0.32762134,PySRFunction(X=>(f11 + f9/(f0 + f5) + f4*f4/f0)/0.32762134)
17,4.301236,(f11 * f10) + (((f9 / (f0 + f5)) + ((f4 * f4) / f0)) / 0.32762134),0.012950429934498991,f10*f11 + (f9/(f0 + f5) + f4*f4/f0)/0.32762134,PySRFunction(X=>f10*f11 + (f9/(f0 + f5) + f4*f4/f0)/0.32762134)
19,4.251589,((f11 * f10) + (((f9 / (f0 + f5)) + ((f4 * f4) / f0)) / 0.32762134)) - 0.17632554,0.005804813921904418,f10*f11 + (f9/(f0 + f5) + f4*f4/f0)/0.32762134 - 1*0.17632554,PySRFunction(X=>f10*f11 + (f9/(f0 + f5) + f4*f4/f0)/0.32762134 - 1*0.17632554)
21,4.182018,(f11 * f10) + (((f8 + (f4 * (f4 / f0))) + (f9 / ((f5 * 1.558957) + f0))) / 0.304482),0.0082494451274043,f10*f11 + (f8 + f9/(f0 + f5*1.558957) + f4*f4/f0)/0.304482,PySRFunction(X=>f10*f11 + (f8 + f9/(f0 + f5*1.558957) + f4*f4/f0)/0.304482)
23,4.1376333,((f10 + f9) * f11) + (((f9 / (f0 + (f5 * 1.4177397))) + (((f4 * f4) + f8) / f0)) / 0.3011051),0.005334973725500515,f11*(f10 + f9) + (f9/(f0 + f5*1.4177397) + (f4*f4 + f8)/f0)/0.3011051,PySRFunction(X=>f11*(f10 + f9) + (f9/(f0 + f5*1.4177397) + (f4*f4 + f8)/f0)/0.3011051)
25,4.1187487,(((f10 * f0) + f10) * f11) + ((((f8 + (f4 * f4)) / f0) + (f9 / ((f5 * 1.4952385) + f0))) / 0.29743987),0.0022872770339890935,f11*(f0*f10 + f10) + (f9/(f0 + f5*1.4952385) + (f4*f4 + f8)/f0)/0.29743987,PySRFunction(X=>f11*(f0*f10 + f10) + (f9/(f0 + f5*1.4952385) + (f4*f4 + f8)/f0)/0.29743987)
27,4.112335,(((f0 * f10) + f10) * f11) + (((f8 + (f8 + (f4 * (f4 / f0)))) + (f9 / ((f5 * 1.4952385) + f0))) / 0.29743987),0.0007792049664187541,f11*(f0*f10 + f10) + (f8 + f8 + f9/(f0 + f5*1.4952385) + f4*f4/f0)/0.29743987,PySRFunction(X=>f11*(f0*f10 + f10) + (f8 + f8 + f9/(f0 + f5*1.4952385) + f4*f4/f0)/0.29743987)
