complexity,loss,equation,score,sympy_format,lambda_format
1,5.553584,5.23416,0.0,5.23416000000000,PySRFunction(X=>5.23416000000000)
3,4.6414504,2.2238035 / f11,0.08970829075347352,2.2238035/f11,PySRFunction(X=>2.2238035/f11)
4,4.3886623,square(0.9506703 / f11),0.05600243821017836,0.90377401930209/f11**2,PySRFunction(X=>0.90377401930209/f11**2)
5,4.2663903,1.055112 / (f11 - 0.21087874),0.028256358667920096,1.055112/(f11 - 1*0.21087874),PySRFunction(X=>1.055112/(f11 - 1*0.21087874))
6,4.1520863,(0.22759251 / cube(f11)) + 2.0362325,0.027157175910716744,2.0362325 + 0.22759251/(f11**3),PySRFunction(X=>2.0362325 + 0.22759251/(f11**3))
7,3.2435293,square((square(f11) * -13.75662) + 4.606754),0.2469489037296653,(4.606754 + f11**2*(-13.75662))**2,PySRFunction(X=>(4.606754 + f11**2*(-13.75662))**2)
9,2.8380413,square(square(f11) * (31.174133 - (18.568796 / f11))),0.06677394797398203,f11**4*(31.174133 - 18.568796/f11)**2,PySRFunction(X=>f11**4*(31.174133 - 18.568796/f11)**2)
11,2.6610157,square(square(f11) * (40.597187 - (24.344212 / f11))) / f0,0.03220311955899959,(f11**4*(40.597187 - 24.344212/f11)**2)/f0,PySRFunction(X=>(f11**4*(40.597187 - 24.344212/f11)**2)/f0)
13,2.482793,square(square(f11) * ((f4 * f3) - ((19.067488 / f11) - 30.078682))),0.03466187792989761,f11**4*(f3*f4 - (-1*30.078682 + 19.067488/f11))**2,PySRFunction(X=>f11**4*(f3*f4 - (-1*30.078682 + 19.067488/f11))**2)
15,2.3641002,square((square(f11) * (((18.512316 / f11) - 28.704494) - (f0 * f3))) - f8),0.024493325861764923,(f11**2*(-f0*f3 - 1*28.704494 + 18.512316/f11) - f8)**2,PySRFunction(X=>(f11**2*(-f0*f3 - 1*28.704494 + 18.512316/f11) - f8)**2)
16,2.200137,square(square(f11) * (cube(f3 * (f0 - 1.0872015)) - ((19.447342 / f11) - 32.06538))),0.07187785327972479,f11**4*(f3**3*(f0 - 1*1.0872015)**3 - (-1*32.06538 + 19.447342/f11))**2,PySRFunction(X=>f11**4*(f3**3*(f0 - 1*1.0872015)**3 - (-1*32.06538 + 19.447342/f11))**2)
18,2.0814953,square((((19.448338 / f11) - 32.061466) - cube(f3 * (f0 - 1.0851091))) * square(f11)) - f8,0.02771655074468096,f11**4*(-f3**3*(f0 - 1*1.0851091)**3 - 1*32.061466 + 19.448338/f11)**2 - f8,PySRFunction(X=>f11**4*(-f3**3*(f0 - 1*1.0851091)**3 - 1*32.061466 + 19.448338/f11)**2 - f8)
20,1.9592501,square(((((18.668453 / f11) - 30.060026) - cube((f0 - 1.0507774) * f3)) - (f8 * 4.38581)) * square(f11)),0.03026236583627037,f11**4*(-f3**3*(f0 - 1*1.0507774)**3 - 4.38581*f8 - 1*30.060026 + 18.668453/f11)**2,PySRFunction(X=>f11**4*(-f3**3*(f0 - 1*1.0507774)**3 - 4.38581*f8 - 1*30.060026 + 18.668453/f11)**2)
22,1.9578819,square(((f8 * (f10 - -4.943884)) - (((18.655209 / f11) - 30.021389) - cube((f0 - 1.050974) * f3))) * square(f11)),0.0003492861756102259,f11**4*(f8*(f10 - 1*(-4.943884)) - (-f3**3*(f0 - 1*1.050974)**3 - 1*30.021389 + 18.655209/f11))**2,PySRFunction(X=>f11**4*(f8*(f10 - 1*(-4.943884)) - (-f3**3*(f0 - 1*1.050974)**3 - 1*30.021389 + 18.655209/f11))**2)
23,1.9337687,f3 + (f0 * (square(square(f11) * ((13.941936 / f11) - 23.31458)) + (5.458778 - (((f3 - -2.0954204) + f8) * f0)))),0.012392432451502185,f0*(-f0*(f3 + f8 - 1*(-2.0954204)) + f11**4*(-1*23.31458 + 13.941936/f11)**2 + 5.458778) + f3,PySRFunction(X=>f0*(-f0*(f3 + f8 - 1*(-2.0954204)) + f11**4*(-1*23.31458 + 13.941936/f11)**2 + 5.458778) + f3)
25,1.9293443,f3 + (((5.373597 - (f4 * f8)) + (square(square(f11) * (23.424711 - (14.020929 / f11))) - ((f3 - -2.072675) * f0))) * f0),0.0011452944644627582,f0*(-f0*(f3 - 1*(-2.072675)) + f11**4*(23.424711 - 14.020929/f11)**2 - f4*f8 + 5.373597) + f3,PySRFunction(X=>f0*(-f0*(f3 - 1*(-2.072675)) + f11**4*(23.424711 - 14.020929/f11)**2 - f4*f8 + 5.373597) + f3)
27,1.9104202,((f4 * 1.2267635) * (((5.4483614 - (f4 * f8)) + square(((13.836968 / f11) - 23.129904) * square(f11))) - ((f3 - -2.1459157) * f0))) + f3,0.004928493198519515,f3 + f4*1.2267635*(-f0*(f3 - 1*(-2.1459157)) + f11**4*(-1*23.129904 + 13.836968/f11)**2 - f4*f8 + 5.4483614),PySRFunction(X=>f3 + f4*1.2267635*(-f0*(f3 - 1*(-2.1459157)) + f11**4*(-1*23.129904 + 13.836968/f11)**2 - f4*f8 + 5.4483614))
