complexity,loss,equation,score,sympy_format,lambda_format
1,22.183493,5.2764597,0.0,5.27645970000000,PySRFunction(X=>5.27645970000000)
3,21.228363,1.5999701 / f0,0.022005144433463745,1.5999701/f0,PySRFunction(X=>1.5999701/f0)
4,20.35485,cube(1.8455504 - f1),0.042018952144941585,(1.8455504 - f1)**3,PySRFunction(X=>(1.8455504 - f1)**3)
5,18.155071,square(2.2375543 - cube(f11)),0.11436929710399646,(2.2375543 - f11**3)**2,PySRFunction(X=>(2.2375543 - f11**3)**2)
6,18.142906,5.065967 - (cube(f11) * 6.841115),0.0006702853139975171,5.065967 - 6.841115*f11**3,PySRFunction(X=>5.065967 - 6.841115*f11**3)
7,17.123278,square((2.3444529 - cube(f11)) - f1),0.05784080596524182,(-f1 - f11**3 + 2.3444529)**2,PySRFunction(X=>(-f1 - f11**3 + 2.3444529)**2)
8,15.785479,square(cube(f11) - cube(1.3940042 - f1)),0.08134835753375771,(f11**3 - (1.3940042 - f1)**3)**2,PySRFunction(X=>(f11**3 - (1.3940042 - f1)**3)**2)
10,15.574737,square(square(f11) + cube(1.3962454 - (f3 * f1))),0.006720144159202628,(f11**2 + (1.3962454 - f1*f3)**3)**2,PySRFunction(X=>(f11**2 + (1.3962454 - f1*f3)**3)**2)
12,15.016829,square(cube(((cube(f11) * -0.111410856) + 1.3904445) - (f1 * f3))),0.018239336478474526,(-f1*f3 + f11**3*(-0.111410856) + 1.3904445)**6,PySRFunction(X=>(-f1*f3 + f11**3*(-0.111410856) + 1.3904445)**6)
13,14.922197,square(square((cube(f11 * -0.5830978) - f1) + 1.7087369)) - square(f9),0.006321669592858505,-f9**2 + (-f1 - 0.198255027162441*f11**3 + 1.7087369)**4,PySRFunction(X=>-f9**2 + (-f1 - 0.198255027162441*f11**3 + 1.7087369)**4)
14,14.5964985,cube(square((cube(f11 * -0.4653387) - (f3 * f1)) + 1.4365673)) - f9,0.02206816476217591,-f9 + (-f1*f3 - 0.100764491292532*f11**3 + 1.4365673)**6,PySRFunction(X=>-f9 + (-f1*f3 - 0.100764491292532*f11**3 + 1.4365673)**6)
15,14.48427,square(cube(((square(f11) * 0.15053672) - (f3 * f1)) + 1.4442965)) - square(f9),0.007718438194680322,-f9**2 + (-f1*f3 + f11**2*0.15053672 + 1.4442965)**6,PySRFunction(X=>-f9**2 + (-f1*f3 + f11**2*0.15053672 + 1.4442965)**6)
16,14.481187,(square(cube((cube(f11 * -0.4479087) + 1.4973363) - (f3 * f1))) - f5) - 2.5183544,0.0002128742530554335,-f5 + (-f1*f3 - 0.0898604303768063*f11**3 + 1.4973363)**6 - 1*2.5183544,PySRFunction(X=>-f5 + (-f1*f3 - 0.0898604303768063*f11**3 + 1.4973363)**6 - 1*2.5183544)
17,14.287334,(cube(square((f3 * f1) - (cube(f11 * -0.44179136) + 1.5137782))) - square(f5)) - 3.1130304,0.013476948230162194,-f5**2 + (f1*f3 - (1.5137782 - 0.0862286634776791*f11**3))**6 - 1*3.1130304,PySRFunction(X=>-f5**2 + (f1*f3 - (1.5137782 - 0.0862286634776791*f11**3))**6 - 1*3.1130304)
19,14.047435,square(cube((cube((f11 * -0.4688374) - square(f3 * f8)) + 1.4427099) - (f1 * f3))) - f9,0.008466796835049011,-f9 + (-f1*f3 + (f11*(-0.4688374) - f3**2*f8**2)**3 + 1.4427099)**6,PySRFunction(X=>-f9 + (-f1*f3 + (f11*(-0.4688374) - f3**2*f8**2)**3 + 1.4427099)**6)
20,13.95125,square(cube(cube(-0.4718273 * f11) + (1.4340204 - (f3 * f1)))) - (f9 + (f1 / (f10 / f1))),0.00687070684786602,-(f1/((f10/f1)) + f9) + (-f1*f3 - 0.10503866583706*f11**3 + 1.4340204)**6,PySRFunction(X=>-(f1/((f10/f1)) + f9) + (-f1*f3 - 0.10503866583706*f11**3 + 1.4340204)**6)
22,13.839609,1.6393446 * (square(f0 + square((1.5373732 - (f1 * f3)) + ((cube(f11) * -0.17177454) - f1))) - (f5 + f9)),0.004017205821215243,1.6393446*((f0 + (-f1*f3 - f1 + f11**3*(-0.17177454) + 1.5373732)**2)**2 - (f5 + f9)),PySRFunction(X=>1.6393446*((f0 + (-f1*f3 - f1 + f11**3*(-0.17177454) + 1.5373732)**2)**2 - (f5 + f9)))
23,13.783723,square(square(((square(f11 * -0.5353926) + (square(f0) - (f1 * f3))) + 1.7754318) - f1)) - ((f5 + f9) * 1.9433138),0.004046295084854942,-1.9433138*(f5 + f9) + (f0**2 - f1*f3 - f1 + 0.28664523613476*f11**2 + 1.7754318)**4,PySRFunction(X=>-1.9433138*(f5 + f9) + (f0**2 - f1*f3 - f1 + 0.28664523613476*f11**2 + 1.7754318)**4)
24,13.682597,(square(square((((square(f11 * 0.510108) + 1.5513737) - (f1 * square(f3))) + square(f0)) - f1)) - (f5 + f9)) * 1.5922446,0.0073636699019884915,(-(f5 + f9) + (f0**2 - f1*f3**2 - f1 + 0.260210171664*f11**2 + 1.5513737)**4)*1.5922446,PySRFunction(X=>(-(f5 + f9) + (f0**2 - f1*f3**2 - f1 + 0.260210171664*f11**2 + 1.5513737)**4)*1.5922446)
26,13.569626,(1.656154 * (square(square(cube(f0) + (square(f11 * -0.5111635) + ((1.5436629 - (f1 * square(f3))) - f1)))) - (f9 + f5))) + f2,0.004145410343707482,f2 + 1.656154*(-(f5 + f9) + (f0**3 - f1*f3**2 - f1 + 0.26128812373225*f11**2 + 1.5436629)**4),PySRFunction(X=>f2 + 1.656154*(-(f5 + f9) + (f0**3 - f1*f3**2 - f1 + 0.26128812373225*f11**2 + 1.5436629)**4))
28,13.295286,((square(f0 + square((((cube(f11) * -0.15952119) - f1) + 1.3248495) - (f1 * f4))) - ((f9 + (f5 - f2)) + f3)) * 2.6460056) + 2.469937,0.010212188180466583,((f0 + (-f1*f4 - f1 + f11**3*(-0.15952119) + 1.3248495)**2)**2 - (-f2 + f3 + f5 + f9))*2.6460056 + 2.469937,PySRFunction(X=>((f0 + (-f1*f4 - f1 + f11**3*(-0.15952119) + 1.3248495)**2)**2 - (-f2 + f3 + f5 + f9))*2.6460056 + 2.469937)
