complexity,loss,equation,score,sympy_format,lambda_format
1,6.9428024,6.042194,0.0,6.04219400000000,PySRFunction(X=>6.04219400000000)
3,4.2327256,127.92912 / f8,0.24742968080532843,127.92912/f8,PySRFunction(X=>127.92912/f8)
5,3.9769855,(179.65988 / f8) - 2.582453,0.031161007590559026,-1*2.582453 + 179.65988/f8,PySRFunction(X=>-1*2.582453 + 179.65988/f8)
6,3.8111453,square((f8 * 0.09286233) - 4.4240527),0.04259437261369417,(f8*0.09286233 - 1*4.4240527)**2,PySRFunction(X=>(f8*0.09286233 - 1*4.4240527)**2)
7,3.490693,((-357.7019 / f8) - -5.262319) * f0,0.08782946380322285,f0*(-1*(-5.262319) - 357.7019/f8),PySRFunction(X=>f0*(-1*(-5.262319) - 357.7019/f8))
8,3.158881,square(((f8 * -0.19414379) - -8.904441) * f0),0.09988243287606641,f0**2*(f8*(-0.19414379) - 1*(-8.904441))**2,PySRFunction(X=>f0**2*(f8*(-0.19414379) - 1*(-8.904441))**2)
10,3.0151412,f2 + square((-8.692351 - (f8 * -0.1895702)) * f0),0.023285594687470924,f0**2*(-(-0.1895702)*f8 - 8.692351)**2 + f2,PySRFunction(X=>f0**2*(-(-0.1895702)*f8 - 8.692351)**2 + f2)
11,2.8905427,square(f2) + square(((f8 * -0.19208351) - -8.742319) * f0),0.04220239162470213,f0**2*(f8*(-0.19208351) - 1*(-8.742319))**2 + f2**2,PySRFunction(X=>f0**2*(f8*(-0.19208351) - 1*(-8.742319))**2 + f2**2)
12,2.8231285,square(f0 * (-8.649754 - (square(tanh(f2)) + (-0.18965463 * f8)))),0.023598602775118712,f0**2*(-(-0.18965463*f8 + tanh(f2)**2) - 8.649754)**2,PySRFunction(X=>f0**2*(-(-0.18965463*f8 + tanh(f2)**2) - 8.649754)**2)
13,2.7443469,square(f4 - ((-9.013549 - (f8 * -0.19162859)) * f0)) + square(f2),0.028302544030925705,f2**2 + (-f0*(-(-0.19162859)*f8 - 9.013549) + f4)**2,PySRFunction(X=>f2**2 + (-f0*(-(-0.19162859)*f8 - 9.013549) + f4)**2)
15,2.5931387,((0.5638089 - f4) * square(((f8 * -0.28288025) - -13.226105) * f0)) + square(f2),0.028337063932065094,f2**2 + (f0**2*(f8*(-0.28288025) - 1*(-13.226105))**2)*(0.5638089 - f4),PySRFunction(X=>f2**2 + (f0**2*(f8*(-0.28288025) - 1*(-13.226105))**2)*(0.5638089 - f4))
17,2.5655873,(square(((f8 * -0.28430718) - -13.277504) * f0) * (0.5670144 - f4)) + square(f2 + -0.18430033),0.005340788008195258,(f0**2*(f8*(-0.28430718) - 1*(-13.277504))**2)*(0.5670144 - f4) + (f2 - 0.18430033)**2,PySRFunction(X=>(f0**2*(f8*(-0.28430718) - 1*(-13.277504))**2)*(0.5670144 - f4) + (f2 - 0.18430033)**2)
18,2.5638292,((0.54011285 - tanh(f4)) * square((-13.679217 - (f8 * -0.29285944)) * f0)) + square(f2 + -0.17359954),0.0006854971004382985,(f0**2*(-(-0.29285944)*f8 - 13.679217)**2)*(0.54011285 - tanh(f4)) + (f2 - 0.17359954)**2,PySRFunction(X=>(f0**2*(-(-0.29285944)*f8 - 13.679217)**2)*(0.54011285 - tanh(f4)) + (f2 - 0.17359954)**2)
19,2.5428526,square(f2) + square(f0 + ((f3 - (((f4 + f0) * -3.0499098) + 3.892982)) - (f8 * -0.099886246))),0.008215400450705316,f2**2 + (f0 + f3 - (-0.099886246)*f8 - (3.892982 + (f0 + f4)*(-3.0499098)))**2,PySRFunction(X=>f2**2 + (f0 + f3 - (-0.099886246)*f8 - (3.892982 + (f0 + f4)*(-3.0499098)))**2)
21,2.4626503,(square(f2) + square(f0 + ((f3 - (((f4 + f0) * -3.6946166) + 4.6757016)) - (f8 * -0.12081264)))) * 0.6625557,0.016024196994883416,(f2**2 + (f0 + f3 - (-0.12081264)*f8 - (4.6757016 + (f0 + f4)*(-3.6946166)))**2)*0.6625557,PySRFunction(X=>(f2**2 + (f0 + f3 - (-0.12081264)*f8 - (4.6757016 + (f0 + f4)*(-3.6946166)))**2)*0.6625557)
22,2.43955,cube(f7) + (square((f8 * -0.089809105) - ((f3 + f0) - (((f0 + f4) * -3.0415783) + 3.4824164))) + square(f2)),0.009424531667515411,f2**2 + f7**3 + (f8*(-0.089809105) - (f0 + f3 - (3.4824164 + (f0 + f4)*(-3.0415783))))**2,PySRFunction(X=>f2**2 + f7**3 + (f8*(-0.089809105) - (f0 + f3 - (3.4824164 + (f0 + f4)*(-3.0415783))))**2)
23,2.4345856,square((f3 + (f0 - (((f0 + f4) * -2.8968523) + 2.626177))) - ((f8 * -0.08221051) + f7)) + square(f2 + -0.34802648),0.00203703882044614,(f2 - 0.34802648)**2 + (f0 + f3 - (2.626177 + (f0 + f4)*(-2.8968523)) - (f7 + f8*(-0.08221051)))**2,PySRFunction(X=>(f2 - 0.34802648)**2 + (f0 + f3 - (2.626177 + (f0 + f4)*(-2.8968523)) - (f7 + f8*(-0.08221051)))**2)
