complexity,loss,equation,score,sympy_format,lambda_format
1,1.2430232,9.599762,0.0,9.59976200000000,PySRFunction(X=>9.59976200000000)
3,1.0999558,f9 + 8.352628,0.06113823984844064,f9 + 8.352628,PySRFunction(X=>f9 + 8.352628)
4,1.0344818,square(f5 + 2.7589839),0.06136937217024683,(f5 + 2.7589839)**2,PySRFunction(X=>(f5 + 2.7589839)**2)
5,0.9605312,9.789562 - (f4 / f5),0.07416943922794664,9.789562 - f4/f5,PySRFunction(X=>9.789562 - f4/f5)
6,0.95932406,11.213146 - cube(f4 + 1.1096289),0.001257532465316944,11.213146 - (f4 + 1.1096289)**3,PySRFunction(X=>11.213146 - (f4 + 1.1096289)**3)
7,0.86051524,((-0.358423 - f4) / f5) + 10.929773,0.10869760616934349,10.929773 + (-f4 - 0.358423)/f5,PySRFunction(X=>10.929773 + (-f4 - 0.358423)/f5)
8,0.85712904,(9.790348 - cube(f4 + 1.0649078)) + f9,0.003942847103165301,f9 - (f4 + 1.0649078)**3 + 9.790348,PySRFunction(X=>f9 - (f4 + 1.0649078)**3 + 9.790348)
9,0.76563156,f9 + (((f8 - f4) / f0) + 8.880138),0.11288741716529953,f9 + 8.880138 + (-f4 + f8)/f0,PySRFunction(X=>f9 + 8.880138 + (-f4 + f8)/f0)
10,0.76494807,(((f8 - f4) / tanh(f0)) + 8.9103155) + f9,0.0008931126901671606,f9 + (-f4 + f8)/tanh(f0) + 8.9103155,PySRFunction(X=>f9 + (-f4 + f8)/tanh(f0) + 8.9103155)
11,0.7302837,f9 + ((((f0 + f8) - f4) / 0.2825453) + 7.7065907),0.04637486038719234,f9 + (f0 - f4 + f8)/0.2825453 + 7.7065907,PySRFunction(X=>f9 + (f0 - f4 + f8)/0.2825453 + 7.7065907)
12,0.70165175,f9 + (tanh(((f0 + f8) - f4) / 0.146144) + 7.7346864),0.039995890467256094,f9 + tanh((f0 - f4 + f8)/0.146144) + 7.7346864,PySRFunction(X=>f9 + tanh((f0 - f4 + f8)/0.146144) + 7.7346864)
13,0.68604094,(tanh(cube(((f0 - f4) + f8) / 0.12953855)) + 7.707542) + f9,0.022499893069596735,f9 + tanh(460.047744381736*(f0 - f4 + f8)**3) + 7.707542,PySRFunction(X=>f9 + tanh(460.047744381736*(f0 - f4 + f8)**3) + 7.707542)
15,0.67752045,f9 + (7.731542 + tanh(cube(((f0 + f8) - f4) / 0.12816425) - f11)),0.006248784222640022,f9 + tanh(-f11 + 475.006222342397*(f0 - f4 + f8)**3) + 7.731542,PySRFunction(X=>f9 + tanh(-f11 + 475.006222342397*(f0 - f4 + f8)**3) + 7.731542)
16,0.6640262,f9 + ((f0 + (8.806493 - cube((f4 / f0) - -0.37028053))) - (f8 * -3.4616125)),0.02011813027083877,f0 - (-3.4616125)*f8 + f9 - (-1*(-0.37028053) + f4/f0)**3 + 8.806493,PySRFunction(X=>f0 - (-3.4616125)*f8 + f9 - (-1*(-0.37028053) + f4/f0)**3 + 8.806493)
17,0.6556715,7.834297 - ((((-3.1843185 - (f4 * f1)) * (f8 - f4)) - f9) - (3.099153 * f0)),0.012661705203613668,7.834297 - (-3.099153*f0 - f9 + (-f4 + f8)*(-f1*f4 - 3.1843185)),PySRFunction(X=>7.834297 - (-3.099153*f0 - f9 + (-f4 + f8)*(-f1*f4 - 3.1843185)))
18,0.6367656,((f0 * 2.8639662) - (f8 * -4.458166)) + ((8.2060795 - cube((f4 / f0) - -0.3464895)) + f9),0.029258288355173166,f0*2.8639662 - (-4.458166)*f8 + f9 - (-1*(-0.3464895) + f4/f0)**3 + 8.2060795,PySRFunction(X=>f0*2.8639662 - (-4.458166)*f8 + f9 - (-1*(-0.3464895) + f4/f0)**3 + 8.2060795)
19,0.61749923,7.8719354 - ((((f8 - f4) * (-3.2610197 - ((f7 + 0.18593523) * f1))) - f9) - (f0 * 3.2356772)),0.030723791432740614,7.8719354 - (-3.2356772*f0 - f9 + (-f4 + f8)*(-f1*(f7 + 0.18593523) - 3.2610197)),PySRFunction(X=>7.8719354 - (-3.2356772*f0 - f9 + (-f4 + f8)*(-f1*(f7 + 0.18593523) - 3.2610197)))
21,0.59384483,(9.001141 - ((-3.9101062 - ((f6 + 0.21351086) * f1)) * (f8 - f4))) - (((f9 + f7) * f0) * -3.1713176),0.019529882628801554,-(-3.1713176)*f0*(f7 + f9) - (-f4 + f8)*(-f1*(f6 + 0.21351086) - 3.9101062) + 9.001141,PySRFunction(X=>-(-3.1713176)*f0*(f7 + f9) - (-f4 + f8)*(-f1*(f6 + 0.21351086) - 3.9101062) + 9.001141)
23,0.5784508,7.90307 - ((((-3.1809866 - ((f6 - -0.13164647) * f1)) * (f8 - f4)) + (-0.9437151 - (f0 * 2.9000716))) * (f4 + f9)),0.013132280399968659,7.90307 - (f4 + f9)*(-2.9000716*f0 + (-f4 + f8)*(-f1*(f6 - 1*(-0.13164647)) - 3.1809866) - 0.9437151),PySRFunction(X=>7.90307 - (f4 + f9)*(-2.9000716*f0 + (-f4 + f8)*(-f1*(f6 - 1*(-0.13164647)) - 3.1809866) - 0.9437151))
