complexity,loss,equation,score,sympy_format,lambda_format
1,2.18835,9.444576,0.0,9.44457600000000,PySRFunction(X=>9.44457600000000)
3,2.0885963,f1 + 9.475878,0.023327810831864224,f1 + 9.475878,PySRFunction(X=>f1 + 9.475878)
4,1.9889615,10.21706 - tanh(f4),0.048879570316185006,10.21706 - tanh(f4),PySRFunction(X=>10.21706 - tanh(f4))
5,1.842968,(2.9143832 / f9) + 8.449592,0.0762353276821325,8.449592 + 2.9143832/f9,PySRFunction(X=>8.449592 + 2.9143832/f9)
6,1.7163655,9.933997 - tanh(f2 + f9),0.07116834181835167,9.933997 - tanh(f2 + f9),PySRFunction(X=>9.933997 - tanh(f2 + f9))
7,1.6223487,10.999083 - ((f11 + f9) * 0.40724555),0.056334059631154614,10.999083 - 0.40724555*(f11 + f9),PySRFunction(X=>10.999083 - 0.40724555*(f11 + f9))
8,1.5922624,(11.002378 - tanh(f11)) + (f9 * -0.41757342),0.0187190161315333,f9*(-0.41757342) - tanh(f11) + 11.002378,PySRFunction(X=>f9*(-0.41757342) - tanh(f11) + 11.002378)
9,1.5756242,(((f2 + f9) + f11) * -0.43118837) + 10.102888,0.010504386735898806,10.102888 + (f11 + f2 + f9)*(-0.43118837),PySRFunction(X=>10.102888 + (f11 + f2 + f9)*(-0.43118837))
10,1.494482,((1.0994236 / (f2 / f9)) + 11.229288) - tanh(f11),0.052871852717495574,-tanh(f11) + 11.229288 + 1.0994236/((f2/f9)),PySRFunction(X=>-tanh(f11) + 11.229288 + 1.0994236/((f2/f9)))
11,1.3539379,tanh((f9 + f2) * -90.24805) + (9.910576 - tanh(f11)),0.09876234917545554,-tanh(f11) + tanh((f2 + f9)*(-90.24805)) + 9.910576,PySRFunction(X=>-tanh(f11) + tanh((f2 + f9)*(-90.24805)) + 9.910576)
12,1.3344622,tanh((f2 + f9) * -90.37493) + (9.895981 - tanh(cube(f11))),0.01448894508610268,-tanh(f11**3) + tanh((f2 + f9)*(-90.37493)) + 9.895981,PySRFunction(X=>-tanh(f11**3) + tanh((f2 + f9)*(-90.37493)) + 9.895981)
13,1.3077158,(10.021686 - tanh(f11)) + (0.8060833 / tanh(f2 / (f2 + f9))),0.020246413106640406,-tanh(f11) + 10.021686 + 0.8060833/tanh(f2/(f2 + f9)),PySRFunction(X=>-tanh(f11) + 10.021686 + 0.8060833/tanh(f2/(f2 + f9)))
14,1.2997115,(f1 - tanh(cube(f11))) + (tanh((f9 + f2) * -88.15605) + 9.92722),0.006139634377200245,f1 - tanh(f11**3) + tanh((f2 + f9)*(-88.15605)) + 9.92722,PySRFunction(X=>f1 - tanh(f11**3) + tanh((f2 + f9)*(-88.15605)) + 9.92722)
15,1.276316,(f4 * f1) + ((tanh((f2 + f9) * -88.28944) + 10.022435) - tanh(f11)),0.01816451359650625,f1*f4 - tanh(f11) + tanh((f2 + f9)*(-88.28944)) + 10.022435,PySRFunction(X=>f1*f4 - tanh(f11) + tanh((f2 + f9)*(-88.28944)) + 10.022435)
16,1.2502724,(((f1 * f4) + 10.009092) - tanh(cube(f11))) + tanh(-94.51225 * (f9 + f2)),0.020616355592396107,f1*f4 - tanh(f11**3) + tanh(-94.51225*(f2 + f9)) + 10.009092,PySRFunction(X=>f1*f4 - tanh(f11**3) + tanh(-94.51225*(f2 + f9)) + 10.009092)
17,1.19046,(tanh((f9 * f0) + ((f2 + 1.9697777) / -0.036571536)) + 9.162354) - tanh(f2 + f9),0.04902166052079871,-tanh(f2 + f9) + tanh(f0*f9 + (f2 + 1.9697777)/(-0.036571536)) + 9.162354,PySRFunction(X=>-tanh(f2 + f9) + tanh(f0*f9 + (f2 + 1.9697777)/(-0.036571536)) + 9.162354)
18,1.1299235,((tanh((f9 + f2) / -0.011278524) + 8.975236) - tanh(f11)) + tanh((f2 + 1.9881207) / -0.00025473908),0.052189855734780514,-tanh(f11) + tanh((f2 + 1.9881207)/(-0.00025473908)) + tanh((f2 + f9)/(-0.011278524)) + 8.975236,PySRFunction(X=>-tanh(f11) + tanh((f2 + 1.9881207)/(-0.00025473908)) + tanh((f2 + f9)/(-0.011278524)) + 8.975236)
19,1.1129783,(tanh((f2 + 2.0010383) / -0.005846873) + (tanh((f2 + f9) / -0.009454082) + 8.955197)) - tanh(cube(f11)),0.015110356069520854,-tanh(f11**3) + tanh((f2 + 2.0010383)/(-0.005846873)) + tanh((f2 + f9)/(-0.009454082)) + 8.955197,PySRFunction(X=>-tanh(f11**3) + tanh((f2 + 2.0010383)/(-0.005846873)) + tanh((f2 + f9)/(-0.009454082)) + 8.955197)
20,1.0488073,((9.083374 + tanh(f0 + ((f2 + 1.9595512) / -0.08603356))) - tanh(f11)) + tanh((f2 + f9) / -0.0108877225),0.059385961469244034,-tanh(f11) + tanh((f2 + f9)/(-0.0108877225)) + tanh(f0 + (f2 + 1.9595512)/(-0.08603356)) + 9.083374,PySRFunction(X=>-tanh(f11) + tanh((f2 + f9)/(-0.0108877225)) + tanh(f0 + (f2 + 1.9595512)/(-0.08603356)) + 9.083374)
21,1.0426447,(tanh((f2 + f9) / -0.010919382) + (tanh(((f2 + 1.9561483) / -0.08575613) + f0) - tanh(cube(f11)))) + 9.049088,0.005893147760661412,-tanh(f11**3) + tanh((f2 + f9)/(-0.010919382)) + tanh(f0 + (f2 + 1.9561483)/(-0.08575613)) + 9.049088,PySRFunction(X=>-tanh(f11**3) + tanh((f2 + f9)/(-0.010919382)) + tanh(f0 + (f2 + 1.9561483)/(-0.08575613)) + 9.049088)
