complexity,loss,equation,score,sympy_format,lambda_format
1,2.1677053,8.666434,0.0,8.66643400000000,PySRFunction(X=>8.66643400000000)
3,2.018619,f6 + 8.306746,0.03562776418055891,f6 + 8.306746,PySRFunction(X=>f6 + 8.306746)
4,1.8085325,square(f6 + 2.5800972),0.10989787129991932,(f6 + 2.5800972)**2,PySRFunction(X=>(f6 + 2.5800972)**2)
5,1.7524661,square(tanh(f6) + 2.6024904),0.03149174699755462,(tanh(f6) + 2.6024904)**2,PySRFunction(X=>(tanh(f6) + 2.6024904)**2)
6,1.5605192,square((f6 * f9) + 2.6218278),0.11600540954313017,(f6*f9 + 2.6218278)**2,PySRFunction(X=>(f6*f9 + 2.6218278)**2)
7,1.3828807,(f6 * (f10 / 6.264322)) + 7.002552,0.12084979918976183,f10*f6/6.264322 + 7.002552,PySRFunction(X=>f10*f6/6.264322 + 7.002552)
9,1.3313999,cube(f6 + tanh(f10 / 17.121635)) + 6.6828113,0.01896892106824387,(f6 + tanh(f10/17.121635))**3 + 6.6828113,PySRFunction(X=>(f6 + tanh(f10/17.121635))**3 + 6.6828113)
11,1.2251881,((1.3735374 / f8) + ((f6 * f10) / 6.4786363)) + 5.928405,0.04156828092310415,f10*f6/6.4786363 + 5.928405 + 1.3735374/f8,PySRFunction(X=>f10*f6/6.4786363 + 5.928405 + 1.3735374/f8)
13,1.1489741,((1.530738 / f8) + 5.680675) + (f6 * (f4 + (f10 / 7.5802255))),0.03211246297854215,f6*(f10/7.5802255 + f4) + 5.680675 + 1.530738/f8,PySRFunction(X=>f6*(f10/7.5802255 + f4) + 5.680675 + 1.530738/f8)
14,1.1228464,((f6 - tanh(f3 + ((f10 * -0.027728308) / f8))) + 1.1267133) * 4.1644707,0.02300256736225455,(f6 - tanh(f10*(-0.027728308)/f8 + f3) + 1.1267133)*4.1644707,PySRFunction(X=>(f6 - tanh(f10*(-0.027728308)/f8 + f3) + 1.1267133)*4.1644707)
15,1.0727395,((((f6 * f10) / 6.749701) + (1.6604948 / f8)) - f0) + (7.0437655 - f3),0.04565123299663522,-f0 + f10*f6/6.749701 - f3 + 7.0437655 + 1.6604948/f8,PySRFunction(X=>-f0 + f10*f6/6.749701 - f3 + 7.0437655 + 1.6604948/f8)
17,1.0294125,(((f6 * f10) / 6.5554605) + 6.8437552) + ((((1.7310356 / f8) - f3) - f0) - f3),0.020613702877330765,-f0 + f10*f6/6.5554605 - f3 - f3 + 6.8437552 + 1.7310356/f8,PySRFunction(X=>-f0 + f10*f6/6.5554605 - f3 - f3 + 6.8437552 + 1.7310356/f8)
19,1.0155871,(((((f6 * f10) / 6.554744) + (1.7262052 / f8)) + 6.8447876) - ((f3 + f3) * f1)) - f0,0.006760691121058396,-f0 - f1*(f3 + f3) + f10*f6/6.554744 + 6.8447876 + 1.7262052/f8,PySRFunction(X=>-f0 - f1*(f3 + f3) + f10*f6/6.554744 + 6.8447876 + 1.7262052/f8)
20,1.012655,(3.71519 * (f6 + ((0.402299 - f3) + ((0.57371354 / f8) - tanh((-0.050390773 * f10) / f0))))) + f1,0.002891274214814579,f1 + 3.71519*(-f3 + f6 - tanh(-0.050390773*f10/f0) + 0.402299 + 0.57371354/f8),PySRFunction(X=>f1 + 3.71519*(-f3 + f6 - tanh(-0.050390773*f10/f0) + 0.402299 + 0.57371354/f8))
21,0.9795611,(((((0.42313585 - f3) + f6) + (0.6158169 / f8)) - tanh((f10 * -0.08277235) / cube(f0))) * 3.6556647) + f1,0.03322625948012015,f1 + (-f3 + f6 - tanh(f10*(-0.08277235)/f0**3) + 0.42313585 + 0.6158169/f8)*3.6556647,PySRFunction(X=>f1 + (-f3 + f6 - tanh(f10*(-0.08277235)/f0**3) + 0.42313585 + 0.6158169/f8)*3.6556647)
