complexity,loss,equation,score,sympy_format,lambda_format
1,10.695917,6.3849373,0.0,6.38493730000000,PySRFunction(X=>6.38493730000000)
3,8.555698,2.2493863 / f1,0.11163229306488606,2.2493863/f1,PySRFunction(X=>2.2493863/f1)
5,7.9282756,(2.3767736 / f1) - f3,0.03808096722012514,-f3 + 2.3767736/f1,PySRFunction(X=>-f3 + 2.3767736/f1)
7,7.7406464,(2.241175 / f1) - (f3 + f7),0.011975180481430085,-(f3 + f7) + 2.241175/f1,PySRFunction(X=>-(f3 + f7) + 2.241175/f1)
8,7.515345,(f1 * -22.435368) + square(f7 - 3.4133427),0.029538267991582323,f1*(-22.435368) + (f7 - 1*3.4133427)**2,PySRFunction(X=>f1*(-22.435368) + (f7 - 1*3.4133427)**2)
10,7.105993,square(((f1 * -4.6391115) - f7) + 3.8729558) - f3,0.028004208909750215,-f3 + (f1*(-4.6391115) - f7 + 3.8729558)**2,PySRFunction(X=>-f3 + (f1*(-4.6391115) - f7 + 3.8729558)**2)
12,7.0446033,(-5.732919 - f3) + cube((f1 * (-1.901703 - f7)) + 2.8611412),0.004338339094716378,-f3 + (f1*(-f7 - 1.901703) + 2.8611412)**3 - 5.732919,PySRFunction(X=>-f3 + (f1*(-f7 - 1.901703) + 2.8611412)**3 - 5.732919)
14,6.9690948,(cube(((-2.0668373 - f7) * f1) + 2.776543) - (f3 / f6)) + -3.5959806,0.00538824443129405,-f3/f6 + (f1*(-f7 - 2.0668373) + 2.776543)**3 - 3.5959806,PySRFunction(X=>-f3/f6 + (f1*(-f7 - 2.0668373) + 2.776543)**3 - 3.5959806)
15,6.9439073,(cube((f1 * -3.1018102) + 2.7881963) - cube((f10 + -1.2062279) + f7)) - f3,0.003620717848736993,-f3 + (2.7881963 + f1*(-3.1018102))**3 - (f10 + f7 - 1.2062279)**3,PySRFunction(X=>-f3 + (2.7881963 + f1*(-3.1018102))**3 - (f10 + f7 - 1.2062279)**3)
16,6.9369287,((-0.9222289 + cube(((-2.2828057 - f7) * f1) + 2.6823983)) - (f3 / f6)) - f10,0.0010055014824707123,-f10 - f3/f6 + (f1*(-f7 - 2.2828057) + 2.6823983)**3 - 0.9222289,PySRFunction(X=>-f10 - f3/f6 + (f1*(-f7 - 2.2828057) + 2.6823983)**3 - 0.9222289)
17,6.796641,cube((f1 * (-2.2828057 - cube(f7))) + 2.6823983) - (f3 / (f6 + (f5 * -0.41225144))),0.020430606581930657,-f3/(f5*(-0.41225144) + f6) + (f1*(-f7**3 - 2.2828057) + 2.6823983)**3,PySRFunction(X=>-f3/(f5*(-0.41225144) + f6) + (f1*(-f7**3 - 2.2828057) + 2.6823983)**3)
18,6.760876,(cube(2.6823983 + (f1 * (-2.2828057 - f7))) - (f3 / (f6 + (-0.411973 * f5)))) - 1.1278733,0.005276052091987491,-f3/(-0.411973*f5 + f6) + (f1*(-f7 - 2.2828057) + 2.6823983)**3 - 1*1.1278733,PySRFunction(X=>-f3/(-0.411973*f5 + f6) + (f1*(-f7 - 2.2828057) + 2.6823983)**3 - 1*1.1278733)
19,6.6664276,(f2 * -0.22847755) + (cube(2.6837137 + (f1 * -2.9762766)) - (f3 + cube((f7 + f10) + -1.5190841))),0.01406834321527886,f2*(-0.22847755) + (2.6837137 + f1*(-2.9762766))**3 - (f3 + (f10 + f7 - 1.5190841)**3),PySRFunction(X=>f2*(-0.22847755) + (2.6837137 + f1*(-2.9762766))**3 - (f3 + (f10 + f7 - 1.5190841)**3))
20,6.6487374,((cube(2.6823983 + (f1 * (-2.2828057 - f7))) - (f3 / (f6 + (-0.411973 * f5)))) - 1.1278733) - f10,0.0026571522633640817,-f10 - f3/(-0.411973*f5 + f6) + (f1*(-f7 - 2.2828057) + 2.6823983)**3 - 1*1.1278733,PySRFunction(X=>-f10 - f3/(-0.411973*f5 + f6) + (f1*(-f7 - 2.2828057) + 2.6823983)**3 - 1*1.1278733)
21,6.539346,cube((f1 * -3.0079532) + 2.759522) - ((f3 / (f6 + (f5 * -0.41073763))) + cube((f7 + f10) + -1.1858244)),0.016589811510758,(2.759522 + f1*(-3.0079532))**3 - (f3/(f5*(-0.41073763) + f6) + (f10 + f7 - 1.1858244)**3),PySRFunction(X=>(2.759522 + f1*(-3.0079532))**3 - (f3/(f5*(-0.41073763) + f6) + (f10 + f7 - 1.1858244)**3))
23,6.496668,(cube((f1 * -2.3376186) + 2.7951243) + -2.9817398) - ((f3 / (f6 + (f5 * -0.41068235))) + cube((f10 + f7) + -1.2491425)),0.003273865191991131,(2.7951243 + f1*(-2.3376186))**3 - (f3/(f5*(-0.41068235) + f6) + (f10 + f7 - 1.2491425)**3) - 2.9817398,PySRFunction(X=>(2.7951243 + f1*(-2.3376186))**3 - (f3/(f5*(-0.41068235) + f6) + (f10 + f7 - 1.2491425)**3) - 2.9817398)
25,6.2702856,(f2 * -0.22551203) + (cube((f1 * -2.8583674) + 2.6521912) - (cube((f7 + -1.4981265) + f10) + (f3 / ((f5 * -0.41008303) + f6)))),0.017733763119054245,f2*(-0.22551203) + (2.6521912 + f1*(-2.8583674))**3 - (f3/(f5*(-0.41008303) + f6) + (f10 + f7 - 1.4981265)**3),PySRFunction(X=>f2*(-0.22551203) + (2.6521912 + f1*(-2.8583674))**3 - (f3/(f5*(-0.41008303) + f6) + (f10 + f7 - 1.4981265)**3))
27,6.240185,((cube((f1 * -2.7366424) + 2.6261344) + (f5 - cube((f7 + -1.5022686) + f10))) + (f2 * -0.23601586)) - (f3 / (f6 + (f5 * -0.41225144))),0.0024060372344629367,f2*(-0.23601586) - f3/(f5*(-0.41225144) + f6) + f5 + (2.6261344 + f1*(-2.7366424))**3 - (f10 + f7 - 1.5022686)**3,PySRFunction(X=>f2*(-0.23601586) - f3/(f5*(-0.41225144) + f6) + f5 + (2.6261344 + f1*(-2.7366424))**3 - (f10 + f7 - 1.5022686)**3)
28,6.2395787,cube((f1 * -2.7433338) + 2.627259) + ((f2 * -0.23604985) - ((f3 / ((f5 * -0.41176188) + f6)) + (cube(f10 + (f7 + -1.5027019)) - tanh(f5)))),9.716530137142652e-05,f2*(-0.23604985) + (2.627259 + f1*(-2.7433338))**3 - (f3/(f5*(-0.41176188) + f6) + (f10 + f7 - 1.5027019)**3 - tanh(f5)),PySRFunction(X=>f2*(-0.23604985) + (2.627259 + f1*(-2.7433338))**3 - (f3/(f5*(-0.41176188) + f6) + (f10 + f7 - 1.5027019)**3 - tanh(f5)))
