,importance
MaxAbsPartialCharge,334.0
MinAbsPartialCharge,291.0
BCUT2D_MRLOW,284.0
SlogP_VSA2,275.0
PEOE_VSA13,254.0
ATSC7Z,237.0
MinAbsEStateIndex,235.0
GATS1s,231.0
ATSC6Z,221.0
AATSC2se,184.0
TopoPSA,182.0
ATSC4se,170.0
ATSC3i,168.0
PEOE_VSA11,167.0
PEOE_VSA9,162.0
MATS2s,162.0
PEOE_VSA8,160.0
ATSC3are,154.0
ATSC4i,149.0
BCUTd-1l,145.0
BCUT2D_MWHI,144.0
AETA_beta,144.0
ATSC6d,142.0
MinEStateIndex,140.0
VSA_EState4,139.0
ATSC6se,138.0
ATSC6p,137.0
ATSC5s,137.0
ATSC4s,136.0
BCUTse-1h,136.0
BCUTs-1l,136.0
ATSC5m,135.0
ATSC5i,134.0
ATSC4v,133.0
AETA_eta_FL,133.0
ATSC5dv,132.0
ATSC4m,130.0
VSA_EState3,129.0
GATS1m,129.0
ATSC4p,129.0
SpMAD_Dzp,126.0
ATSC5se,123.0
GATS2dv,122.0
ATSC5v,122.0
SlogP_VSA1,121.0
BCUTdv-1h,120.0
GATS1se,120.0
ATSC6dv,119.0
BCUT2D_LOGPLOW,118.0
qed,116.0
PEOE_VSA7,116.0
VSA_EState5,116.0
GATS1dv,115.0
ATSC6i,114.0
ATSC4dv,112.0
AETA_eta,111.0
AETA_dBeta,110.0
JGI4,108.0
MATS2dv,108.0
MATS1s,108.0
AATSC2s,107.0
BCUT2D_MRHI,107.0
GATS2se,105.0
ATSC5p,105.0
ATSC5d,105.0
ETA_dEpsilon_D,105.0
ATSC3s,104.0
SsNH2,104.0
ATSC3d,103.0
ATSC3p,103.0
BCUTi-1h,101.0
GATS2s,100.0
MATS2se,100.0
ATSC3v,99.0
BCUTs-1h,98.0
PEOE_VSA1,97.0
ATSC6v,95.0
PEOE_VSA10,95.0
GATS2Z,94.0
ATSC2s,94.0
EState_VSA3,93.0
BIC3,91.0
ATSC3m,90.0
GATS1are,89.0
EState_VSA5,88.0
FpDensityMorgan3,86.0
ATSC2dv,85.0
EState_VSA6,83.0
ATSC8s,83.0
ATSC3dv,83.0
MaxEStateIndex,83.0
ATSC6s,82.0
ATSC4d,82.0
ATSC7dv,82.0
AATSC1s,82.0
ETA_epsilon_5,81.0
VSA_EState2,80.0
SlogP_VSA10,80.0
