top_k,complexity,edge_count,fold,val_r2
8,38,16,0,0.3856961432735777
8,19,12,0,0.3847928329631427
8,22,11,0,0.374410729660849
8,39,19,0,0.3776523664426591
8,39,13,0,0.3813892336877205
8,15,10,0,0.38138882882047465
8,27,13,0,0.3658067532275091
8,29,16,0,0.3808274039671674
8,30,15,0,0.4063631770451124
8,37,12,0,0.3898920081364725
8,43,20,1,0.42584512481354664
8,41,20,1,0.37088588070829265
8,52,21,1,0.4216998324510064
8,34,15,1,0.42791253288605
8,18,12,1,0.3721562986148699
8,33,20,1,0.4310420710795496
8,51,20,1,0.42008515778828237
8,31,14,1,0.4094414398035957
8,26,12,1,0.4045635243625266
8,23,12,1,0.3977415053876089
8,49,25,2,0.5049225469650063
8,27,13,2,0.47778928785564556
8,32,11,2,0.4875900266477141
8,34,17,2,0.45136086183849244
8,25,11,2,0.4733495073649221
8,26,12,2,0.48286798596823965
8,24,9,2,0.4578296358425211
8,41,20,2,0.46932215130241905
8,22,9,2,0.4664505786203825
8,15,8,2,0.45183873026702015
8,29,15,3,0.4050822245515068
8,30,12,3,0.4607142803762476
8,21,13,3,0.4358874814553878
8,27,13,3,0.4005649642423619
8,35,19,3,0.45354960437199365
8,29,16,3,0.4659846124746472
8,20,9,3,0.4400297388060448
8,26,10,3,0.42403764928891996
8,32,11,3,0.46991940206323546
8,27,15,3,0.39226302104298605
12,22,9,0,0.37720655218773125
12,29,12,0,0.36337891932389554
12,42,20,0,0.4391486992949539
12,26,9,0,0.38493734014968317
12,23,10,0,0.3836074773109869
12,23,13,0,0.38355755670143765
12,39,15,0,0.3538127483260137
12,21,7,0,0.35017764269913276
12,27,12,0,0.40473251202270066
12,23,10,0,0.40627732569094166
12,33,14,1,0.4055270631500947
12,29,15,1,0.4109992267362439
12,34,14,1,0.40310197041300955
12,20,9,1,0.4302552179823279
12,24,11,1,0.39455433850696287
12,25,10,1,0.4095357249812601
12,42,22,1,0.4457782189488041
12,24,10,1,0.3739120918874864
12,25,11,1,0.40698121191041026
12,22,10,1,0.4006112547485834
12,49,23,2,0.5173601657059741
12,23,10,2,0.45374716235910084
12,31,15,2,0.48381312269495313
12,37,21,2,0.47655185319223825
12,27,9,2,0.4796620264845607
12,54,23,2,0.49817292993208184
12,19,12,2,0.4625702839986664
12,21,9,2,0.4717332816232108
12,31,12,2,0.47141199110404597
12,33,15,2,0.490352321908359
12,47,25,3,0.46641198945842544
12,25,9,3,0.42440514085580283
12,20,9,3,0.43819763698748926
12,28,15,3,0.45634227297930585
12,42,16,3,0.43702329114775407
12,21,9,3,0.42708528844461224
12,37,21,3,0.46768631240067593
12,25,12,3,0.4177539474733981
12,34,18,3,0.4129621942035281
12,45,21,3,0.44423211664545537
20,25,15,0,0.3744001217270796
20,34,20,0,0.3885338004861969
20,20,9,0,0.3381051416412143
20,28,11,0,0.3910840068867324
20,49,21,0,0.3956340055023366
20,47,20,0,0.36370856857650224
20,18,7,0,0.3485455975613335
20,24,11,0,0.3280846243766756
20,30,14,0,0.3432185793928547
20,30,15,0,0.3533324698198681
20,31,16,1,0.4021657825167426
20,21,9,1,0.4063172132404691
20,55,22,1,0.4358997073273668
20,19,7,1,0.3624972272792152
20,33,12,1,0.37359171043828265
20,32,13,1,0.4173460204773807
20,19,8,1,0.3590376095768357
20,23,11,1,0.4046161176673343
20,47,19,1,0.43194319755427923
20,22,11,1,0.4167890879684538
20,33,16,2,0.5012803450131001
20,28,14,2,0.46311122156610707
20,42,21,2,0.4949478431780866
20,32,13,2,0.47170293972860455
20,26,13,2,0.4742843425848102
20,15,8,2,0.46288471127515707
20,20,7,2,0.44957259916910075
20,30,14,2,0.46037851739237545
20,13,8,2,0.4603207523581977
20,35,13,2,0.4372556124465321
20,33,17,3,0.4384261507525239
20,26,12,3,0.43566278881134457
20,38,17,3,0.45403903708627
20,22,9,3,0.4214504576278727
20,21,9,3,0.4267580504152476
20,13,8,3,0.41498203710818293
20,21,9,3,0.39331659000793207
20,22,9,3,0.4302214387828338
20,18,7,3,0.42072621921810205
20,10,6,3,0.37071499278727704
