top_k,complexity,edge_count,fold,val_r2
8,28,11,0,0.34334110118014793
8,57,26,0,0.3539873997347325
8,67,28,0,0.36342507503215693
8,23,9,0,0.3183978843622597
8,29,13,0,0.33761269254163373
8,22,9,0,0.32883723742226134
8,77,24,0,0.3397347548402515
8,46,12,0,0.34279796493513637
8,30,10,0,0.31002154889620737
8,22,11,0,0.3311107426309462
8,65,24,1,0.34620060060496394
8,45,17,1,0.3261361159892354
8,64,25,1,0.33154817795445846
8,43,14,1,0.33513812227855844
8,52,21,1,0.32410447668666253
8,44,21,1,0.3158232376745369
8,31,12,1,0.3220776297993979
8,26,8,1,0.32737750216399264
8,55,16,1,0.34882451882407217
8,46,21,1,0.328864341772125
8,43,13,2,0.3893407268857978
8,41,13,2,0.37095130911120633
8,32,15,2,0.38945163267915706
8,42,21,2,0.4138177746131131
8,52,25,2,0.38796960516993184
8,33,13,2,0.3847786375675045
8,35,12,2,0.39423897064614555
8,53,19,2,0.3834429286369051
8,49,21,2,0.36384876490462403
8,71,27,2,0.389192660672252
8,45,17,3,0.3561707019085628
8,32,13,3,0.3662698553285346
8,37,18,3,0.35161446099002325
8,45,20,3,0.3761950277913335
8,69,29,3,0.375128239462718
8,38,17,3,0.3281169739870886
8,67,25,3,0.4057046697030141
8,38,16,3,0.39312329849954697
8,31,11,3,0.35491022082028456
8,75,26,3,0.37412423809910766
12,60,24,0,0.34726155169796813
12,35,14,0,0.3126526754578507
12,28,9,0,0.3186547009240106
12,24,10,0,0.31447142187777566
12,37,15,0,0.31160146992036464
12,30,15,0,0.3240635810016145
12,44,19,0,0.2966219614372706
12,40,17,0,0.3035321087025272
12,38,11,0,0.33094363396683546
12,25,7,0,0.30440697230658853
12,44,12,1,0.3327289903359535
12,58,22,1,0.31341126066869684
12,26,13,1,0.3436861640837726
12,47,24,1,0.32806512862712867
12,39,15,1,0.33018445598108004
12,61,18,1,0.3448814902929319
12,55,24,1,0.32126322276828734
12,41,18,1,0.34288236079187995
12,47,19,1,0.3428901984495871
12,50,25,1,0.3352388840061832
12,36,13,2,0.3856721101215793
12,57,21,2,0.3752229995607137
12,45,17,2,0.37646489282605544
12,21,9,2,0.3682642610753457
12,36,18,2,0.3475162745468853
12,33,10,2,0.3670782467058671
12,37,11,2,0.3568542617490996
12,31,11,2,0.354922793828107
12,21,10,2,0.34553042974268755
12,60,20,2,0.33847679018880994
12,43,23,3,0.33648622565519726
12,29,9,3,0.3341983914661044
12,34,11,3,0.3660633439605232
12,27,9,3,0.33950781798971086
12,41,16,3,0.3427468245612211
12,62,26,3,0.33256834794215795
12,54,18,3,0.3347459765036458
12,31,15,3,0.3655557421325657
12,47,19,3,0.3743510490255356
12,61,24,3,0.36059714898664064
20,20,7,0,0.3241163883225535
20,32,11,0,0.26836982035629064
20,52,25,0,0.3432608254617566
20,50,24,0,0.345866318695236
20,31,11,0,0.3034093365476819
20,48,19,0,0.33622986195641036
20,41,15,0,0.30684158673642636
20,23,9,0,0.32694576109067075
20,28,12,0,0.29809754185129234
20,45,17,0,0.32368416179611026
20,59,26,1,0.32953053160263257
20,31,11,1,0.3068272573603068
20,30,10,1,0.3188716933927981
20,19,7,1,0.32254527634329067
20,28,13,1,0.29643769588222646
20,41,16,1,0.3078418857806201
20,51,21,1,0.33399816098714985
20,27,9,1,0.2993256989956645
20,24,8,1,0.3059949886242408
20,48,24,1,0.3314433581973468
20,44,20,2,0.39281178105099346
20,33,14,2,0.37825802905045336
20,35,13,2,0.3681654265781755
20,32,11,2,0.3496122835858477
20,54,25,2,0.41045887513910273
20,36,13,2,0.38596766066953425
20,33,9,2,0.3650753701431686
20,45,16,2,0.39211134538269854
20,48,20,2,0.39939994255263833
20,51,19,2,0.38666183794697684
20,42,17,3,0.33779016617756863
20,27,9,3,0.3379365492701375
20,27,9,3,0.3232996918603528
20,57,23,3,0.39089704640841316
20,29,13,3,0.34720071339979053
20,25,10,3,0.338692645004816
20,37,11,3,0.33691288983701695
20,33,15,3,0.33608174631159915
20,27,7,3,0.3673690074930498
20,44,19,3,0.39119841623794704
