top_k,complexity,edge_count,fold,val_r2
8,46,23,0,0.27897929380478115
8,22,9,0,0.34331903123552676
8,11,8,0,0.28860443262163815
8,28,13,0,0.29493251011598387
8,48,20,0,0.345200850035702
8,22,11,0,0.3144599428711916
8,26,12,0,0.32017396260537057
8,19,9,0,0.31083626019226884
8,20,12,0,0.29874628072664444
8,25,12,0,0.3139514314415722
8,21,14,1,0.38087206716112054
8,28,13,1,0.3518244260491473
8,26,16,1,0.36997954596089067
8,34,14,1,0.3781658082539989
8,37,15,1,0.3838558806911895
8,22,14,1,0.3761799446040388
8,48,18,1,0.40023316176829093
8,13,8,1,0.3698873153896559
8,21,11,1,0.3784973796751162
8,68,24,1,0.3929347641049181
8,42,23,2,0.4644778354336123
8,28,15,2,0.4367369900850182
8,45,21,2,0.4262092906726489
8,30,14,2,0.4394034682854807
8,19,9,2,0.4322654224437321
8,42,16,2,0.43966684081927276
8,22,14,2,0.4206562672188132
8,54,24,2,0.4389268204108726
8,28,9,2,0.44049565521363854
8,21,11,2,0.4191072614633198
8,22,9,3,0.2846136863915618
8,40,16,3,0.30706853220232855
8,26,11,3,0.28536471682091025
8,25,11,3,0.3065315868227405
8,20,7,3,0.29759095487125464
8,21,10,3,0.2819714597149361
8,26,7,3,0.26860101467731456
8,19,7,3,0.2782566285442385
8,22,9,3,0.27165532015977245
8,25,14,3,0.2929361516981964
12,25,13,0,0.3489754582835254
12,29,15,0,0.3542680741936661
12,17,12,0,0.33044674399381735
12,17,12,0,0.3501521388084283
12,40,18,0,0.33907241312182823
12,21,9,0,0.3578992459724677
12,30,14,0,0.3459888360505937
12,29,9,0,0.36623335215180286
12,37,17,0,0.33612251918876557
12,32,21,0,0.3412589677013047
12,19,9,1,0.41140154384538474
12,19,9,1,0.41384509376638623
12,47,15,1,0.4483394461626691
12,19,7,1,0.411868259559764
12,22,11,1,0.41819518428545954
12,17,11,1,0.39195619184271147
12,28,15,1,0.3927953720753883
12,36,11,1,0.4046589576473766
12,31,15,1,0.38722822501293885
12,16,12,1,0.3912172071208262
12,23,11,2,0.4739731996204283
12,22,10,2,0.4920834197845867
12,41,23,2,0.49729350508455683
12,44,22,2,0.4851554483371211
12,56,27,2,0.4578343909821201
12,25,16,2,0.4942377676161268
12,29,12,2,0.48113994438945373
12,18,8,2,0.4586045442827458
12,20,7,2,0.4596732661950498
12,24,11,2,0.45696246117960093
12,23,11,3,0.327141930206553
12,22,9,3,0.34334183870108037
12,36,17,3,0.3661215132608737
12,27,12,3,0.3572827776401245
12,33,15,3,0.34738767363496503
12,23,10,3,0.3234252137827168
12,21,9,3,0.3279121500564356
12,30,14,3,0.337498198190068
12,32,15,3,0.35204888470809437
12,33,14,3,0.34367529257748797
20,15,10,0,0.3473710790515607
20,45,16,0,0.33442370731329973
20,19,12,0,0.3263361209463773
20,20,13,0,0.30495424717923625
20,20,12,0,0.31250147657448446
20,17,12,0,0.33169571156803457
20,28,13,0,0.329012608184134
20,35,15,0,0.3200278685187973
20,28,11,0,0.34397151948686455
20,51,18,0,0.35182045691756836
20,27,11,1,0.4212322907548246
20,22,12,1,0.41956205614246045
20,24,11,1,0.40397742529968295
20,40,13,1,0.43379537524892875
20,41,25,1,0.38009858212239533
20,28,13,1,0.3917832397112604
20,21,9,1,0.41277255513243427
20,30,19,1,0.3841131370158336
20,26,12,1,0.3873811738591927
20,27,11,1,0.40330647376658735
20,45,21,2,0.4921028947676228
20,33,16,2,0.45770874681792173
20,40,21,2,0.47689342451668293
20,15,10,2,0.4353857620095508
20,37,20,2,0.4574957524706921
20,24,11,2,0.44827206093775795
20,22,9,2,0.46118016800533557
20,37,13,2,0.46061235106889453
20,32,13,2,0.4526679512566175
20,24,11,2,0.4562715625410575
20,20,8,3,0.33725736243132365
20,49,16,3,0.3665701640222784
20,23,9,3,0.36392325657894875
20,24,11,3,0.3468166964083844
20,29,14,3,0.34314103260021755
20,17,7,3,0.3260656144391295
20,19,7,3,0.3349079524718229
20,28,10,3,0.3470856193392069
20,22,14,3,0.36490351939652366
20,14,8,3,0.3455064476356393
