top_k,complexity,edge_count,fold,val_r2
8,39,17,0,0.2571505877483302
8,30,9,0,0.22083633225720833
8,22,9,0,0.24181394252029365
8,40,12,0,0.244900473306775
8,30,10,0,0.23945074180189774
8,23,11,0,0.2236123378095224
8,18,8,0,0.22500754716549154
8,31,16,0,0.23049746443204766
8,29,13,0,0.2283595051104358
8,31,17,0,0.2227360287911282
8,35,17,1,0.2652374524546246
8,33,13,1,0.27936759947177126
8,35,12,1,0.2584305839976847
8,22,13,1,0.2711741415340877
8,44,18,1,0.27335935605606654
8,28,9,1,0.28435110241749983
8,26,11,1,0.29407954179980667
8,25,13,1,0.27225640606573875
8,37,13,1,0.2920312350722245
8,21,10,1,0.26698101460444
8,26,14,2,0.3202995686225196
8,58,25,2,0.32302203309729394
8,17,10,2,0.31356577368522176
8,23,9,2,0.3237257367713652
8,24,11,2,0.31026101571396225
8,38,17,2,0.30471369078805566
8,49,26,2,0.3508166771389799
8,22,8,2,0.28291849472218433
8,41,20,2,0.3097027093881072
8,19,11,2,0.2920841783133755
8,21,9,3,0.2567764923195086
8,24,12,3,0.26432832522207883
8,17,7,3,0.2643108391875333
8,18,8,3,0.26312372233506254
8,17,7,3,0.26269647521457173
8,23,9,3,0.24365613476259418
8,19,9,3,0.2635872271605384
8,17,7,3,0.2595356857904316
8,22,9,3,0.2522831070196184
8,24,11,3,0.2681109109277483
12,17,7,0,0.2194489498611294
12,17,7,0,0.22055653960262034
12,21,17,0,0.2179660092558825
12,29,10,0,0.21912749984510194
12,22,9,0,0.217046356268761
12,27,10,0,0.22155850861483062
12,29,16,0,0.24305681261743806
12,24,8,0,0.23039307039419044
12,13,8,0,0.22525379717124316
12,27,10,0,0.2140662120031499
12,28,14,1,0.29018849852675654
12,21,9,1,0.2627084246228417
12,17,11,1,0.2576080107840959
12,27,17,1,0.28520266768869684
12,20,9,1,0.2588567258667438
12,20,7,1,0.2627547561273479
12,38,11,1,0.28183771409654734
12,26,9,1,0.2769866915323329
12,29,16,1,0.24965562959391363
12,27,9,1,0.27289368197073716
12,17,7,2,0.2980916035974337
12,29,15,2,0.3074470087189545
12,48,25,2,0.31647506525418756
12,28,15,2,0.30461664721530635
12,15,8,2,0.29868439872979524
12,42,18,2,0.2934982784594845
12,30,11,2,0.3095790342294157
12,27,10,2,0.2904693247130208
12,21,9,2,0.2937157738601719
12,47,20,2,0.3208600885598176
12,30,10,3,0.26843909702358426
12,19,8,3,0.2642857796302007
12,25,7,3,0.24859752390142742
12,19,9,3,0.2664545571596344
12,26,9,3,0.2586721215218031
12,33,17,3,0.27528662825738326
12,27,12,3,0.2961085407089705
12,31,17,3,0.274573342054962
12,25,8,3,0.2630094279457049
12,31,17,3,0.2806496580589015
20,29,10,0,0.22383281787451192
20,17,7,0,0.22100124450486425
20,14,11,0,0.22087006016202837
20,33,12,0,0.209745693036826
20,25,11,0,0.22399078737341227
20,34,17,0,0.21575511787380586
20,35,12,0,0.22380380923472087
20,41,24,0,0.23239675962531015
20,17,8,0,0.22428903589393723
20,39,13,0,0.24663012094241865
20,22,9,1,0.25121481564405435
20,20,12,1,0.2832540001469126
20,30,12,1,0.2574174923737321
20,19,13,1,0.2567102369182457
20,29,13,1,0.2818628248343663
20,23,11,1,0.25189901383427893
20,21,10,1,0.26491977533307187
20,22,15,1,0.24860333831279702
20,13,10,1,0.261451186711004
20,23,13,1,0.26182507123441656
20,45,23,2,0.33880460912169086
20,19,9,2,0.3016476289989969
20,27,13,2,0.29393939161995053
20,36,14,2,0.31731435368605676
20,23,11,2,0.2914722695257914
20,20,8,2,0.3090251890872673
20,28,9,2,0.30281063949239684
20,43,22,2,0.30410863425122137
20,21,8,2,0.31640842589820717
20,13,7,2,0.32118780726739526
20,15,11,3,0.2562365786776114
20,27,12,3,0.2622711708223141
20,23,11,3,0.2677058056027577
20,18,7,3,0.258164410662283
20,22,9,3,0.25749851334376794
20,29,9,3,0.24309555937808347
20,27,11,3,0.24183452581735665
20,36,16,3,0.2622513243753818
20,21,8,3,0.2511193890405341
20,51,21,3,0.2533075568294738
