n,k_folds,r2_raw,r2_recal_cv,r2_affine_ceiling,spearman,a_mean,b_mean,scope,task,set,model
112,5,0.22192588425890258,0.21928457736211449,0.26167629255195896,0.4294068442824473,0.7584314708667571,1.7530561757293561,external_set,acidic,novartis_acidic,qlattice
112,5,0.5326031334879565,0.5164780918349334,0.5444556697716734,0.7057094845084759,0.8856165126062392,0.6037854859305275,external_set,acidic,novartis_acidic,lightgbm
112,5,0.4154574833032597,0.42473653125085187,0.48712255199410937,0.7308096547845631,0.752189336330012,1.7978504688540453,external_set,acidic,novartis_acidic,random_forest
26,26,0.1305290578922107,-0.14267079995812915,0.25075970786180735,0.5765611718256438,0.6474697802635838,1.2666988668144339,external_set,acidic,AvLiLuMoVe_123_acidic,qlattice
26,26,-3.0210337908400344,-0.1229682093265998,0.02904948772412726,0.40444825228362663,0.09638297283001365,3.4948424676162118,external_set,acidic,AvLiLuMoVe_123_acidic,lightgbm
26,26,-3.22246206973917,-0.19701779762243898,0.02210378682524125,0.40547477069043786,0.07987139573401478,3.606122325003907,external_set,acidic,AvLiLuMoVe_123_acidic,random_forest
20,20,-0.29790665055346577,-0.2073681472845792,0.019056703509987585,0.11733735316441857,0.49555440316197263,4.894403326862625,external_set,acidic,SAMPL7_acidic,qlattice
20,20,-0.22754450996291253,-0.08424744170387877,0.07743204939239848,0.2421963315316845,0.5474340192007949,4.467431617807771,external_set,acidic,SAMPL7_acidic,lightgbm
20,20,0.07589020131513835,0.13411449031365996,0.25878048586043706,0.5994735286669334,1.7985011372392155,-5.212232862705797,external_set,acidic,SAMPL7_acidic,random_forest
158,5,0.33606472998003345,0.3371331223288061,0.35617675472074634,0.5746594678085476,0.9127626853706806,0.8544443783715296,external_pooled,acidic,POOLED,qlattice
158,5,0.4895051005422254,0.4901715883502624,0.49874953238911324,0.7065217653430584,0.8816373074976879,0.6954567269447456,external_pooled,acidic,POOLED,lightgbm
158,5,0.4383829972358205,0.47243105783726946,0.4895935848093182,0.7703292957465524,0.7842709509527127,1.5831265584987413,external_pooled,acidic,POOLED,random_forest
168,5,-0.21874618879087349,0.07291215832695486,0.10043328174391428,0.30102957376048567,0.5256688581512239,3.4793550262582813,external_set,basic,novartis_basic,qlattice
168,5,0.5780685055221744,0.575079311402987,0.5837095573017462,0.7231574420028734,0.9197347371401087,0.5575576937778818,external_set,basic,novartis_basic,lightgbm
168,5,0.6078428526500586,0.6072601602606771,0.6202169370383795,0.7093015817964871,0.9399476758015259,0.5647276533460864,external_set,basic,novartis_basic,random_forest
97,5,-3.6473506293523794,0.06394380815895329,0.10624974754692312,0.269750669424912,0.2587483155145211,7.072803137836841,external_set,basic,AvLiLuMoVe_123_basic,qlattice
97,5,0.39862287535269014,0.38613553243981846,0.4023521730391753,0.6753811815342117,0.9451309840186506,0.5441913247906588,external_set,basic,AvLiLuMoVe_123_basic,lightgbm
97,5,0.17917733964083526,0.2737244642249763,0.2961001993464531,0.5686877418603153,0.8815152589868628,1.45182223763757,external_set,basic,AvLiLuMoVe_123_basic,random_forest
265,5,-0.3767723591194161,0.16537011302722648,0.17650327129242394,0.41690319096200856,0.5981455099909739,3.7785100426186844,external_pooled,basic,POOLED,qlattice
265,5,0.6727394103509561,0.6724319077867361,0.6753578143449019,0.8166396909691167,0.952773031229705,0.401575019199922,external_pooled,basic,POOLED,lightgbm
265,5,0.6570059672022852,0.6733147153556142,0.6756781690458978,0.7947703767967785,0.9943165908701033,0.34540199751287204,external_pooled,basic,POOLED,random_forest
